; Candidate 14250
; ADRP+ADD at VM 0xfffffff00975a3b4 (fileoff 0x27563b4): page=0xc31000 add_imm=0xea8

0xfffffff00975a334: 218c2f91  add	x1, x1, #0xbe3
0xfffffff00975a338: e00314aa  mov	x0, x20
0xfffffff00975a33c: e20301aa  mov	x2, x1
0xfffffff00975a340: de4efd97  bl	#0xfffffff0096adeb8
0xfffffff00975a344: 0826ff90  adrp	x8, #0xfffffff007c1a000
0xfffffff00975a348: 08410c91  add	x8, x8, #0x310
0xfffffff00975a34c: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff00975a350: e00314aa  mov	x0, x20
0xfffffff00975a354: e10316aa  mov	x1, x22
0xfffffff00975a358: f10308aa  mov	x17, x8
0xfffffff00975a35c: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00975a360: 31093fd7  blraa	x9, x17
0xfffffff00975a364: bf560071  cmp	w21, #0x15
0xfffffff00975a368: e8279f1a  cset	w8, lo
0xfffffff00975a36c: 0001000a  and	w0, w8, w0
0xfffffff00975a370: 1f040071  cmp	w0, #1
0xfffffff00975a374: 41000054  b.ne	#0xfffffff00975a37c
0xfffffff00975a378: 954e1e29  stp	w21, w19, [x20, #0xf0]
0xfffffff00975a37c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00975a380: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00975a384: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00975a388: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00975a38c: ffc30191  add	sp, sp, #0x70
0xfffffff00975a390: ff0f5fd6  retab	
0xfffffff00975a394: 7f2303d5  pacibsp	
0xfffffff00975a398: ffc301d1  sub	sp, sp, #0x70
0xfffffff00975a39c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00975a3a0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00975a3a4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00975a3a8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00975a3ac: fd830191  add	x29, sp, #0x60
0xfffffff00975a3b0: f30300aa  mov	x19, x0
0xfffffff00975a3b4: 806100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975a3b8: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975a3bc: 6729ae97  bl	#0xfffffff0082e4958
0xfffffff00975a3c0: e00313aa  mov	x0, x19
0xfffffff00975a3c4: a639fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975a3c8: c00100b5  cbnz	x0, #0xfffffff00975a400
0xfffffff00975a3cc: 700240f9  ldr	x16, [x19]
0xfffffff00975a3d0: f10313aa  mov	x17, x19
0xfffffff00975a3d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975a3d8: 301ac1da  autda	x16, x17
0xfffffff00975a3dc: 113d80d2  mov	x17, #0x1e8
0xfffffff00975a3e0: 1002118b  add	x16, x16, x17
0xfffffff00975a3e4: 080240f9  ldr	x8, [x16]
0xfffffff00975a3e8: e90310aa  mov	x9, x16
0xfffffff00975a3ec: e00313aa  mov	x0, x19
0xfffffff00975a3f0: 010080d2  mov	x1, #0
0xfffffff00975a3f4: f10309aa  mov	x17, x9
0xfffffff00975a3f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975a3fc: 11093fd7  blraa	x8, x17
0xfffffff00975a400: e00313aa  mov	x0, x19
0xfffffff00975a404: 9639fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975a408: e00313aa  mov	x0, x19
0xfffffff00975a40c: 9439fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975a410: 800000b4  cbz	x0, #0xfffffff00975a420
0xfffffff00975a414: f70313aa  mov	x23, x19
0xfffffff00975a418: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff00975a41c: 10000014  b	#0xfffffff00975a45c
0xfffffff00975a420: 700240f9  ldr	x16, [x19]
0xfffffff00975a424: f70313aa  mov	x23, x19
0xfffffff00975a428: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff00975a42c: f10313aa  mov	x17, x19
0xfffffff00975a430: 31b4f9f2  movk	x17, #0xcda1, lsl #48
