; Candidate 16330
; ADRP+ADD at VM 0xfffffff009e5c9c4 (fileoff 0x2e589c4): page=0x1fded9000 add_imm=0xe18

0xfffffff009e5c944: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009e5c948: e00300f9  str	x0, [sp]
0xfffffff009e5c94c: 40cefe90  adrp	x0, #0xfffffff007824000
0xfffffff009e5c950: 00740391  add	x0, x0, #0xdd
0xfffffff009e5c954: eede9897  bl	#0xfffffff00849450c
0xfffffff009e5c958: 5f2403d5  bti	c
0xfffffff009e5c95c: c02b0090  adrp	x0, #0xfffffff00a3d4000
0xfffffff009e5c960: 00c01491  add	x0, x0, #0x530
0xfffffff009e5c964: c0035fd6  ret	
0xfffffff009e5c968: 7f2303d5  pacibsp	
0xfffffff009e5c96c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009e5c970: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e5c974: fd430091  add	x29, sp, #0x10
0xfffffff009e5c978: f30300aa  mov	x19, x0
0xfffffff009e5c97c: 719d9497  bl	#0xfffffff008383f40
0xfffffff009e5c980: c0f6feb0  adrp	x0, #0xfffffff007d35000
0xfffffff009e5c984: 00603891  add	x0, x0, #0xe18
0xfffffff009e5c988: e10313aa  mov	x1, x19
0xfffffff009e5c98c: 02118052  mov	w2, #0x88
0xfffffff009e5c990: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e5c994: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e5c998: ff2303d5  autibsp	
0xfffffff009e5c99c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009e5c9a0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009e5c9a8
0xfffffff009e5c9a4: 208e38d4  brk	#0xc471
0xfffffff009e5c9a8: 3d2b9217  b	#0xfffffff0082e769c
0xfffffff009e5c9ac: 5f2403d5  bti	c
0xfffffff009e5c9b0: 649d9417  b	#0xfffffff008383f40
0xfffffff009e5c9b4: 7f2303d5  pacibsp	
0xfffffff009e5c9b8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009e5c9bc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e5c9c0: fd430091  add	x29, sp, #0x10
0xfffffff009e5c9c4: c0f6feb0  adrp	x0, #0xfffffff007d35000
0xfffffff009e5c9c8: 00603891  add	x0, x0, #0xe18
0xfffffff009e5c9cc: 01118052  mov	w1, #0x88
0xfffffff009e5c9d0: 1a2b9297  bl	#0xfffffff0082e7638
0xfffffff009e5c9d4: f30300aa  mov	x19, x0
0xfffffff009e5c9d8: d42b0090  adrp	x20, #0xfffffff00a3d4000
0xfffffff009e5c9dc: 94c21491  add	x20, x20, #0x530
0xfffffff009e5c9e0: e10314aa  mov	x1, x20
0xfffffff009e5c9e4: 419d9497  bl	#0xfffffff008383ee8
0xfffffff009e5c9e8: 90f6fef0  adrp	x16, #0xfffffff007d2f000
0xfffffff009e5c9ec: 10220e91  add	x16, x16, #0x388
0xfffffff009e5c9f0: 10420091  add	x16, x16, #0x10
0xfffffff009e5c9f4: f10300aa  mov	x17, x0
0xfffffff009e5c9f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e5c9fc: 300ac1da  pacda	x16, x17
0xfffffff009e5ca00: 100000f9  str	x16, [x0]
0xfffffff009e5ca04: e00314aa  mov	x0, x20
0xfffffff009e5ca08: cb219297  bl	#0xfffffff0082e5134
0xfffffff009e5ca0c: e00313aa  mov	x0, x19
0xfffffff009e5ca10: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e5ca14: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e5ca18: ff0f5fd6  retab	
0xfffffff009e5ca1c: 5f2403d5  bti	c
0xfffffff009e5ca20: 351f9217  b	#0xfffffff0082e46f4
0xfffffff009e5ca24: 5f2403d5  bti	c
0xfffffff009e5ca28: 331f9217  b	#0xfffffff0082e46f4
0xfffffff009e5ca2c: 7f2303d5  pacibsp	
0xfffffff009e5ca30: ff4302d1  sub	sp, sp, #0x90
0xfffffff009e5ca34: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff009e5ca38: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009e5ca3c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009e5ca40: f65706a9  stp	x22, x21, [sp, #0x60]
