; Candidate 15608
; ADRP+ADD at VM 0xfffffff009c4462c (fileoff 0x2c4062c): page=0x776000 add_imm=0xe98

0xfffffff009c445ac: 11093fd7  blraa	x8, x17
0xfffffff009c445b0: 00008052  mov	w0, #0
0xfffffff009c445b4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009c445b8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009c445bc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009c445c0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009c445c4: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff009c445c8: ff830191  add	sp, sp, #0x60
0xfffffff009c445cc: ff0f5fd6  retab	
0xfffffff009c445d0: 5f2403d5  bti	c
0xfffffff009c445d4: 48809a17  b	#0xfffffff0082e46f4
0xfffffff009c445d8: 7f2303d5  pacibsp	
0xfffffff009c445dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c445e0: fd030091  mov	x29, sp
0xfffffff009c445e4: a03b00d0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c445e8: 00603a91  add	x0, x0, #0xe98
0xfffffff009c445ec: 01d0fed0  adrp	x1, #0xfffffff007646000
0xfffffff009c445f0: 21e80191  add	x1, x1, #0x7a
0xfffffff009c445f4: e204ff90  adrp	x2, #0xfffffff007ce0000
0xfffffff009c445f8: 425c46f9  ldr	x2, [x2, #0xcb8]
0xfffffff009c445fc: 03168052  mov	w3, #0xb0
0xfffffff009c44600: 4e7d9a97  bl	#0xfffffff0082e3b38
0xfffffff009c44604: 5005ff90  adrp	x16, #0xfffffff007cec000
0xfffffff009c44608: 10022b91  add	x16, x16, #0xac0
0xfffffff009c4460c: 10420091  add	x16, x16, #0x10
0xfffffff009c44610: f10300aa  mov	x17, x0
0xfffffff009c44614: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c44618: 300ac1da  pacda	x16, x17
0xfffffff009c4461c: 100000f9  str	x16, [x0]
0xfffffff009c44620: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c44624: ff0f5fd6  retab	
0xfffffff009c44628: 5f2403d5  bti	c
0xfffffff009c4462c: a03b00d0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c44630: 00603a91  add	x0, x0, #0xe98
0xfffffff009c44634: 30809a17  b	#0xfffffff0082e46f4
0xfffffff009c44638: 7f2303d5  pacibsp	
0xfffffff009c4463c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c44640: fd030091  mov	x29, sp
0xfffffff009c44644: 01d0fed0  adrp	x1, #0xfffffff007646000
0xfffffff009c44648: 21900591  add	x1, x1, #0x164
0xfffffff009c4464c: e204ff90  adrp	x2, #0xfffffff007ce0000
0xfffffff009c44650: 427846f9  ldr	x2, [x2, #0xcf0]
0xfffffff009c44654: 030a8052  mov	w3, #0x50
0xfffffff009c44658: 387d9a97  bl	#0xfffffff0082e3b38
0xfffffff009c4465c: 5005ff90  adrp	x16, #0xfffffff007cec000
0xfffffff009c44660: 10e23091  add	x16, x16, #0xc38
0xfffffff009c44664: 10420091  add	x16, x16, #0x10
0xfffffff009c44668: f10300aa  mov	x17, x0
0xfffffff009c4466c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c44670: 300ac1da  pacda	x16, x17
0xfffffff009c44674: 100000f9  str	x16, [x0]
0xfffffff009c44678: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c4467c: ff0f5fd6  retab	
0xfffffff009c44680: 5f2403d5  bti	c
0xfffffff009c44684: 1c809a17  b	#0xfffffff0082e46f4
0xfffffff009c44688: 7f2303d5  pacibsp	
0xfffffff009c4468c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c44690: fd030091  mov	x29, sp
0xfffffff009c44694: 368c9a97  bl	#0xfffffff0082e776c
0xfffffff009c44698: 5005ff90  adrp	x16, #0xfffffff007cec000
0xfffffff009c4469c: 10622d91  add	x16, x16, #0xb58
0xfffffff009c446a0: 10420091  add	x16, x16, #0x10
0xfffffff009c446a4: f10300aa  mov	x17, x0
0xfffffff009c446a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
