; Candidate 10038
; ADRP+ADD at VM 0xfffffff008c81a3c (fileoff 0x1c7da3c): page=0x1fe6cb000 add_imm=0xe7c

0xfffffff008c819bc: f10316aa  mov	x17, x22
0xfffffff008c819c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c819c4: 301ac1da  autda	x16, x17
0xfffffff008c819c8: 088e4ff8  ldr	x8, [x16, #0xf8]!
0xfffffff008c819cc: e90310aa  mov	x9, x16
0xfffffff008c819d0: e00316aa  mov	x0, x22
0xfffffff008c819d4: f10309aa  mov	x17, x9
0xfffffff008c819d8: 3164e9f2  movk	x17, #0x4b21, lsl #48
0xfffffff008c819dc: 11093fd7  blraa	x8, x17
0xfffffff008c819e0: 00010034  cbz	w0, #0xfffffff008c81a00
0xfffffff008c819e4: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c819e8: e80300f9  str	x8, [sp]
0xfffffff008c819ec: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c819f0: 00643b91  add	x0, x0, #0xed9
0xfffffff008c819f4: 8b55db97  bl	#0xfffffff008357020
0xfffffff008c819f8: 28008052  mov	w8, #1
0xfffffff008c819fc: e83a0439  strb	w8, [x23, #0x10e]
0xfffffff008c81a00: b00240f9  ldr	x16, [x21]
0xfffffff008c81a04: f10315aa  mov	x17, x21
0xfffffff008c81a08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c81a0c: 301ac1da  autda	x16, x17
0xfffffff008c81a10: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c81a14: e90310aa  mov	x9, x16
0xfffffff008c81a18: e00315aa  mov	x0, x21
0xfffffff008c81a1c: f10309aa  mov	x17, x9
0xfffffff008c81a20: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c81a24: 11093fd7  blraa	x8, x17
0xfffffff008c81a28: 15008052  mov	w21, #0
0xfffffff008c81a2c: 39008052  mov	w25, #1
0xfffffff008c81a30: 0a000014  b	#0xfffffff008c81a58
0xfffffff008c81a34: e8ea4339  ldrb	w8, [x23, #0xfa]
0xfffffff008c81a38: e80300f9  str	x8, [sp]
0xfffffff008c81a3c: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81a40: 00f03991  add	x0, x0, #0xe7c
0xfffffff008c81a44: 7755db97  bl	#0xfffffff008357020
0xfffffff008c81a48: b5f5ffb5  cbnz	x21, #0xfffffff008c818fc
0xfffffff008c81a4c: b6ffff17  b	#0xfffffff008c81924
0xfffffff008c81a50: 19008052  mov	w25, #0
0xfffffff008c81a54: 15730011  add	w21, w24, #0x1c
0xfffffff008c81a58: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008c81a5c: e00200fd  str	d0, [x23]
0xfffffff008c81a60: 7f5e2079  strh	wzr, [x19, #0x102e]
0xfffffff008c81a64: 7f6211b9  str	wzr, [x19, #0x1160]
0xfffffff008c81a68: 48008052  mov	w8, #2
0xfffffff008c81a6c: e8f20339  strb	w8, [x23, #0xfc]
0xfffffff008c81a70: ff520439  strb	wzr, [x23, #0x114]
0xfffffff008c81a74: ff3e0439  strb	wzr, [x23, #0x10f]
0xfffffff008c81a78: 08118252  mov	w8, #0x1088
0xfffffff008c81a7c: 606aa83c  str	q0, [x19, x8]
0xfffffff008c81a80: ff2e0279  strh	wzr, [x23, #0x116]
0xfffffff008c81a84: 7f4e08f9  str	xzr, [x19, #0x1098]
0xfffffff008c81a88: ff620439  strb	wzr, [x23, #0x118]
0xfffffff008c81a8c: e8760491  add	x8, x23, #0x11d
0xfffffff008c81a90: 1f0100b9  str	wzr, [x8]
0xfffffff008c81a94: e8660491  add	x8, x23, #0x119
0xfffffff008c81a98: 1f010079  strh	wzr, [x8]
0xfffffff008c81a9c: ff8a0439  strb	wzr, [x23, #0x122]
0xfffffff008c81aa0: ff6a0539  strb	wzr, [x23, #0x15a]
0xfffffff008c81aa4: ff2601b9  str	wzr, [x23, #0x124]
0xfffffff008c81aa8: ffa20439  strb	wzr, [x23, #0x128]
0xfffffff008c81aac: e8a60491  add	x8, x23, #0x129
0xfffffff008c81ab0: 1f010079  strh	wzr, [x8]
0xfffffff008c81ab4: ff0a0839  strb	wzr, [x23, #0x202]
0xfffffff008c81ab8: 700240f9  ldr	x16, [x19]
