; Candidate 8861
; ADRP+ADD at VM 0xfffffff0088e5bf8 (fileoff 0x18e1bf8): page=0x1fe986000 add_imm=0xd0f

0xfffffff0088e5b78: e10314aa  mov	x1, x20
0xfffffff0088e5b7c: 9d070094  bl	#0xfffffff0088e79f0
0xfffffff0088e5b80: 9089ff90  adrp	x16, #0xfffffff007a15000
0xfffffff0088e5b84: 10a21691  add	x16, x16, #0x5a8
0xfffffff0088e5b88: 10420091  add	x16, x16, #0x10
0xfffffff0088e5b8c: f10300aa  mov	x17, x0
0xfffffff0088e5b90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088e5b94: 300ac1da  pacda	x16, x17
0xfffffff0088e5b98: 100000f9  str	x16, [x0]
0xfffffff0088e5b9c: e00314aa  mov	x0, x20
0xfffffff0088e5ba0: 65fde797  bl	#0xfffffff0082e5134
0xfffffff0088e5ba4: e00313aa  mov	x0, x19
0xfffffff0088e5ba8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088e5bac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088e5bb0: ff0f5fd6  retab	
0xfffffff0088e5bb4: 7f2303d5  pacibsp	
0xfffffff0088e5bb8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088e5bbc: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0088e5bc0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088e5bc4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088e5bc8: fdc30091  add	x29, sp, #0x30
0xfffffff0088e5bcc: f40301aa  mov	x20, x1
0xfffffff0088e5bd0: f30300aa  mov	x19, x0
0xfffffff0088e5bd4: ff1f0079  strh	wzr, [sp, #0xe]
0xfffffff0088e5bd8: 8889ff90  adrp	x8, #0xfffffff007a15000
0xfffffff0088e5bdc: 08c12f91  add	x8, x8, #0xbf0
0xfffffff0088e5be0: 09010b91  add	x9, x8, #0x2c0
0xfffffff0088e5be4: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0088e5be8: f10309aa  mov	x17, x9
0xfffffff0088e5bec: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0088e5bf0: 11093fd7  blraa	x8, x17
0xfffffff0088e5bf4: 00140036  tbz	w0, #0, #0xfffffff0088e5e74
0xfffffff0088e5bf8: 204cffd0  adrp	x0, #0xfffffff00726b000
0xfffffff0088e5bfc: 003c3491  add	x0, x0, #0xd0f
0xfffffff0088e5c00: e13b0091  add	x1, sp, #0xe
0xfffffff0088e5c04: 42008052  mov	w2, #2
0xfffffff0088e5c08: ec1cee97  bl	#0xfffffff00846cfb8
0xfffffff0088e5c0c: e81f4079  ldrh	w8, [sp, #0xe]
0xfffffff0088e5c10: 1f000071  cmp	w0, #0
0xfffffff0088e5c14: 09808152  mov	w9, #0xc00
0xfffffff0088e5c18: 2801881a  csel	w8, w9, w8, eq
0xfffffff0088e5c1c: 68720179  strh	w8, [x19, #0xb8]
0xfffffff0088e5c20: 700240f9  ldr	x16, [x19]
0xfffffff0088e5c24: f50313aa  mov	x21, x19
0xfffffff0088e5c28: 35b4f9f2  movk	x21, #0xcda1, lsl #48
0xfffffff0088e5c2c: f10313aa  mov	x17, x19
0xfffffff0088e5c30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088e5c34: 301ac1da  autda	x16, x17
0xfffffff0088e5c38: f10310aa  mov	x17, x16
0xfffffff0088e5c3c: f147c1da  xpacd	x17
0xfffffff0088e5c40: 1f0211eb  cmp	x16, x17
0xfffffff0088e5c44: 40000054  b.eq	#0xfffffff0088e5c4c
0xfffffff0088e5c48: 408e38d4  brk	#0xc472
0xfffffff0088e5c4c: 08e20d91  add	x8, x16, #0x378
0xfffffff0088e5c50: 09be41f9  ldr	x9, [x16, #0x378]
0xfffffff0088e5c54: e00313aa  mov	x0, x19
0xfffffff0088e5c58: f10308aa  mov	x17, x8
0xfffffff0088e5c5c: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff0088e5c60: 31093fd7  blraa	x9, x17
0xfffffff0088e5c64: 604a00f9  str	x0, [x19, #0x90]
0xfffffff0088e5c68: a01000b4  cbz	x0, #0xfffffff0088e5e7c
0xfffffff0088e5c6c: 100040f9  ldr	x16, [x0]
0xfffffff0088e5c70: f10300aa  mov	x17, x0
0xfffffff0088e5c74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
