; Candidate 3693
; ADRP+ADD at VM 0xfffffff00874e60c (fileoff 0x174a60c): page=0x1fe9e3000 add_imm=0xd90

0xfffffff00874e58c: 602641f9  ldr	x0, [x19, #0x248]
0xfffffff00874e590: 682a41f9  ldr	x8, [x19, #0x250]
0xfffffff00874e594: 020940b9  ldr	w2, [x8, #8]
0xfffffff00874e598: 35008052  mov	w21, #1
0xfffffff00874e59c: 21008052  mov	w1, #1
0xfffffff00874e5a0: 24d8ff97  bl	#0xfffffff008744630
0xfffffff00874e5a4: 754202b9  str	w21, [x19, #0x240]
0xfffffff00874e5a8: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00874e5ac: 6478d997  bl	#0xfffffff007dac73c
0xfffffff00874e5b0: e00314aa  mov	x0, x20
0xfffffff00874e5b4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00874e5b8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00874e5bc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00874e5c0: ff030191  add	sp, sp, #0x40
0xfffffff00874e5c4: ff0f5fd6  retab	
0xfffffff00874e5c8: 7f2303d5  pacibsp	
0xfffffff00874e5cc: ff0301d1  sub	sp, sp, #0x40
0xfffffff00874e5d0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00874e5d4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00874e5d8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00874e5dc: fdc30091  add	x29, sp, #0x30
0xfffffff00874e5e0: f50301aa  mov	x21, x1
0xfffffff00874e5e4: f30300aa  mov	x19, x0
0xfffffff00874e5e8: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff00874e5ec: 3875d997  bl	#0xfffffff007dabacc
0xfffffff00874e5f0: 69224629  ldp	w9, w8, [x19, #0x30]
0xfffffff00874e5f4: 1f01096b  cmp	w8, w9
0xfffffff00874e5f8: c1010054  b.ne	#0xfffffff00874e630
0xfffffff00874e5fc: 34008052  mov	w20, #1
0xfffffff00874e600: 4850ffd0  adrp	x8, #0xfffffff007158000
0xfffffff00874e604: 08452a91  add	x8, x8, #0xa91
0xfffffff00874e608: e85300a9  stp	x8, x20, [sp]
0xfffffff00874e60c: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e610: 00403691  add	x0, x0, #0xd90
0xfffffff00874e614: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e618: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e61c: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e620: 636c1e91  add	x3, x3, #0x79b
0xfffffff00874e624: 02008052  mov	w2, #0
0xfffffff00874e628: c292ef97  bl	#0xfffffff008333130
0xfffffff00874e62c: 0d000014  b	#0xfffffff00874e660
0xfffffff00874e630: 14008052  mov	w20, #0
0xfffffff00874e634: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00874e638: 0a098052  mov	w10, #0x48
0xfffffff00874e63c: 08250a9b  madd	x8, x8, x10, x9
0xfffffff00874e640: 0001c03d  ldr	q0, [x8]
0xfffffff00874e644: a002803d  str	q0, [x21]
0xfffffff00874e648: 008540ad  ldp	q0, q1, [x8, #0x10]
0xfffffff00874e64c: 020dc03d  ldr	q2, [x8, #0x30]
0xfffffff00874e650: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff00874e654: a82200f9  str	x8, [x21, #0x40]
0xfffffff00874e658: a10a01ad  stp	q1, q2, [x21, #0x20]
0xfffffff00874e65c: a006803d  str	q0, [x21, #0x10]
0xfffffff00874e660: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00874e664: 3678d997  bl	#0xfffffff007dac73c
0xfffffff00874e668: e00314aa  mov	x0, x20
0xfffffff00874e66c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00874e670: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00874e674: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00874e678: ff030191  add	sp, sp, #0x40
0xfffffff00874e67c: ff0f5fd6  retab	
0xfffffff00874e680: 7f2303d5  pacibsp	
0xfffffff00874e684: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00874e688: f44f01a9  stp	x20, x19, [sp, #0x10]
