; Candidate 12898
; ADRP+ADD at VM 0xfffffff00917fcb8 (fileoff 0x217bcb8): page=0x1fe313000 add_imm=0xcf6

0xfffffff00917fc38: e0c3863c  stur	q0, [sp, #0x6c]
0xfffffff00917fc3c: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00917fc40: 700240f9  ldr	x16, [x19]
0xfffffff00917fc44: f10313aa  mov	x17, x19
0xfffffff00917fc48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00917fc4c: 301ac1da  autda	x16, x17
0xfffffff00917fc50: 11b480d2  mov	x17, #0x5a0
0xfffffff00917fc54: 1002118b  add	x16, x16, x17
0xfffffff00917fc58: 080240f9  ldr	x8, [x16]
0xfffffff00917fc5c: e90310aa  mov	x9, x16
0xfffffff00917fc60: e2430191  add	x2, sp, #0x50
0xfffffff00917fc64: e00313aa  mov	x0, x19
0xfffffff00917fc68: 83058052  mov	w3, #0x2c
0xfffffff00917fc6c: f10309aa  mov	x17, x9
0xfffffff00917fc70: 1156fcf2  movk	x17, #0xe2b0, lsl #48
0xfffffff00917fc74: 11093fd7  blraa	x8, x17
0xfffffff00917fc78: a0000034  cbz	w0, #0xfffffff00917fc8c
0xfffffff00917fc7c: 8018fff0  adrp	x0, #0xfffffff007492000
0xfffffff00917fc80: 00b43491  add	x0, x0, #0xd2d
0xfffffff00917fc84: e75cc797  bl	#0xfffffff008357020
0xfffffff00917fc88: 78000014  b	#0xfffffff00917fe68
0xfffffff00917fc8c: f56b4a29  ldp	w21, w26, [sp, #0x50]
0xfffffff00917fc90: 88098a52  mov	w8, #0x504c
0xfffffff00917fc94: a8a8a972  movk	w8, #0x4d45, lsl #16
0xfffffff00917fc98: bf02086b  cmp	w21, w8
0xfffffff00917fc9c: 41000054  b.ne	#0xfffffff00917fca4
0xfffffff00917fca0: 3a010036  tbz	w26, #0, #0xfffffff00917fcc4
0xfffffff00917fca4: e0430191  add	x0, sp, #0x50
0xfffffff00917fca8: 01008052  mov	w1, #0
0xfffffff00917fcac: 82058052  mov	w2, #0x2c
0xfffffff00917fcb0: c433af97  bl	#0xfffffff007d4cbc0
0xfffffff00917fcb4: f56b00a9  stp	x21, x26, [sp]
0xfffffff00917fcb8: 8018fff0  adrp	x0, #0xfffffff007492000
0xfffffff00917fcbc: 00d83391  add	x0, x0, #0xcf6
0xfffffff00917fcc0: d85cc797  bl	#0xfffffff008357020
0xfffffff00917fcc4: e1430191  add	x1, sp, #0x50
0xfffffff00917fcc8: 76010094  bl	#0xfffffff0091802a0
0xfffffff00917fccc: 200300b4  cbz	x0, #0xfffffff00917fd30
0xfffffff00917fcd0: f90300aa  mov	x25, x0
0xfffffff00917fcd4: 700240f9  ldr	x16, [x19]
0xfffffff00917fcd8: f10313aa  mov	x17, x19
0xfffffff00917fcdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00917fce0: 301ac1da  autda	x16, x17
0xfffffff00917fce4: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff00917fce8: e90310aa  mov	x9, x16
0xfffffff00917fcec: 8118fff0  adrp	x1, #0xfffffff007492000
0xfffffff00917fcf0: 21743491  add	x1, x1, #0xd1d
0xfffffff00917fcf4: e00313aa  mov	x0, x19
0xfffffff00917fcf8: e20319aa  mov	x2, x25
0xfffffff00917fcfc: f10309aa  mov	x17, x9
0xfffffff00917fd00: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff00917fd04: 11093fd7  blraa	x8, x17
0xfffffff00917fd08: 300340f9  ldr	x16, [x25]
0xfffffff00917fd0c: f10319aa  mov	x17, x25
0xfffffff00917fd10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00917fd14: 301ac1da  autda	x16, x17
0xfffffff00917fd18: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00917fd1c: e90310aa  mov	x9, x16
0xfffffff00917fd20: e00319aa  mov	x0, x25
0xfffffff00917fd24: f10309aa  mov	x17, x9
0xfffffff00917fd28: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00917fd2c: 11093fd7  blraa	x8, x17
0xfffffff00917fd30: 88098a52  mov	w8, #0x504c
0xfffffff00917fd34: a8a8a972  movk	w8, #0x4d45, lsl #16
