; Candidate 13725
; ADRP+ADD at VM 0xfffffff00955e654 (fileoff 0x255a654): page=0x1fdffb000 add_imm=0xd94

0xfffffff00955e5d4: 497f4092  and	x9, x26, #0xffffffff
0xfffffff00955e5d8: 6a2a43b9  ldr	w10, [x19, #0x328]
0xfffffff00955e5dc: 217d0a9b  mul	x1, x9, x10
0xfffffff00955e5e0: 011100f9  str	x1, [x8, #0x20]
0xfffffff00955e5e4: 603640f9  ldr	x0, [x19, #0x68]
0xfffffff00955e5e8: 59d3b297  bl	#0xfffffff00821334c
0xfffffff00955e5ec: 603640f9  ldr	x0, [x19, #0x68]
0xfffffff00955e5f0: 4caca697  bl	#0xfffffff007f09720
0xfffffff00955e5f4: 1b008052  mov	w27, #0
0xfffffff00955e5f8: 18008052  mov	w24, #0
0xfffffff00955e5fc: 07000014  b	#0xfffffff00955e618
0xfffffff00955e600: e00313aa  mov	x0, x19
0xfffffff00955e604: 17230194  bl	#0xfffffff0095a7260
0xfffffff00955e608: c0000034  cbz	w0, #0xfffffff00955e620
0xfffffff00955e60c: 16008052  mov	w22, #0
0xfffffff00955e610: d8028052  mov	w24, #0x16
0xfffffff00955e614: 3b008052  mov	w27, #1
0xfffffff00955e618: 37008052  mov	w23, #1
0xfffffff00955e61c: 01ffff17  b	#0xfffffff00955e220
0xfffffff00955e620: 613243b9  ldr	w1, [x19, #0x330]
0xfffffff00955e624: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00955e628: e4730091  add	x4, sp, #0x1c
0xfffffff00955e62c: e00313aa  mov	x0, x19
0xfffffff00955e630: e20315aa  mov	x2, x21
0xfffffff00955e634: 23008052  mov	w3, #1
0xfffffff00955e638: 49fa0094  bl	#0xfffffff00959cf5c
0xfffffff00955e63c: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff00955e640: 1f000071  cmp	w0, #0
0xfffffff00955e644: 08059f1a  csinc	w8, w8, wzr, eq
0xfffffff00955e648: c8f0ff34  cbz	w8, #0xfffffff00955e460
0xfffffff00955e64c: 69720d91  add	x9, x19, #0x35c
0xfffffff00955e650: e92300a9  stp	x9, x8, [sp]
0xfffffff00955e654: c0fffef0  adrp	x0, #0xfffffff007559000
0xfffffff00955e658: 00503691  add	x0, x0, #0xd94
0xfffffff00955e65c: 8163a197  bl	#0xfffffff007db7460
0xfffffff00955e660: 16008052  mov	w22, #0
0xfffffff00955e664: 1b008052  mov	w27, #0
0xfffffff00955e668: 78048052  mov	w24, #0x23
0xfffffff00955e66c: ebffff17  b	#0xfffffff00955e618
0xfffffff00955e670: 08648052  mov	w8, #0x320
0xfffffff00955e674: c9fffef0  adrp	x9, #0xfffffff007559000
0xfffffff00955e678: 29553a91  add	x9, x9, #0xe95
0xfffffff00955e67c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00955e680: e00300f9  str	x0, [sp]
0xfffffff00955e684: c0fffef0  adrp	x0, #0xfffffff007559000
0xfffffff00955e688: 00343991  add	x0, x0, #0xe4d
0xfffffff00955e68c: a0d7bc97  bl	#0xfffffff00849450c
0xfffffff00955e690: 7f2303d5  pacibsp	
0xfffffff00955e694: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff00955e698: fc6f16a9  stp	x28, x27, [sp, #0x160]
0xfffffff00955e69c: fa6717a9  stp	x26, x25, [sp, #0x170]
0xfffffff00955e6a0: f85f18a9  stp	x24, x23, [sp, #0x180]
0xfffffff00955e6a4: f65719a9  stp	x22, x21, [sp, #0x190]
0xfffffff00955e6a8: f44f1aa9  stp	x20, x19, [sp, #0x1a0]
0xfffffff00955e6ac: fd7b1ba9  stp	x29, x30, [sp, #0x1b0]
0xfffffff00955e6b0: fdc30691  add	x29, sp, #0x1b0
0xfffffff00955e6b4: f70303aa  mov	x23, x3
0xfffffff00955e6b8: f40301aa  mov	x20, x1
0xfffffff00955e6bc: f30300aa  mov	x19, x0
0xfffffff00955e6c0: 04501f91  add	x4, x0, #0x7d4
0xfffffff00955e6c4: 03008052  mov	w3, #0
0xfffffff00955e6c8: 25fa0094  bl	#0xfffffff00959cf5c
0xfffffff00955e6cc: c0000034  cbz	w0, #0xfffffff00955e6e4
0xfffffff00955e6d0: f50300aa  mov	x21, x0
