; Candidate 3218
; ADRP+ADD at VM 0xfffffff00871d70c (fileoff 0x171970c): page=0x1fea14000 add_imm=0xd90

0xfffffff00871d68c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff00871d690: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00871d694: 68b88052  mov	w8, #0x5c3
0xfffffff00871d698: c951ff90  adrp	x9, #0xfffffff007155000
0xfffffff00871d69c: 29bd3591  add	x9, x9, #0xd6f
0xfffffff00871d6a0: e92300a9  stp	x9, x8, [sp]
0xfffffff00871d6a4: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d6a8: 00403691  add	x0, x0, #0xd90
0xfffffff00871d6ac: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d6b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d6b4: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d6b8: 63901491  add	x3, x3, #0x524
0xfffffff00871d6bc: 02008052  mov	w2, #0
0xfffffff00871d6c0: 9c56f097  bl	#0xfffffff008333130
0xfffffff00871d6c4: 00008052  mov	w0, #0
0xfffffff00871d6c8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00871d6cc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00871d6d0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00871d6d4: ff830191  add	sp, sp, #0x60
0xfffffff00871d6d8: ff0f5fd6  retab	
0xfffffff00871d6dc: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff00871d6e0: 0f050011  add	w15, w8, #1
0xfffffff00871d6e4: 28008052  mov	w8, #1
0xfffffff00871d6e8: e83f02a9  stp	x8, x15, [sp, #0x20]
0xfffffff00871d6ec: c851ff90  adrp	x8, #0xfffffff007155000
0xfffffff00871d6f0: 08253691  add	x8, x8, #0xd89
0xfffffff00871d6f4: 09b98052  mov	w9, #0x5c8
0xfffffff00871d6f8: ca51ff90  adrp	x10, #0xfffffff007155000
0xfffffff00871d6fc: 4abd3591  add	x10, x10, #0xd6f
0xfffffff00871d700: ea2700a9  stp	x10, x9, [sp]
0xfffffff00871d704: 693d4092  and	x9, x11, #0xffff
0xfffffff00871d708: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00871d70c: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d710: 00403691  add	x0, x0, #0xd90
0xfffffff00871d714: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d718: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d71c: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d720: 63b81591  add	x3, x3, #0x56e
0xfffffff00871d724: 02008052  mov	w2, #0
0xfffffff00871d728: 8256f097  bl	#0xfffffff008333130
0xfffffff00871d72c: 00008052  mov	w0, #0
0xfffffff00871d730: e6ffff17  b	#0xfffffff00871d6c8
0xfffffff00871d734: 7f2303d5  pacibsp	
0xfffffff00871d738: ff8301d1  sub	sp, sp, #0x60
0xfffffff00871d73c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00871d740: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00871d744: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00871d748: fd430191  add	x29, sp, #0x50
0xfffffff00871d74c: f40302aa  mov	x20, x2
0xfffffff00871d750: f30301aa  mov	x19, x1
0xfffffff00871d754: 281c51b9  ldr	w8, [x1, #0x111c]
0xfffffff00871d758: 08050011  add	w8, w8, #1
0xfffffff00871d75c: 1601020b  add	w22, w8, w2
0xfffffff00871d760: 35b048f9  ldr	x21, [x1, #0x1160]
0xfffffff00871d764: 007d7fd3  ubfiz	x0, x8, #1, #0x20
0xfffffff00871d768: 60e5f097  bl	#0xfffffff008356ce8
0xfffffff00871d76c: a98647f9  ldr	x9, [x21, #0xf08]
0xfffffff00871d770: c83e4092  and	x8, x22, #0xffff
0xfffffff00871d774: 207928f8  str	x0, [x9, x8, lsl #3]
0xfffffff00871d778: a98647f9  ldr	x9, [x21, #0xf08]
0xfffffff00871d77c: 297968f8  ldr	x9, [x9, x8, lsl #3]
0xfffffff00871d780: e90300b4  cbz	x9, #0xfffffff00871d7fc
0xfffffff00871d784: adfa5d79  ldrh	w13, [x21, #0xefc]
0xfffffff00871d788: bf090071  cmp	w13, #2
