; Candidate 10289
; ADRP+ADD at VM 0xfffffff008cd9630 (fileoff 0x1cd5630): page=0x1fe68e000 add_imm=0xe23

0xfffffff008cd95b0: f50303aa  mov	x21, x3
0xfffffff008cd95b4: f40302aa  mov	x20, x2
0xfffffff008cd95b8: f30300aa  mov	x19, x0
0xfffffff008cd95bc: 9f001f72  tst	w4, #2
0xfffffff008cd95c0: c8038052  mov	w8, #0x1e
0xfffffff008cd95c4: 49008052  mov	w9, #2
0xfffffff008cd95c8: 3801881a  csel	w24, w9, w8, eq
0xfffffff008cd95cc: 62040034  cbz	w2, #0xfffffff008cd9658
0xfffffff008cd95d0: 680240f9  ldr	x8, [x19]
0xfffffff008cd95d4: 880200b4  cbz	x8, #0xfffffff008cd9624
0xfffffff008cd95d8: e00313aa  mov	x0, x19
0xfffffff008cd95dc: e10315aa  mov	x1, x21
0xfffffff008cd95e0: e20314aa  mov	x2, x20
0xfffffff008cd95e4: 3d000094  bl	#0xfffffff008cd96d8
0xfffffff008cd95e8: e0010036  tbz	w0, #0, #0xfffffff008cd9624
0xfffffff008cd95ec: 9f060071  cmp	w20, #1
0xfffffff008cd95f0: a1000054  b.ne	#0xfffffff008cd9604
0xfffffff008cd95f4: 600240f9  ldr	x0, [x19]
0xfffffff008cd95f8: 01008452  mov	w1, #0x2000
0xfffffff008cd95fc: e1f5d997  bl	#0xfffffff008356d80
0xfffffff008cd9600: 7f0200f9  str	xzr, [x19]
0xfffffff008cd9604: 20008052  mov	w0, #1
0xfffffff008cd9608: 0e000014  b	#0xfffffff008cd9640
0xfffffff008cd960c: 6834ffd0  adrp	x8, #0xfffffff007367000
0xfffffff008cd9610: 08753591  add	x8, x8, #0xd5d
0xfffffff008cd9614: e80300f9  str	x8, [sp]
0xfffffff008cd9618: 6034ffd0  adrp	x0, #0xfffffff007367000
0xfffffff008cd961c: 00f03491  add	x0, x0, #0xd3c
0xfffffff008cd9620: 06000014  b	#0xfffffff008cd9638
0xfffffff008cd9624: 6834ffd0  adrp	x8, #0xfffffff007367000
0xfffffff008cd9628: 08753591  add	x8, x8, #0xd5d
0xfffffff008cd962c: e80300f9  str	x8, [sp]
0xfffffff008cd9630: 6034ffd0  adrp	x0, #0xfffffff007367000
0xfffffff008cd9634: 008c3891  add	x0, x0, #0xe23
0xfffffff008cd9638: 7af6d997  bl	#0xfffffff008357020
0xfffffff008cd963c: 00008052  mov	w0, #0
0xfffffff008cd9640: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008cd9644: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008cd9648: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008cd964c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008cd9650: ff830191  add	sp, sp, #0x60
0xfffffff008cd9654: ff0f5fd6  retab	
0xfffffff008cd9658: f60301aa  mov	x22, x1
0xfffffff008cd965c: 630240f9  ldr	x3, [x19]
0xfffffff008cd9660: c30000b5  cbnz	x3, #0xfffffff008cd9678
0xfffffff008cd9664: 00008452  mov	w0, #0x2000
0xfffffff008cd9668: b3f5d997  bl	#0xfffffff008356d34
0xfffffff008cd966c: e30300aa  mov	x3, x0
0xfffffff008cd9670: 600200f9  str	x0, [x19]
0xfffffff008cd9674: 600200b4  cbz	x0, #0xfffffff008cd96c0
0xfffffff008cd9678: e2061e12  and	w2, w23, #0xc
0xfffffff008cd967c: e00316aa  mov	x0, x22
0xfffffff008cd9680: e10318aa  mov	x1, x24
0xfffffff008cd9684: 569dcb97  bl	#0xfffffff007fc0bdc
0xfffffff008cd9688: 40faff34  cbz	w0, #0xfffffff008cd95d0
0xfffffff008cd968c: 6834ffd0  adrp	x8, #0xfffffff007367000
0xfffffff008cd9690: 08753591  add	x8, x8, #0xd5d
0xfffffff008cd9694: e08300a9  stp	x0, x0, [sp, #8]
0xfffffff008cd9698: e80300f9  str	x8, [sp]
0xfffffff008cd969c: 6034ffd0  adrp	x0, #0xfffffff007367000
0xfffffff008cd96a0: 007c3791  add	x0, x0, #0xddf
0xfffffff008cd96a4: 5ff6d997  bl	#0xfffffff008357020
0xfffffff008cd96a8: 600240f9  ldr	x0, [x19]
0xfffffff008cd96ac: 01008452  mov	w1, #0x2000
