; Candidate 4031
; ADRP+ADD at VM 0xfffffff008788a08 (fileoff 0x1784a08): page=0x1fe9a9000 add_imm=0xd90

0xfffffff008788988: 6a018052  mov	w10, #0xb
0xfffffff00878898c: 4b058a1a  cinc	w11, w10, ne
0xfffffff008788990: 8a008052  mov	w10, #4
0xfffffff008788994: 4a058a1a  cinc	w10, w10, ne
0xfffffff008788998: 03000014  b	#0xfffffff0087889a4
0xfffffff00878899c: 6b038052  mov	w11, #0x1b
0xfffffff0087889a0: ea030baa  mov	x10, x11
0xfffffff0087889a4: 0c168152  mov	w12, #0x8b0
0xfffffff0087889a8: ac620c9b  madd	x12, x21, x12, x24
0xfffffff0087889ac: 8c114039  ldrb	w12, [x12, #4]
0xfffffff0087889b0: 9f010071  cmp	w12, #0
0xfffffff0087889b4: 2419407a  ccmp	w9, #0, #4, ne
0xfffffff0087889b8: a12f0054  b.ne	#0xfffffff008788fac
0xfffffff0087889bc: 88030034  cbz	w8, #0xfffffff008788a2c
0xfffffff0087889c0: 1f0d0071  cmp	w8, #3
0xfffffff0087889c4: 81000054  b.ne	#0xfffffff0087889d4
0xfffffff0087889c8: 4b250051  sub	w11, w10, #9
0xfffffff0087889cc: 7f090071  cmp	w11, #2
0xfffffff0087889d0: 43010054  b.lo	#0xfffffff0087889f8
0xfffffff0087889d4: 5f690071  cmp	w10, #0x1a
0xfffffff0087889d8: a8020054  b.hi	#0xfffffff008788a2c
0xfffffff0087889dc: 2b008052  mov	w11, #1
0xfffffff0087889e0: 6b21ca1a  lsl	w11, w11, w10
0xfffffff0087889e4: 0c98a052  mov	w12, #0x4c00000
0xfffffff0087889e8: 7f010c6a  tst	w11, w12
0xfffffff0087889ec: 00020054  b.eq	#0xfffffff008788a2c
0xfffffff0087889f0: 1f090071  cmp	w8, #2
0xfffffff0087889f4: c8010054  b.hi	#0xfffffff008788a2c
0xfffffff0087889f8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0087889fc: 284efff0  adrp	x8, #0xfffffff00714f000
0xfffffff008788a00: 08bd1991  add	x8, x8, #0x66f
0xfffffff008788a04: e80300f9  str	x8, [sp]
0xfffffff008788a08: 404dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008788a0c: 00403691  add	x0, x0, #0xd90
0xfffffff008788a10: a193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008788a14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008788a18: e34dffb0  adrp	x3, #0xfffffff007145000
0xfffffff008788a1c: 633c2791  add	x3, x3, #0x9cf
0xfffffff008788a20: 02008052  mov	w2, #0
0xfffffff008788a24: c3a9ee97  bl	#0xfffffff008333130
0xfffffff008788a28: 76010014  b	#0xfffffff008789000
0xfffffff008788a2c: ed1b00b9  str	w13, [sp, #0x18]
0xfffffff008788a30: 0ab6a552  mov	w10, #0x2db00000
0xfffffff008788a34: 4a3700b9  str	w10, [x26, #0x34]
0xfffffff008788a38: 6b0e40f9  ldr	x11, [x19, #0x18]
0xfffffff008788a3c: 6bbd46f9  ldr	x11, [x11, #0xd78]
0xfffffff008788a40: 6b0140b9  ldr	w11, [x11]
0xfffffff008788a44: 7f150071  cmp	w11, #5
0xfffffff008788a48: 0b008452  mov	w11, #0x2000
0xfffffff008788a4c: 0bb6a572  movk	w11, #0x2db0, lsl #16
0xfffffff008788a50: 6a018a1a  csel	w10, w11, w10, eq
0xfffffff008788a54: 3f070071  cmp	w25, #1
0xfffffff008788a58: eb179f1a  cset	w11, eq
0xfffffff008788a5c: 9f030071  cmp	w28, #0
0xfffffff008788a60: 0c568052  mov	w12, #0x2b0
0xfffffff008788a64: 0d548052  mov	w13, #0x2a0
0xfffffff008788a68: ac018c1a  csel	w12, w13, w12, eq
0xfffffff008788a6c: 3f030071  cmp	w25, #0
0xfffffff008788a70: 0d088252  mov	w13, #0x1040
0xfffffff008788a74: 0e088052  mov	w14, #0x40
0xfffffff008788a78: cd018d1a  csel	w13, w14, w13, eq
0xfffffff008788a7c: 6d011633  bfi	w13, w11, #0xa, #1
0xfffffff008788a80: ab010c2a  orr	w11, w13, w12
0xfffffff008788a84: 2b051e33  bfi	w11, w9, #2, #2
