; Candidate 13558
; ADRP+ADD at VM 0xfffffff009389aac (fileoff 0x2385aac): page=0x1fe174000 add_imm=0xe60

0xfffffff009389a2c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009389a30: fd830191  add	x29, sp, #0x60
0xfffffff009389a34: f30300aa  mov	x19, x0
0xfffffff009389a38: 08044639  ldrb	w8, [x0, #0x181]
0xfffffff009389a3c: e8033836  tbz	w8, #7, #0xfffffff009389ab8
0xfffffff009389a40: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009389a44: ff2700b9  str	wzr, [sp, #0x24]
0xfffffff009389a48: e0a30091  add	x0, sp, #0x28
0xfffffff009389a4c: e1930091  add	x1, sp, #0x24
0xfffffff009389a50: 2d2aad97  bl	#0xfffffff007ed4304
0xfffffff009389a54: f41740f9  ldr	x20, [sp, #0x28]
0xfffffff009389a58: 700240f9  ldr	x16, [x19]
0xfffffff009389a5c: f10313aa  mov	x17, x19
0xfffffff009389a60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009389a64: 301ac1da  autda	x16, x17
0xfffffff009389a68: f10310aa  mov	x17, x16
0xfffffff009389a6c: f147c1da  xpacd	x17
0xfffffff009389a70: 1f0211eb  cmp	x16, x17
0xfffffff009389a74: 40000054  b.eq	#0xfffffff009389a7c
0xfffffff009389a78: 408e38d4  brk	#0xc472
0xfffffff009389a7c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009389a80: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009389a84: f52740b9  ldr	w21, [sp, #0x24]
0xfffffff009389a88: e00313aa  mov	x0, x19
0xfffffff009389a8c: 010080d2  mov	x1, #0
0xfffffff009389a90: f10308aa  mov	x17, x8
0xfffffff009389a94: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009389a98: 31093fd7  blraa	x9, x17
0xfffffff009389a9c: a80bffb0  adrp	x8, #0xfffffff0074fe000
0xfffffff009389aa0: 08091091  add	x8, x8, #0x402
0xfffffff009389aa4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff009389aa8: f45700a9  stp	x20, x21, [sp]
0xfffffff009389aac: a00bff90  adrp	x0, #0xfffffff0074fd000
0xfffffff009389ab0: 00803991  add	x0, x0, #0xe60
0xfffffff009389ab4: 5b35bf97  bl	#0xfffffff008357020
0xfffffff009389ab8: a00bff90  adrp	x0, #0xfffffff0074fd000
0xfffffff009389abc: 00803491  add	x0, x0, #0xd20
0xfffffff009389ac0: 010080d2  mov	x1, #0
0xfffffff009389ac4: 42008052  mov	w2, #2
0xfffffff009389ac8: 8025c197  bl	#0xfffffff0083d30c8
0xfffffff009389acc: 600500b4  cbz	x0, #0xfffffff009389b78
0xfffffff009389ad0: f40300aa  mov	x20, x0
0xfffffff009389ad4: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009389ad8: 10000090  adrp	x16, #0xfffffff009389000
0xfffffff009389adc: 10622e91  add	x16, x16, #0xb98
0xfffffff009389ae0: 91219dd2  mov	x17, #0xe90c
0xfffffff009389ae4: 3002c1da  pacia	x16, x17
0xfffffff009389ae8: f3c302a9  stp	x19, x16, [sp, #0x28]
0xfffffff009389aec: 609240f9  ldr	x0, [x19, #0x120]
0xfffffff009389af0: e3a30091  add	x3, sp, #0x28
0xfffffff009389af4: e10314aa  mov	x1, x20
0xfffffff009389af8: 020080d2  mov	x2, #0
0xfffffff009389afc: 040080d2  mov	x4, #0
0xfffffff009389b00: 05008052  mov	w5, #0
0xfffffff009389b04: 954e1e94  bl	#0xfffffff009b1d558
0xfffffff009389b08: f50300aa  mov	x21, x0
0xfffffff009389b0c: c0030035  cbnz	w0, #0xfffffff009389b84
0xfffffff009389b10: 700240f9  ldr	x16, [x19]
0xfffffff009389b14: f10313aa  mov	x17, x19
0xfffffff009389b18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009389b1c: 301ac1da  autda	x16, x17
0xfffffff009389b20: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009389b24: e90310aa  mov	x9, x16
0xfffffff009389b28: e00313aa  mov	x0, x19
