; Candidate 4658
; ADRP+ADD at VM 0xfffffff0087bf994 (fileoff 0x17bb994): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bf914: 4a011f32  orr	w10, w10, #2
0xfffffff0087bf918: 5f090071  cmp	w10, #2
0xfffffff0087bf91c: 60010054  b.eq	#0xfffffff0087bf948
0xfffffff0087bf920: 2a7d42b9  ldr	w10, [x9, #0x27c]
0xfffffff0087bf924: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff0087bf928: 0b7d42b9  ldr	w11, [x8, #0x27c]
0xfffffff0087bf92c: 5f010b6b  cmp	w10, w11
0xfffffff0087bf930: c1000054  b.ne	#0xfffffff0087bf948
0xfffffff0087bf934: 298142b9  ldr	w9, [x9, #0x280]
0xfffffff0087bf938: 088142b9  ldr	w8, [x8, #0x280]
0xfffffff0087bf93c: 3f01086b  cmp	w9, w8
0xfffffff0087bf940: e0179f1a  cset	w0, eq
0xfffffff0087bf944: c0035fd6  ret	
0xfffffff0087bf948: 00008052  mov	w0, #0
0xfffffff0087bf94c: c0035fd6  ret	
0xfffffff0087bf950: 7f2303d5  pacibsp	
0xfffffff0087bf954: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087bf958: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087bf95c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087bf960: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087bf964: fdc30091  add	x29, sp, #0x30
0xfffffff0087bf968: f40302aa  mov	x20, x2
0xfffffff0087bf96c: f30301aa  mov	x19, x1
0xfffffff0087bf970: f50300aa  mov	x21, x0
0xfffffff0087bf974: 083040f9  ldr	x8, [x0, #0x60]
0xfffffff0087bf978: 090143b9  ldr	w9, [x8, #0x300]
0xfffffff0087bf97c: f64cfff0  adrp	x22, #0xfffffff00715e000
0xfffffff0087bf980: d6362c91  add	x22, x22, #0xb0d
0xfffffff0087bf984: 3f01026b  cmp	w9, w2
0xfffffff0087bf988: 8c010054  b.gt	#0xfffffff0087bf9b8
0xfffffff0087bf98c: 08088252  mov	w8, #0x1040
0xfffffff0087bf990: f62300a9  stp	x22, x8, [sp]
0xfffffff0087bf994: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf998: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf99c: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf9a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf9a4: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf9a8: 637c0091  add	x3, x3, #0x1f
0xfffffff0087bf9ac: 02008052  mov	w2, #0
0xfffffff0087bf9b0: e0cded97  bl	#0xfffffff008333130
0xfffffff0087bf9b4: a83240f9  ldr	x8, [x21, #0x60]
0xfffffff0087bf9b8: 09c9348b  add	x9, x8, w20, sxtw #2
0xfffffff0087bf9bc: 2a3d44b9  ldr	w10, [x9, #0x43c]
0xfffffff0087bf9c0: ab2e40f9  ldr	x11, [x21, #0x58]
0xfffffff0087bf9c4: 6b2540b9  ldr	w11, [x11, #0x24]
0xfffffff0087bf9c8: 4a21cb1a  lsl	w10, w10, w11
0xfffffff0087bf9cc: 294144b9  ldr	w9, [x9, #0x440]
0xfffffff0087bf9d0: 2921cb1a  lsl	w9, w9, w11
0xfffffff0087bf9d4: 741200b9  str	w20, [x19, #0x10]
0xfffffff0087bf9d8: 088541b9  ldr	w8, [x8, #0x184]
0xfffffff0087bf9dc: 3f01086b  cmp	w9, w8
0xfffffff0087bf9e0: 2831881a  csel	w8, w9, w8, lo
0xfffffff0087bf9e4: 6a220029  stp	w10, w8, [x19]
0xfffffff0087bf9e8: 1f010a6b  cmp	w8, w10
0xfffffff0087bf9ec: 6c010054  b.gt	#0xfffffff0087bfa18
0xfffffff0087bf9f0: c8088252  mov	w8, #0x1046
0xfffffff0087bf9f4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087bf9f8: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf9fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfa00: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfa04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfa08: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfa0c: 63480191  add	x3, x3, #0x52
0xfffffff0087bfa10: 02008052  mov	w2, #0
