; Candidate 4710
; ADRP+ADD at VM 0xfffffff0087c3880 (fileoff 0x17bf880): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3800: f5031caa  mov	x21, x28
0xfffffff0087c3804: e84b40b9  ldr	w8, [sp, #0x48]
0xfffffff0087c3808: 08140034  cbz	w8, #0xfffffff0087c3a88
0xfffffff0087c380c: e00313aa  mov	x0, x19
0xfffffff0087c3810: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c3814: 21842891  add	x1, x1, #0xa21
0xfffffff0087c3818: 02018052  mov	w2, #8
0xfffffff0087c381c: a9deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3820: fb0300aa  mov	x27, x0
0xfffffff0087c3824: 1ffc0371  cmp	w0, #0xff
0xfffffff0087c3828: 490b0054  b.ls	#0xfffffff0087c3990
0xfffffff0087c382c: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3830: 08ad2491  add	x8, x8, #0x92b
0xfffffff0087c3834: e86f00a9  stp	x8, x27, [sp]
0xfffffff0087c3838: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c383c: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3840: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3844: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3848: 02008052  mov	w2, #0
0xfffffff0087c384c: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3850: 63443891  add	x3, x3, #0xe11
0xfffffff0087c3854: 37beed97  bl	#0xfffffff008333130
0xfffffff0087c3858: 89000014  b	#0xfffffff0087c3a7c
0xfffffff0087c385c: 0803148b  add	x8, x24, x20
0xfffffff0087c3860: 140d00d1  sub	x20, x8, #3
0xfffffff0087c3864: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c3868: 1f090072  tst	w8, #7
0xfffffff0087c386c: c0010054  b.eq	#0xfffffff0087c38a4
0xfffffff0087c3870: 29898052  mov	w9, #0x449
0xfffffff0087c3874: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3878: 08d11f91  add	x8, x8, #0x7f4
0xfffffff0087c387c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3880: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3884: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3888: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c388c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3890: 02008052  mov	w2, #0
0xfffffff0087c3894: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3898: 63503391  add	x3, x3, #0xcd4
0xfffffff0087c389c: 25beed97  bl	#0xfffffff008333130
0xfffffff0087c38a0: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c38a4: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff0087c38a8: 087d0353  lsr	w8, w8, #3
0xfffffff0087c38ac: 280108cb  sub	x8, x9, x8
0xfffffff0087c38b0: 897e4092  and	x9, x20, #0xffffffff
0xfffffff0087c38b4: 9f020071  cmp	w20, #0
0xfffffff0087c38b8: 8ab29f1a  csel	w10, w20, wzr, lt
0xfffffff0087c38bc: 54050051  sub	w20, w10, #1
0xfffffff0087c38c0: 3f050071  cmp	w9, #1
0xfffffff0087c38c4: ab000054  b.lt	#0xfffffff0087c38d8
0xfffffff0087c38c8: 290500d1  sub	x9, x9, #1
0xfffffff0087c38cc: 0a496938  ldrb	w10, [x8, w9, uxtw]
0xfffffff0087c38d0: 8affff34  cbz	w10, #0xfffffff0087c38c0
0xfffffff0087c38d4: f40309aa  mov	x20, x9
0xfffffff0087c38d8: 9f060071  cmp	w20, #1
0xfffffff0087c38dc: 6b0d0054  b.lt	#0xfffffff0087c3a88
0xfffffff0087c38e0: e00313aa  mov	x0, x19
0xfffffff0087c38e4: e14cff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087c38e8: 21b02091  add	x1, x1, #0x82c
0xfffffff0087c38ec: 02018052  mov	w2, #8
0xfffffff0087c38f0: 74deff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c38f4: 94060071  subs	w20, w20, #1
0xfffffff0087c38f8: 41ffff54  b.ne	#0xfffffff0087c38e0
0xfffffff0087c38fc: 63000014  b	#0xfffffff0087c3a88
