; Candidate 13699
; ADRP+ADD at VM 0xfffffff0093d2c10 (fileoff 0x23cec10): page=0x1fe139000 add_imm=0xdaf

0xfffffff0093d2b90: 8a0400b5  cbnz	x10, #0xfffffff0093d2c20
0xfffffff0093d2b94: a8fe46d3  lsr	x8, x21, #6
0xfffffff0093d2b98: 9f020071  cmp	w20, #0
0xfffffff0093d2b9c: e90f8052  mov	w9, #0x7f
0xfffffff0093d2ba0: ea1f8052  mov	w10, #0xff
0xfffffff0093d2ba4: 4911891a  csel	w9, w10, w9, ne
0xfffffff0093d2ba8: 2801080a  and	w8, w9, w8
0xfffffff0093d2bac: a9460e53  ubfx	w9, w21, #0xe, #4
0xfffffff0093d2bb0: e92300a9  stp	x9, x8, [sp]
0xfffffff0093d2bb4: c209ffb0  adrp	x2, #0xfffffff00750b000
0xfffffff0093d2bb8: 427c3691  add	x2, x2, #0xd9f
0xfffffff0093d2bbc: e0430191  add	x0, sp, #0x50
0xfffffff0093d2bc0: 01088052  mov	w1, #0x40
0xfffffff0093d2bc4: 66a0b897  bl	#0xfffffff0081fad5c
0xfffffff0093d2bc8: c809ffb0  adrp	x8, #0xfffffff00750b000
0xfffffff0093d2bcc: 08fd3591  add	x8, x8, #0xd7f
0xfffffff0093d2bd0: c909ffb0  adrp	x9, #0xfffffff00750b000
0xfffffff0093d2bd4: 29cd2891  add	x9, x9, #0xa33
0xfffffff0093d2bd8: bf0200f1  cmp	x21, #0
0xfffffff0093d2bdc: 28a1889a  csel	x8, x9, x8, ge
0xfffffff0093d2be0: eb518052  mov	w11, #0x28f
0xfffffff0093d2be4: c909ffb0  adrp	x9, #0xfffffff00750b000
0xfffffff0093d2be8: 29fd2b91  add	x9, x9, #0xaff
0xfffffff0093d2bec: ea430191  add	x10, sp, #0x50
0xfffffff0093d2bf0: e9af03a9  stp	x9, x11, [sp, #0x38]
0xfffffff0093d2bf4: f6ab02a9  stp	x22, x10, [sp, #0x28]
0xfffffff0093d2bf8: f3d701a9  stp	x19, x21, [sp, #0x18]
0xfffffff0093d2bfc: 9f020071  cmp	w20, #0
0xfffffff0093d2c00: a9088052  mov	w9, #0x45
0xfffffff0093d2c04: 0a0a8052  mov	w10, #0x50
0xfffffff0093d2c08: 4911899a  csel	x9, x10, x9, ne
0xfffffff0093d2c0c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0093d2c10: c009ffb0  adrp	x0, #0xfffffff00750b000
0xfffffff0093d2c14: 00bc3691  add	x0, x0, #0xdaf
0xfffffff0093d2c18: f70300f9  str	x23, [sp]
0xfffffff0093d2c1c: 3c06c397  bl	#0xfffffff00849450c
0xfffffff0093d2c20: a8aa7a92  and	x8, x21, #0x1ffffffffffc0
0xfffffff0093d2c24: e80300f9  str	x8, [sp]
0xfffffff0093d2c28: c209ffb0  adrp	x2, #0xfffffff00750b000
0xfffffff0093d2c2c: 42243691  add	x2, x2, #0xd89
0xfffffff0093d2c30: e3ffff17  b	#0xfffffff0093d2bbc
0xfffffff0093d2c34: 5f2403d5  bti	c
0xfffffff0093d2c38: a80038d5  mrs	x8, mpidr_el1
0xfffffff0093d2c3c: 1f1d70f2  tst	x8, #0xff0000
0xfffffff0093d2c40: a0000054  b.eq	#0xfffffff0093d2c54
0xfffffff0093d2c44: 087c58d3  ubfx	x8, x0, #0x18, #8
0xfffffff0093d2c48: 095c1053  ubfx	w9, w0, #0x10, #8
0xfffffff0093d2c4c: 290000b9  str	w9, [x1]
0xfffffff0093d2c50: 04000014  b	#0xfffffff0093d2c60
0xfffffff0093d2c54: 08581053  ubfx	w8, w0, #0x10, #7
0xfffffff0093d2c58: 280000b9  str	w8, [x1]
0xfffffff0093d2c5c: 086c1853  ubfx	w8, w0, #0x18, #4
0xfffffff0093d2c60: 480000b9  str	w8, [x2]
0xfffffff0093d2c64: c0035fd6  ret	
0xfffffff0093d2c68: 7f2303d5  pacibsp	
0xfffffff0093d2c6c: ff4302d1  sub	sp, sp, #0x90
0xfffffff0093d2c70: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0093d2c74: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0093d2c78: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0093d2c7c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0093d2c80: fd030291  add	x29, sp, #0x80
0xfffffff0093d2c84: f30303aa  mov	x19, x3
0xfffffff0093d2c88: f40302aa  mov	x20, x2
0xfffffff0093d2c8c: f50301aa  mov	x21, x1
