; Candidate 12355
; ADRP+ADD at VM 0xfffffff00908d1e4 (fileoff 0x20891e4): page=0x1fe3cc000 add_imm=0xe24

0xfffffff00908d164: 090340f9  ldr	x9, [x24]
0xfffffff00908d168: a90000b4  cbz	x9, #0xfffffff00908d17c
0xfffffff00908d16c: 2801088b  add	x8, x9, x8
0xfffffff00908d170: e0031baa  mov	x0, x27
0xfffffff00908d174: 1f0113eb  cmp	x8, x19
0xfffffff00908d178: 83000054  b.lo	#0xfffffff00908d188
0xfffffff00908d17c: 130300f9  str	x19, [x24]
0xfffffff00908d180: 801effb0  adrp	x0, #0xfffffff00745e000
0xfffffff00908d184: 00f00291  add	x0, x0, #0xbc
0xfffffff00908d188: e10318aa  mov	x1, x24
0xfffffff00908d18c: dc000094  bl	#0xfffffff00908d4fc
0xfffffff00908d190: 880240b9  ldr	w8, [x20]
0xfffffff00908d194: 0851199b  madd	x8, x8, x25, x20
0xfffffff00908d198: 08210091  add	x8, x8, #8
0xfffffff00908d19c: e98a0091  add	x9, x23, #0x22
0xfffffff00908d1a0: f7c20191  add	x23, x23, #0x70
0xfffffff00908d1a4: 3f0108eb  cmp	x9, x8
0xfffffff00908d1a8: 03fcff54  b.lo	#0xfffffff00908d128
0xfffffff00908d1ac: 13008052  mov	w19, #0
0xfffffff00908d1b0: 48018052  mov	w8, #0xa
0xfffffff00908d1b4: f8031aaa  mov	x24, x26
0xfffffff00908d1b8: 03000014  b	#0xfffffff00908d1c4
0xfffffff00908d1bc: 13008052  mov	w19, #0
0xfffffff00908d1c0: 48018052  mov	w8, #0xa
0xfffffff00908d1c4: 159400d0  adrp	x21, #0xfffffff00a30f000
0xfffffff00908d1c8: b5420c91  add	x21, x21, #0x310
0xfffffff00908d1cc: a9024039  ldrb	w9, [x21]
0xfffffff00908d1d0: 1f01096b  cmp	w8, w9
0xfffffff00908d1d4: e3000054  b.lo	#0xfffffff00908d1f0
0xfffffff00908d1d8: 687e4093  sxtw	x8, w19
0xfffffff00908d1dc: f87300a9  stp	x24, x28, [sp]
0xfffffff00908d1e0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908d1e4: 601eff90  adrp	x0, #0xfffffff007459000
0xfffffff00908d1e8: 00903891  add	x0, x0, #0xe24
0xfffffff00908d1ec: 8d27cb97  bl	#0xfffffff008357020
0xfffffff00908d1f0: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00908d1f4: e955ff90  adrp	x9, #0xfffffff007b49000
0xfffffff00908d1f8: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff00908d1fc: 290140f9  ldr	x9, [x9]
0xfffffff00908d200: 3f0108eb  cmp	x9, x8
0xfffffff00908d204: 41100054  b.ne	#0xfffffff00908d40c
0xfffffff00908d208: e00313aa  mov	x0, x19
0xfffffff00908d20c: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff00908d210: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff00908d214: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff00908d218: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff00908d21c: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff00908d220: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff00908d224: ffc30491  add	sp, sp, #0x130
0xfffffff00908d228: ff0f5fd6  retab	
0xfffffff00908d22c: fb0301aa  mov	x27, x1
0xfffffff00908d230: 280040f9  ldr	x8, [x1]
0xfffffff00908d234: 68f4ffb4  cbz	x8, #0xfffffff00908d0c0
0xfffffff00908d238: 681b4079  ldrh	w8, [x27, #0xc]
0xfffffff00908d23c: 68070034  cbz	w8, #0xfffffff00908d328
0xfffffff00908d240: 618340ad  ldp	q1, q0, [x27, #0x10]
0xfffffff00908d244: 6203c03d  ldr	q2, [x27]
0xfffffff00908d248: e10303ad  stp	q1, q0, [sp, #0x60]
0xfffffff00908d24c: e217803d  str	q2, [sp, #0x50]
0xfffffff00908d250: 608741ad  ldp	q0, q1, [x27, #0x30]
0xfffffff00908d254: 628f42ad  ldp	q2, q3, [x27, #0x50]
0xfffffff00908d258: e20f05ad  stp	q2, q3, [sp, #0xa0]
0xfffffff00908d25c: e00704ad  stp	q0, q1, [sp, #0x80]
0xfffffff00908d260: e80314aa  mov	x8, x20
