; Candidate 8340
; ADRP+ADD at VM 0xfffffff0088a4b44 (fileoff 0x18a0b44): page=0x1fe945000 add_imm=0xe80

0xfffffff0088a4ac4: 604cffd0  adrp	x0, #0xfffffff007232000
0xfffffff0088a4ac8: 00480991  add	x0, x0, #0x252
0xfffffff0088a4acc: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a4ad0: 644ad497  bl	#0xfffffff007db7460
0xfffffff0088a4ad4: 08008052  mov	w8, #0
0xfffffff0088a4ad8: 76000014  b	#0xfffffff0088a4cb0
0xfffffff0088a4adc: b43d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4ae0: fa0300aa  mov	x26, x0
0xfffffff0088a4ae4: 80008052  mov	w0, #4
0xfffffff0088a4ae8: 5a5bff97  bl	#0xfffffff00887b850
0xfffffff0088a4aec: 680240b9  ldr	w8, [x19]
0xfffffff0088a4af0: e90318aa  mov	x9, x24
0xfffffff0088a4af4: e9e706a9  stp	x9, x25, [sp, #0x68]
0xfffffff0088a4af8: e90316aa  mov	x9, x22
0xfffffff0088a4afc: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff0088a4b00: e90314aa  mov	x9, x20
0xfffffff0088a4b04: e9d704a9  stp	x9, x21, [sp, #0x48]
0xfffffff0088a4b08: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088a4b0c: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4b10: 0a050791  add	x10, x8, #0x1c1
0xfffffff0088a4b14: c84b8052  mov	w8, #0x25e
0xfffffff0088a4b18: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a4b1c: 297d0c91  add	x9, x9, #0x31f
0xfffffff0088a4b20: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a4b24: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4b28: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a4b2c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a4b30: 680f8052  mov	w8, #0x7b
0xfffffff0088a4b34: e34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a4b38: 63840a91  add	x3, x3, #0x2a1
0xfffffff0088a4b3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a4b40: fa0300f9  str	x26, [sp]
0xfffffff0088a4b44: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a4b48: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a4b4c: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4b50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a4b54: 02008052  mov	w2, #0
0xfffffff0088a4b58: 7639ea97  bl	#0xfffffff008333130
0xfffffff0088a4b5c: 1a7d8012  mov	w26, #-0x3e9
0xfffffff0088a4b60: a1000014  b	#0xfffffff0088a4de4
0xfffffff0088a4b64: 9f060071  cmp	w20, #1
0xfffffff0088a4b68: 480a0054  b.hi	#0xfffffff0088a4cb0
0xfffffff0088a4b6c: 360a0037  tbnz	w22, #0, #0xfffffff0088a4cb0
0xfffffff0088a4b70: 5f0115eb  cmp	x10, x21
0xfffffff0088a4b74: ec090054  b.gt	#0xfffffff0088a4cb0
0xfffffff0088a4b78: a00e084e  dup	v0.2d, x21
0xfffffff0088a4b7c: 284bfff0  adrp	x8, #0xfffffff00720b000
0xfffffff0088a4b80: 01e1c23d  ldr	q1, [x8, #0xb80]
0xfffffff0088a4b84: 0184e14e  add	v1.2d, v0.2d, v1.2d
0xfffffff0088a4b88: 284bfff0  adrp	x8, #0xfffffff00720b000
0xfffffff0088a4b8c: 02f1c23d  ldr	q2, [x8, #0xbc0]
0xfffffff0088a4b90: 45000014  b	#0xfffffff0088a4ca4
0xfffffff0088a4b94: 863d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4b98: fa0300aa  mov	x26, x0
0xfffffff0088a4b9c: 00018052  mov	w0, #8
0xfffffff0088a4ba0: 2c5bff97  bl	#0xfffffff00887b850
0xfffffff0088a4ba4: 680240b9  ldr	w8, [x19]
0xfffffff0088a4ba8: 891740b9  ldr	w9, [x28, #0x14]
0xfffffff0088a4bac: ea0316aa  mov	x10, x22
0xfffffff0088a4bb0: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a4bb4: e90314aa  mov	x9, x20
0xfffffff0088a4bb8: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff0088a4bbc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a4bc0: c8558052  mov	w8, #0x2ae
