; Candidate 1233
; ADRP+ADD at VM 0xfffffff0082e2d14 (fileoff 0x12ded14): page=0x1f35000 add_imm=0xdb8

0xfffffff0082e2c94: 0020a99b  umaddl	x0, w0, w9, x8
0xfffffff0082e2c98: 020e8052  mov	w2, #0x70
0xfffffff0082e2c9c: 76f2ee97  bl	#0xfffffff007e9f674
0xfffffff0082e2ca0: 60000034  cbz	w0, #0xfffffff0082e2cac
0xfffffff0082e2ca4: 00008012  mov	w0, #-1
0xfffffff0082e2ca8: 07000014  b	#0xfffffff0082e2cc4
0xfffffff0082e2cac: e803142a  mov	w8, w20
0xfffffff0082e2cb0: 69020032  orr	w9, w19, #1
0xfffffff0082e2cb4: 297d4093  sxtw	x9, w9
0xfffffff0082e2cb8: aaf900b0  adrp	x10, #0xfffffff00a217000
0xfffffff0082e2cbc: 4aa12e91  add	x10, x10, #0xba8
0xfffffff0082e2cc0: 497928f8  str	x9, [x10, x8, lsl #3]
0xfffffff0082e2cc4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0082e2cc8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0082e2ccc: ff0f5fd6  retab	
0xfffffff0082e2cd0: 7f2303d5  pacibsp	
0xfffffff0082e2cd4: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0082e2cd8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0082e2cdc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0082e2ce0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0082e2ce4: fdc30091  add	x29, sp, #0x30
0xfffffff0082e2ce8: f40302aa  mov	x20, x2
0xfffffff0082e2cec: f50301aa  mov	x21, x1
0xfffffff0082e2cf0: f60300aa  mov	x22, x0
0xfffffff0082e2cf4: 080080d2  mov	x8, #0
0xfffffff0082e2cf8: 93d038d5  mrs	x19, tpidr_el1
0xfffffff0082e2cfc: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0082e2d00: b8f900b0  adrp	x24, #0xfffffff00a217000
0xfffffff0082e2d04: 18c33691  add	x24, x24, #0xdb0
0xfffffff0082e2d08: 097fe8c8  casa	x8, x9, [x24]
0xfffffff0082e2d0c: 1f0100f1  cmp	x8, #0
0xfffffff0082e2d10: 81030054  b.ne	#0xfffffff0082e2d80
0xfffffff0082e2d14: a0f900b0  adrp	x0, #0xfffffff00a217000
0xfffffff0082e2d18: 00e03691  add	x0, x0, #0xdb8
0xfffffff0082e2d1c: 39eae997  bl	#0xfffffff007d5d600
0xfffffff0082e2d20: 1f0015eb  cmp	x0, x21
0xfffffff0082e2d24: 62010054  b.hs	#0xfffffff0082e2d50
0xfffffff0082e2d28: f70300aa  mov	x23, x0
0xfffffff0082e2d2c: a1f900b0  adrp	x1, #0xfffffff00a217000
0xfffffff0082e2d30: 21e03691  add	x1, x1, #0xdb8
0xfffffff0082e2d34: e00316aa  mov	x0, x22
0xfffffff0082e2d38: e20315aa  mov	x2, x21
0xfffffff0082e2d3c: 03008092  mov	x3, #-1
0xfffffff0082e2d40: 3df4ee97  bl	#0xfffffff007e9fe34
0xfffffff0082e2d44: 15008052  mov	w21, #0
0xfffffff0082e2d48: 970200f9  str	x23, [x20]
0xfffffff0082e2d4c: 02000014  b	#0xfffffff0082e2d54
0xfffffff0082e2d50: f5078052  mov	w21, #0x3f
0xfffffff0082e2d54: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0082e2d58: e20308aa  mov	x2, x8
0xfffffff0082e2d5c: 1fffa288  casl	w2, wzr, [x24]
0xfffffff0082e2d60: 5f00086b  cmp	w2, w8
0xfffffff0082e2d64: a1010054  b.ne	#0xfffffff0082e2d98
0xfffffff0082e2d68: e00315aa  mov	x0, x21
0xfffffff0082e2d6c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0082e2d70: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0082e2d74: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0082e2d78: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0082e2d7c: ff0f5fd6  retab	
0xfffffff0082e2d80: a0f900b0  adrp	x0, #0xfffffff00a217000
0xfffffff0082e2d84: 00a03691  add	x0, x0, #0xda8
0xfffffff0082e2d88: e10313aa  mov	x1, x19
0xfffffff0082e2d8c: 02008052  mov	w2, #0
0xfffffff0082e2d90: 5a23eb97  bl	#0xfffffff007dabaf8
