; Candidate 3641
; ADRP+ADD at VM 0xfffffff0087494e4 (fileoff 0x17454e4): page=0x1fe9e8000 add_imm=0xd90

0xfffffff008749464: bf1d00f1  cmp	x13, #7
0xfffffff008749468: ee008052  mov	w14, #7
0xfffffff00874946c: ae318e9a  csel	x14, x13, x14, lo
0xfffffff008749470: 0d00088b  add	x13, x0, x8
0xfffffff008749474: ce050091  add	x14, x14, #1
0xfffffff008749478: af696b38  ldrb	w15, [x13, x11]
0xfffffff00874947c: f0194092  and	x16, x15, #0x7f
0xfffffff008749480: 1022cc9a  lsl	x16, x16, x12
0xfffffff008749484: 0a020aaa  orr	x10, x16, x10
0xfffffff008749488: 4f023836  tbz	w15, #7, #0xfffffff0087494d0
0xfffffff00874948c: 6b050091  add	x11, x11, #1
0xfffffff008749490: 8c1d0091  add	x12, x12, #7
0xfffffff008749494: df010beb  cmp	x14, x11
0xfffffff008749498: 01ffff54  b.ne	#0xfffffff008749478
0xfffffff00874949c: 0f000014  b	#0xfffffff0087494d8
0xfffffff0087494a0: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff0087494a4: 08250d91  add	x8, x8, #0x349
0xfffffff0087494a8: e80300f9  str	x8, [sp]
0xfffffff0087494ac: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff0087494b0: 00403691  add	x0, x0, #0xd90
0xfffffff0087494b4: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087494b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087494bc: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff0087494c0: 63943591  add	x3, x3, #0xd65
0xfffffff0087494c4: 02008052  mov	w2, #0
0xfffffff0087494c8: 1aa7ef97  bl	#0xfffffff008333130
0xfffffff0087494cc: c9ffff17  b	#0xfffffff0087493f0
0xfffffff0087494d0: 4cfd60d3  lsr	x12, x10, #0x20
0xfffffff0087494d4: ac0100b4  cbz	x12, #0xfffffff008749508
0xfffffff0087494d8: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff0087494dc: 08250d91  add	x8, x8, #0x349
0xfffffff0087494e0: e80300f9  str	x8, [sp]
0xfffffff0087494e4: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff0087494e8: 00403691  add	x0, x0, #0xd90
0xfffffff0087494ec: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087494f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087494f4: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff0087494f8: 63843691  add	x3, x3, #0xda1
0xfffffff0087494fc: 02008052  mov	w2, #0
0xfffffff008749500: 0ca7ef97  bl	#0xfffffff008333130
0xfffffff008749504: bbffff17  b	#0xfffffff0087493f0
0xfffffff008749508: 6c050091  add	x12, x11, #1
0xfffffff00874950c: 4c0000f9  str	x12, [x2]
0xfffffff008749510: 8c010a8b  add	x12, x12, x10
0xfffffff008749514: 3f010ceb  cmp	x9, x12
0xfffffff008749518: a2010054  b.hs	#0xfffffff00874954c
0xfffffff00874951c: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff008749520: 08250d91  add	x8, x8, #0x349
0xfffffff008749524: e80300f9  str	x8, [sp]
0xfffffff008749528: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874952c: 00403691  add	x0, x0, #0xd90
0xfffffff008749530: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008749534: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008749538: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff00874953c: 63183791  add	x3, x3, #0xdc6
0xfffffff008749540: 02008052  mov	w2, #0
0xfffffff008749544: fba6ef97  bl	#0xfffffff008333130
0xfffffff008749548: aaffff17  b	#0xfffffff0087493f0
0xfffffff00874954c: 00008052  mov	w0, #0
0xfffffff008749550: 08010b8b  add	x8, x8, x11
0xfffffff008749554: 08010a8b  add	x8, x8, x10
0xfffffff008749558: 08050091  add	x8, x8, #1
0xfffffff00874955c: 480000f9  str	x8, [x2]
0xfffffff008749560: a5ffff17  b	#0xfffffff0087493f4
