; Candidate 13199
; ADRP+ADD at VM 0xfffffff00921d0e8 (fileoff 0x22190e8): page=0x10fe000 add_imm=0xd50

0xfffffff00921d068: e00313aa  mov	x0, x19
0xfffffff00921d06c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00921d070: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00921d074: ff2303d5  autibsp	
0xfffffff00921d078: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00921d07c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00921d084
0xfffffff00921d080: 208e38d4  brk	#0xc471
0xfffffff00921d084: af9bc517  b	#0xfffffff008383f40
0xfffffff00921d088: 7f2303d5  pacibsp	
0xfffffff00921d08c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00921d090: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00921d094: fd430091  add	x29, sp, #0x10
0xfffffff00921d098: f30300aa  mov	x19, x0
0xfffffff00921d09c: 6fffff97  bl	#0xfffffff00921ce58
0xfffffff00921d0a0: 804bff90  adrp	x0, #0xfffffff007b8d000
0xfffffff00921d0a4: 00402a91  add	x0, x0, #0xa90
0xfffffff00921d0a8: e10313aa  mov	x1, x19
0xfffffff00921d0ac: 021e8052  mov	w2, #0xf0
0xfffffff00921d0b0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00921d0b4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00921d0b8: ff2303d5  autibsp	
0xfffffff00921d0bc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00921d0c0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00921d0c8
0xfffffff00921d0c4: 208e38d4  brk	#0xc471
0xfffffff00921d0c8: 7529c317  b	#0xfffffff0082e769c
0xfffffff00921d0cc: 5f2403d5  bti	c
0xfffffff00921d0d0: e20301aa  mov	x2, x1
0xfffffff00921d0d4: e10300aa  mov	x1, x0
0xfffffff00921d0d8: 804bff90  adrp	x0, #0xfffffff007b8d000
0xfffffff00921d0dc: 00402a91  add	x0, x0, #0xa90
0xfffffff00921d0e0: 6f29c317  b	#0xfffffff0082e769c
0xfffffff00921d0e4: 5f2403d5  bti	c
0xfffffff00921d0e8: e08700d0  adrp	x0, #0xfffffff00a31b000
0xfffffff00921d0ec: 00403591  add	x0, x0, #0xd50
0xfffffff00921d0f0: c0035fd6  ret	
0xfffffff00921d0f4: 7f2303d5  pacibsp	
0xfffffff00921d0f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00921d0fc: fd030091  mov	x29, sp
0xfffffff00921d100: 8114ffd0  adrp	x1, #0xfffffff0074af000
0xfffffff00921d104: 21c41491  add	x1, x1, #0x531
0xfffffff00921d108: 624bffd0  adrp	x2, #0xfffffff007b8b000
0xfffffff00921d10c: 426843f9  ldr	x2, [x2, #0x6d0]
0xfffffff00921d110: 031e8052  mov	w3, #0xf0
0xfffffff00921d114: 891ac397  bl	#0xfffffff0082e3b38
0xfffffff00921d118: 904bff90  adrp	x16, #0xfffffff007b8d000
0xfffffff00921d11c: 10821e91  add	x16, x16, #0x7a0
0xfffffff00921d120: 10420091  add	x16, x16, #0x10
0xfffffff00921d124: f10300aa  mov	x17, x0
0xfffffff00921d128: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921d12c: 300ac1da  pacda	x16, x17
0xfffffff00921d130: 100000f9  str	x16, [x0]
0xfffffff00921d134: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00921d138: ff0f5fd6  retab	
0xfffffff00921d13c: 7f2303d5  pacibsp	
0xfffffff00921d140: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00921d144: fd030091  mov	x29, sp
0xfffffff00921d148: 804bff90  adrp	x0, #0xfffffff007b8d000
0xfffffff00921d14c: 00402a91  add	x0, x0, #0xa90
0xfffffff00921d150: 011e8052  mov	w1, #0xf0
0xfffffff00921d154: 3929c397  bl	#0xfffffff0082e7638
0xfffffff00921d158: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00921d15c: ff2303d5  autibsp	
0xfffffff00921d160: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00921d164: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00921d16c
