; Candidate 4906
; ADRP+ADD at VM 0xfffffff0087cc7b0 (fileoff 0x17c87b0): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087cc730: 3abc0294  bl	#0xfffffff00887b818
0xfffffff0087cc734: f40300aa  mov	x20, x0
0xfffffff0087cc738: 9d9e0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc73c: f50300aa  mov	x21, x0
0xfffffff0087cc740: e0008052  mov	w0, #7
0xfffffff0087cc744: 43bc0294  bl	#0xfffffff00887b850
0xfffffff0087cc748: f4380034  cbz	w20, #0xfffffff0087cce64
0xfffffff0087cc74c: 683f51f9  ldr	x8, [x27, #0x2278]
0xfffffff0087cc750: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cc754: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff0087cc758: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0087cc75c: ea2302a9  stp	x10, x8, [sp, #0x20]
0xfffffff0087cc760: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087cc764: a80f8052  mov	w8, #0x7d
0xfffffff0087cc768: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cc76c: 0052fff0  adrp	x0, #0xfffffff00720f000
0xfffffff0087cc770: 00d03591  add	x0, x0, #0xd74
0xfffffff0087cc774: 3babd797  bl	#0xfffffff007db7460
0xfffffff0087cc778: cf010014  b	#0xfffffff0087cceb4
0xfffffff0087cc77c: 8c9e0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc780: f30300aa  mov	x19, x0
0xfffffff0087cc784: 80008052  mov	w0, #4
0xfffffff0087cc788: 32bc0294  bl	#0xfffffff00887b850
0xfffffff0087cc78c: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc790: 08c93991  add	x8, x8, #0xe72
0xfffffff0087cc794: c9b08052  mov	w9, #0x586
0xfffffff0087cc798: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cc79c: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc7a0: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc7a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc7a8: 68008052  mov	w8, #3
0xfffffff0087cc7ac: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cc7b0: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cc7b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cc7b8: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cc7bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cc7c0: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cc7c4: 63e81091  add	x3, x3, #0x43a
0xfffffff0087cc7c8: 02008052  mov	w2, #0
0xfffffff0087cc7cc: 599aed97  bl	#0xfffffff008333130
0xfffffff0087cc7d0: 95010014  b	#0xfffffff0087cce24
0xfffffff0087cc7d4: 769e0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc7d8: f40300aa  mov	x20, x0
0xfffffff0087cc7dc: e0008052  mov	w0, #7
0xfffffff0087cc7e0: 1cbc0294  bl	#0xfffffff00887b850
0xfffffff0087cc7e4: 683751f9  ldr	x8, [x27, #0x2268]
0xfffffff0087cc7e8: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cc7ec: 0a2140b9  ldr	w10, [x8, #0x20]
0xfffffff0087cc7f0: 082d4229  ldp	w8, w11, [x8, #0x10]
0xfffffff0087cc7f4: ec031caa  mov	x12, x28
0xfffffff0087cc7f8: ec2303a9  stp	x12, x8, [sp, #0x30]
0xfffffff0087cc7fc: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff0087cc800: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087cc804: a80f8052  mov	w8, #0x7d
0xfffffff0087cc808: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cc80c: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cc810: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cc814: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cc818: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cc81c: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cc820: 63c81d91  add	x3, x3, #0x772
0xfffffff0087cc824: 02008052  mov	w2, #0
0xfffffff0087cc828: 429aed97  bl	#0xfffffff008333130
0xfffffff0087cc82c: f6030034  cbz	w22, #0xfffffff0087cc8a8
