; Candidate 4209
; ADRP+ADD at VM 0xfffffff00879698c (fileoff 0x179298c): page=0x1fe99b000 add_imm=0xd90

0xfffffff00879690c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008796910: fd430191  add	x29, sp, #0x50
0xfffffff008796914: 287840b9  ldr	w8, [x1, #0x78]
0xfffffff008796918: 1f450071  cmp	w8, #0x11
0xfffffff00879691c: 23020054  b.lo	#0xfffffff008796960
0xfffffff008796920: 53588052  mov	w19, #0x2c2
0xfffffff008796924: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796928: 09028052  mov	w9, #0x10
0xfffffff00879692c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008796930: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008796934: 299d0991  add	x9, x9, #0x267
0xfffffff008796938: e90300f9  str	x9, [sp]
0xfffffff00879693c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796940: 00403691  add	x0, x0, #0xd90
0xfffffff008796944: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796948: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879694c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796950: 63ac3591  add	x3, x3, #0xd6b
0xfffffff008796954: 02008052  mov	w2, #0
0xfffffff008796958: f671ee97  bl	#0xfffffff008333130
0xfffffff00879695c: 3b000014  b	#0xfffffff008796a48
0xfffffff008796960: f50301aa  mov	x21, x1
0xfffffff008796964: 287c40b9  ldr	w8, [x1, #0x7c]
0xfffffff008796968: 1f050471  cmp	w8, #0x101
0xfffffff00879696c: 23020054  b.lo	#0xfffffff0087969b0
0xfffffff008796970: 53588052  mov	w19, #0x2c2
0xfffffff008796974: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796978: 09208052  mov	w9, #0x100
0xfffffff00879697c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008796980: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008796984: 299d0991  add	x9, x9, #0x267
0xfffffff008796988: e90300f9  str	x9, [sp]
0xfffffff00879698c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796990: 00403691  add	x0, x0, #0xd90
0xfffffff008796994: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796998: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879699c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff0087969a0: 637c3691  add	x3, x3, #0xd9f
0xfffffff0087969a4: 02008052  mov	w2, #0
0xfffffff0087969a8: e271ee97  bl	#0xfffffff008333130
0xfffffff0087969ac: 27000014  b	#0xfffffff008796a48
0xfffffff0087969b0: f40300aa  mov	x20, x0
0xfffffff0087969b4: 086869b9  ldr	w8, [x0, #0x2968]
0xfffffff0087969b8: 09050051  sub	w9, w8, #1
0xfffffff0087969bc: 3f0d0071  cmp	w9, #3
0xfffffff0087969c0: a8020054  b.hi	#0xfffffff008796a14
0xfffffff0087969c4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0087969c8: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff0087969cc: 81866bb9  ldr	w1, [x20, #0x2b84]
0xfffffff0087969d0: 824241b9  ldr	w2, [x20, #0x140]
0xfffffff0087969d4: e3a30091  add	x3, sp, #0x28
0xfffffff0087969d8: a2c3fe97  bl	#0xfffffff008747860
0xfffffff0087969dc: 20040034  cbz	w0, #0xfffffff008796a60
0xfffffff0087969e0: f30300aa  mov	x19, x0
0xfffffff0087969e4: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff0087969e8: 089d0991  add	x8, x8, #0x267
0xfffffff0087969ec: e84f00a9  stp	x8, x19, [sp]
0xfffffff0087969f0: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087969f4: 00403691  add	x0, x0, #0xd90
0xfffffff0087969f8: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087969fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796a00: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796a04: 637c3791  add	x3, x3, #0xddf
0xfffffff008796a08: 02008052  mov	w2, #0
