; Candidate 4452
; ADRP+ADD at VM 0xfffffff0087b298c (fileoff 0x17ae98c): page=0x1ff255000 add_imm=0xdd8

0xfffffff0087b290c: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0087b2910: e90310aa  mov	x9, x16
0xfffffff0087b2914: 010080d2  mov	x1, #0
0xfffffff0087b2918: f10309aa  mov	x17, x9
0xfffffff0087b291c: 3173e4f2  movk	x17, #0x2399, lsl #48
0xfffffff0087b2920: 11093fd7  blraa	x8, x17
0xfffffff0087b2924: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b2928: 400100b4  cbz	x0, #0xfffffff0087b2950
0xfffffff0087b292c: 100040f9  ldr	x16, [x0]
0xfffffff0087b2930: f10300aa  mov	x17, x0
0xfffffff0087b2934: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b2938: 301ac1da  autda	x16, x17
0xfffffff0087b293c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0087b2940: e90310aa  mov	x9, x16
0xfffffff0087b2944: f10309aa  mov	x17, x9
0xfffffff0087b2948: b19ae8f2  movk	x17, #0x44d5, lsl #48
0xfffffff0087b294c: 11093fd7  blraa	x8, x17
0xfffffff0087b2950: 7f1a05f9  str	xzr, [x19, #0xa30]
0xfffffff0087b2954: 604646f9  ldr	x0, [x19, #0xc88]
0xfffffff0087b2958: 400100b4  cbz	x0, #0xfffffff0087b2980
0xfffffff0087b295c: 100040f9  ldr	x16, [x0]
0xfffffff0087b2960: f10300aa  mov	x17, x0
0xfffffff0087b2964: 711cf6f2  movk	x17, #0xb0e3, lsl #48
0xfffffff0087b2968: 301ac1da  autda	x16, x17
0xfffffff0087b296c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0087b2970: e90310aa  mov	x9, x16
0xfffffff0087b2974: f10309aa  mov	x17, x9
0xfffffff0087b2978: 71e8e9f2  movk	x17, #0x4f43, lsl #48
0xfffffff0087b297c: 11093fd7  blraa	x8, x17
0xfffffff0087b2980: 7f4606f9  str	xzr, [x19, #0xc88]
0xfffffff0087b2984: 61b646f9  ldr	x1, [x19, #0xd68]
0xfffffff0087b2988: 7fb606f9  str	xzr, [x19, #0xd68]
0xfffffff0087b298c: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b2990: 00603791  add	x0, x0, #0xdd8
0xfffffff0087b2994: 02c08252  mov	w2, #0x1600
0xfffffff0087b2998: 2200a072  movk	w2, #1, lsl #16
0xfffffff0087b299c: 1391ee97  bl	#0xfffffff008356de8
0xfffffff0087b29a0: 61ba46f9  ldr	x1, [x19, #0xd70]
0xfffffff0087b29a4: 7fba06f9  str	xzr, [x19, #0xd70]
0xfffffff0087b29a8: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b29ac: 00a03891  add	x0, x0, #0xe28
0xfffffff0087b29b0: 02808b52  mov	w2, #0x5c00
0xfffffff0087b29b4: 4200a072  movk	w2, #2, lsl #16
0xfffffff0087b29b8: 0c91ee97  bl	#0xfffffff008356de8
0xfffffff0087b29bc: 61be46f9  ldr	x1, [x19, #0xd78]
0xfffffff0087b29c0: 7fbe06f9  str	xzr, [x19, #0xd78]
0xfffffff0087b29c4: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b29c8: 00e03991  add	x0, x0, #0xe78
0xfffffff0087b29cc: 02588452  mov	w2, #0x22c0
0xfffffff0087b29d0: c201a072  movk	w2, #0xe, lsl #16
0xfffffff0087b29d4: 0591ee97  bl	#0xfffffff008356de8
0xfffffff0087b29d8: 61c246f9  ldr	x1, [x19, #0xd80]
0xfffffff0087b29dc: 7fc206f9  str	xzr, [x19, #0xd80]
0xfffffff0087b29e0: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b29e4: 00203b91  add	x0, x0, #0xec8
0xfffffff0087b29e8: 02a08852  mov	w2, #0x4500
0xfffffff0087b29ec: c20fa072  movk	w2, #0x7e, lsl #16
0xfffffff0087b29f0: fe90ee97  bl	#0xfffffff008356de8
0xfffffff0087b29f4: 604e46f9  ldr	x0, [x19, #0xc98]
0xfffffff0087b29f8: 400100b4  cbz	x0, #0xfffffff0087b2a20
0xfffffff0087b29fc: 100040f9  ldr	x16, [x0]
0xfffffff0087b2a00: f10300aa  mov	x17, x0
0xfffffff0087b2a04: 3188f0f2  movk	x17, #0x8441, lsl #48
0xfffffff0087b2a08: 301ac1da  autda	x16, x17
