; Candidate 10476
; ADRP+ADD at VM 0xfffffff008d77388 (fileoff 0x1d73388): page=0x1fe615000 add_imm=0xd58

0xfffffff008d77308: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d7730c: 21c8d697  bl	#0xfffffff008329390
0xfffffff008d77310: 48ac0090  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d77314: 002d01f9  str	x0, [x8, #0x258]
0xfffffff008d77318: c031ff90  adrp	x0, #0xfffffff0073af000
0xfffffff008d7731c: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d77320: 1cc8d697  bl	#0xfffffff008329390
0xfffffff008d77324: 48ac0090  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d77328: 003101f9  str	x0, [x8, #0x260]
0xfffffff008d7732c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d77330: ff0f5fd6  retab	
0xfffffff008d77334: 5f2403d5  bti	c
0xfffffff008d77338: c0035fd6  ret	
0xfffffff008d7733c: 7f2303d5  pacibsp	
0xfffffff008d77340: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d77344: fd030091  mov	x29, sp
0xfffffff008d77348: 0820601e  fcmp	d0, #0.0
0xfffffff008d7734c: a5000054  b.pl	#0xfffffff008d77360
0xfffffff008d77350: 0040611e  fneg	d0, d0
0xfffffff008d77354: faffff97  bl	#0xfffffff008d7733c
0xfffffff008d77358: 0040611e  fneg	d0, d0
0xfffffff008d7735c: 16000014  b	#0xfffffff008d773b4
0xfffffff008d77360: a830ffb0  adrp	x8, #0xfffffff00738c000
0xfffffff008d77364: 016946fd  ldr	d1, [x8, #0xcd0]
0xfffffff008d77368: 0020611e  fcmp	d0, d1
0xfffffff008d7736c: e9010054  b.ls	#0xfffffff008d773a8
0xfffffff008d77370: a830ffb0  adrp	x8, #0xfffffff00738c000
0xfffffff008d77374: 017146fd  ldr	d1, [x8, #0xce0]
0xfffffff008d77378: 0028611e  fadd	d0, d0, d1
0xfffffff008d7737c: a830ffb0  adrp	x8, #0xfffffff00738c000
0xfffffff008d77380: 017546fd  ldr	d1, [x8, #0xce8]
0xfffffff008d77384: 0018611e  fdiv	d0, d0, d1
0xfffffff008d77388: a030ffb0  adrp	x0, #0xfffffff00738c000
0xfffffff008d7738c: 00603591  add	x0, x0, #0xd58
0xfffffff008d77390: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d77394: ff2303d5  autibsp	
0xfffffff008d77398: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d7739c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d773a4
0xfffffff008d773a0: 208e38d4  brk	#0xc471
0xfffffff008d773a4: 06000014  b	#0xfffffff008d773bc
0xfffffff008d773a8: a830ffb0  adrp	x8, #0xfffffff00738c000
0xfffffff008d773ac: 016d46fd  ldr	d1, [x8, #0xcd8]
0xfffffff008d773b0: 0018611e  fdiv	d0, d0, d1
0xfffffff008d773b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d773b8: ff0f5fd6  retab	
0xfffffff008d773bc: 7f2303d5  pacibsp	
0xfffffff008d773c0: e923be6d  stp	d9, d8, [sp, #-0x20]!
0xfffffff008d773c4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d773c8: fd430091  add	x29, sp, #0x10
0xfffffff008d773cc: 08106e1e  fmov	d8, #1.00000000
0xfffffff008d773d0: 0020681e  fcmp	d0, d8
0xfffffff008d773d4: ad000054  b.le	#0xfffffff008d773e8
0xfffffff008d773d8: 0019601e  fdiv	d0, d8, d0
0xfffffff008d773dc: f8ffff97  bl	#0xfffffff008d773bc
0xfffffff008d773e0: 0119601e  fdiv	d1, d8, d0
0xfffffff008d773e4: 1c000014  b	#0xfffffff008d77454
0xfffffff008d773e8: 01e4002f  movi	d1, #0000000000000000
0xfffffff008d773ec: 0820601e  fcmp	d0, #0.0
0xfffffff008d773f0: 20030054  b.eq	#0xfffffff008d77454
0xfffffff008d773f4: 080080d2  mov	x8, #0
0xfffffff008d773f8: 01106e1e  fmov	d1, #1.00000000
0xfffffff008d773fc: 09ed7cd3  lsl	x9, x8, #4
0xfffffff008d77400: 026869fc  ldr	d2, [x0, x9]
0xfffffff008d77404: 0020621e  fcmp	d0, d2
