; Candidate 5742
; ADRP+ADD at VM 0xfffffff0088028e8 (fileoff 0x17fe8e8): page=0x1fe9e7000 add_imm=0xe80

0xfffffff008802868: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880286c: e80313aa  mov	x8, x19
0xfffffff008802870: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff008802874: 00782791  add	x0, x0, #0x9de
0xfffffff008802878: f62300a9  stp	x22, x8, [sp]
0xfffffff00880287c: 0c000014  b	#0xfffffff0088028ac
0xfffffff008802880: 60040034  cbz	w0, #0xfffffff00880290c
0xfffffff008802884: e803154b  neg	w8, w21
0xfffffff008802888: 28042837  tbnz	w8, #5, #0xfffffff00880290c
0xfffffff00880288c: 28ab4e39  ldrb	w8, [x25, #0x3aa]
0xfffffff008802890: 29a34c39  ldrb	w9, [x25, #0x328]
0xfffffff008802894: 2aa74c39  ldrb	w10, [x25, #0x329]
0xfffffff008802898: 2b2746b9  ldr	w11, [x25, #0x624]
0xfffffff00880289c: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff0088028a0: e82f00a9  stp	x8, x11, [sp]
0xfffffff0088028a4: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff0088028a8: 00b02591  add	x0, x0, #0x96c
0xfffffff0088028ac: edd2d697  bl	#0xfffffff007db7460
0xfffffff0088028b0: 25000014  b	#0xfffffff008802944
0xfffffff0088028b4: 3ec60294  bl	#0xfffffff0088b41ac
0xfffffff0088028b8: f60300aa  mov	x22, x0
0xfffffff0088028bc: e00314aa  mov	x0, x20
0xfffffff0088028c0: e4e30194  bl	#0xfffffff00887b850
0xfffffff0088028c4: 28ab4e39  ldrb	w8, [x25, #0x3aa]
0xfffffff0088028c8: 29a34c39  ldrb	w9, [x25, #0x328]
0xfffffff0088028cc: 2aa74c39  ldrb	w10, [x25, #0x329]
0xfffffff0088028d0: 2b2746b9  ldr	w11, [x25, #0x624]
0xfffffff0088028d4: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff0088028d8: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff0088028dc: e80313aa  mov	x8, x19
0xfffffff0088028e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088028e4: f60300f9  str	x22, [sp]
0xfffffff0088028e8: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088028ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088028f0: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088028f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088028f8: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff0088028fc: 63201e91  add	x3, x3, #0x788
0xfffffff008802900: 02008052  mov	w2, #0
0xfffffff008802904: 0bc2ec97  bl	#0xfffffff008333130
0xfffffff008802908: 0f000014  b	#0xfffffff008802944
0xfffffff00880290c: 28ab4e39  ldrb	w8, [x25, #0x3aa]
0xfffffff008802910: 29a34c39  ldrb	w9, [x25, #0x328]
0xfffffff008802914: 2aa74c39  ldrb	w10, [x25, #0x329]
0xfffffff008802918: 2b2746b9  ldr	w11, [x25, #0x624]
0xfffffff00880291c: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008802920: e82f00a9  stp	x8, x11, [sp]
0xfffffff008802924: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008802928: 00003a91  add	x0, x0, #0xe80
0xfffffff00880292c: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008802930: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008802934: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff008802938: 635c1c91  add	x3, x3, #0x717
0xfffffff00880293c: 02008052  mov	w2, #0
0xfffffff008802940: fcc1ec97  bl	#0xfffffff008333130
0xfffffff008802944: e00313aa  mov	x0, x19
0xfffffff008802948: e10314aa  mov	x1, x20
0xfffffff00880294c: a1e30194  bl	#0xfffffff00887b7d0
0xfffffff008802950: a0070034  cbz	w0, #0xfffffff008802a44
0xfffffff008802954: e00313aa  mov	x0, x19
0xfffffff008802958: b0e30194  bl	#0xfffffff00887b818
0xfffffff00880295c: 5502f837  tbnz	w21, #0x1f, #0xfffffff0088029a4
0xfffffff008802960: b7021b12  and	w23, w21, #0x20
0xfffffff008802964: 18000052  eor	w24, w0, #1
