; Candidate 3723
; ADRP+ADD at VM 0xfffffff008754518 (fileoff 0x1750518): page=0x1fe9dd000 add_imm=0xd90

0xfffffff008754498: 5f2403d5  bti	c
0xfffffff00875449c: 080c40b9  ldr	w8, [x0, #0xc]
0xfffffff0087544a0: 1f010071  cmp	w8, #0
0xfffffff0087544a4: e0179f1a  cset	w0, eq
0xfffffff0087544a8: c0035fd6  ret	
0xfffffff0087544ac: 7f2303d5  pacibsp	
0xfffffff0087544b0: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087544b4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087544b8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087544bc: fd830091  add	x29, sp, #0x20
0xfffffff0087544c0: f40302aa  mov	x20, x2
0xfffffff0087544c4: f30300aa  mov	x19, x0
0xfffffff0087544c8: 288bff97  bl	#0xfffffff008737168
0xfffffff0087544cc: 5095fff0  adrp	x16, #0xfffffff0079ff000
0xfffffff0087544d0: 10a22b91  add	x16, x16, #0xae8
0xfffffff0087544d4: 10420091  add	x16, x16, #0x10
0xfffffff0087544d8: f10300aa  mov	x17, x0
0xfffffff0087544dc: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff0087544e0: 300ac1da  pacda	x16, x17
0xfffffff0087544e4: 100000f9  str	x16, [x0]
0xfffffff0087544e8: 8095ff90  adrp	x0, #0xfffffff007a04000
0xfffffff0087544ec: 00a02691  add	x0, x0, #0x9a8
0xfffffff0087544f0: 0108f097  bl	#0xfffffff0083564f4
0xfffffff0087544f4: 01008052  mov	w1, #0
0xfffffff0087544f8: e20314aa  mov	x2, x20
0xfffffff0087544fc: 717cff97  bl	#0xfffffff0087336c0
0xfffffff008754500: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff008754504: a00100b5  cbnz	x0, #0xfffffff008754538
0xfffffff008754508: c8048052  mov	w8, #0x26
0xfffffff00875450c: 2950ffb0  adrp	x9, #0xfffffff007159000
0xfffffff008754510: 29290491  add	x9, x9, #0x10a
0xfffffff008754514: e92300a9  stp	x9, x8, [sp]
0xfffffff008754518: e04effb0  adrp	x0, #0xfffffff007131000
0xfffffff00875451c: 00403691  add	x0, x0, #0xd90
0xfffffff008754520: 4195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008754524: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008754528: 634fffb0  adrp	x3, #0xfffffff007141000
0xfffffff00875452c: 631c0591  add	x3, x3, #0x147
0xfffffff008754530: 02008052  mov	w2, #0
0xfffffff008754534: ff7aef97  bl	#0xfffffff008333130
0xfffffff008754538: 08008652  mov	w8, #0x3000
0xfffffff00875453c: 689600f9  str	x8, [x19, #0x128]
0xfffffff008754540: 8095fff0  adrp	x0, #0xfffffff007a07000
0xfffffff008754544: 00201391  add	x0, x0, #0x4c8
0xfffffff008754548: 01009852  mov	w1, #0xc000
0xfffffff00875454c: 210af097  bl	#0xfffffff008356dd0
0xfffffff008754550: 609200f9  str	x0, [x19, #0x120]
0xfffffff008754554: a00100b5  cbnz	x0, #0xfffffff008754588
0xfffffff008754558: 88058052  mov	w8, #0x2c
0xfffffff00875455c: 2950ffb0  adrp	x9, #0xfffffff007159000
0xfffffff008754560: 29290491  add	x9, x9, #0x10a
0xfffffff008754564: e92300a9  stp	x9, x8, [sp]
0xfffffff008754568: e04effb0  adrp	x0, #0xfffffff007131000
0xfffffff00875456c: 00403691  add	x0, x0, #0xd90
0xfffffff008754570: 4195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008754574: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008754578: 634fffb0  adrp	x3, #0xfffffff007141000
0xfffffff00875457c: 63e80591  add	x3, x3, #0x17a
0xfffffff008754580: 02008052  mov	w2, #0
0xfffffff008754584: eb7aef97  bl	#0xfffffff008333130
0xfffffff008754588: 14268052  mov	w20, #0x130
0xfffffff00875458c: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff008754590: 6302148b  add	x3, x19, x20
0xfffffff008754594: 01598552  mov	w1, #0x2ac8
