; Candidate 14232
; ADRP+ADD at VM 0xfffffff009753184 (fileoff 0x274f184): page=0xc38000 add_imm=0xe20

0xfffffff009753104: e1ffff17  b	#0xfffffff009753088
0xfffffff009753108: 7f2303d5  pacibsp	
0xfffffff00975310c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009753110: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009753114: fd430091  add	x29, sp, #0x10
0xfffffff009753118: f30301aa  mov	x19, x1
0xfffffff00975311c: f40300aa  mov	x20, x0
0xfffffff009753120: e00301aa  mov	x0, x1
0xfffffff009753124: e4c3fd97  bl	#0xfffffff0096c40b4
0xfffffff009753128: 900240f9  ldr	x16, [x20]
0xfffffff00975312c: f10314aa  mov	x17, x20
0xfffffff009753130: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009753134: 301ac1da  autda	x16, x17
0xfffffff009753138: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00975313c: e20310aa  mov	x2, x16
0xfffffff009753140: f00308aa  mov	x16, x8
0xfffffff009753144: e00314aa  mov	x0, x20
0xfffffff009753148: e10313aa  mov	x1, x19
0xfffffff00975314c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009753150: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009753154: ff2303d5  autibsp	
0xfffffff009753158: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00975315c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009753164
0xfffffff009753160: 208e38d4  brk	#0xc471
0xfffffff009753164: f10302aa  mov	x17, x2
0xfffffff009753168: 7197e7f2  movk	x17, #0x3cbb, lsl #48
0xfffffff00975316c: 110a1fd7  braa	x16, x17
0xfffffff009753170: 5f2403d5  bti	c
0xfffffff009753174: 6045ae17  b	#0xfffffff0082e46f4
0xfffffff009753178: 7f2303d5  pacibsp	
0xfffffff00975317c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009753180: fd030091  mov	x29, sp
0xfffffff009753184: c0610090  adrp	x0, #0xfffffff00a38b000
0xfffffff009753188: 00803891  add	x0, x0, #0xe20
0xfffffff00975318c: 21f2feb0  adrp	x1, #0xfffffff007598000
0xfffffff009753190: 21180491  add	x1, x1, #0x106
0xfffffff009753194: 0226fff0  adrp	x2, #0xfffffff007c16000
0xfffffff009753198: 424842f9  ldr	x2, [x2, #0x490]
0xfffffff00975319c: 03078052  mov	w3, #0x38
0xfffffff0097531a0: 6642ae97  bl	#0xfffffff0082e3b38
0xfffffff0097531a4: 1027fff0  adrp	x16, #0xfffffff007c36000
0xfffffff0097531a8: 10020e91  add	x16, x16, #0x380
0xfffffff0097531ac: 10420091  add	x16, x16, #0x10
0xfffffff0097531b0: f10300aa  mov	x17, x0
0xfffffff0097531b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097531b8: 300ac1da  pacda	x16, x17
0xfffffff0097531bc: 100000f9  str	x16, [x0]
0xfffffff0097531c0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097531c4: ff0f5fd6  retab	
0xfffffff0097531c8: 5f2403d5  bti	c
0xfffffff0097531cc: c0610090  adrp	x0, #0xfffffff00a38b000
0xfffffff0097531d0: 00803891  add	x0, x0, #0xe20
0xfffffff0097531d4: 4845ae17  b	#0xfffffff0082e46f4
0xfffffff0097531d8: 7f2303d5  pacibsp	
0xfffffff0097531dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097531e0: fd030091  mov	x29, sp
0xfffffff0097531e4: 21f2feb0  adrp	x1, #0xfffffff007598000
0xfffffff0097531e8: 21040691  add	x1, x1, #0x181
0xfffffff0097531ec: c2610090  adrp	x2, #0xfffffff00a38b000
0xfffffff0097531f0: 42601791  add	x2, x2, #0x5d8
0xfffffff0097531f4: 03d38152  mov	w3, #0xe98
0xfffffff0097531f8: 5042ae97  bl	#0xfffffff0082e3b38
0xfffffff0097531fc: 1027fff0  adrp	x16, #0xfffffff007c36000
0xfffffff009753200: 10423091  add	x16, x16, #0xc10
