; Candidate 3340
; ADRP+ADD at VM 0xfffffff0087346a0 (fileoff 0x17306a0): page=0x1fe9fd000 add_imm=0xd90

0xfffffff008734620: 09dd75b9  ldr	w9, [x8, #0x35dc]
0xfffffff008734624: 09060034  cbz	w9, #0xfffffff0087346e4
0xfffffff008734628: 160080d2  mov	x22, #0
0xfffffff00873462c: 89bb8652  mov	w9, #0x35dc
0xfffffff008734630: 1701098b  add	x23, x8, x9
0xfffffff008734634: 18188052  mov	w24, #0xc0
0xfffffff008734638: 09bc8652  mov	w9, #0x35e0
0xfffffff00873463c: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008734640: 5423099b  madd	x20, x26, x9, x8
0xfffffff008734644: 684a3b8b  add	x8, x19, w27, uxtw #2
0xfffffff008734648: 09208052  mov	w9, #0x100
0xfffffff00873464c: 09b8a572  movk	w9, #0x2dc0, lsl #16
0xfffffff008734650: c90e1c33  bfi	w9, w22, #4, #4
0xfffffff008734654: 098d00b8  str	w9, [x8, #8]!
0xfffffff008734658: d5010034  cbz	w21, #0xfffffff008734690
0xfffffff00873465c: 0a0080d2  mov	x10, #0
0xfffffff008734660: eb2f40f9  ldr	x11, [sp, #0x58]
0xfffffff008734664: 0cbc8652  mov	w12, #0x35e0
0xfffffff008734668: 4b2f0c9b  madd	x11, x26, x12, x11
0xfffffff00873466c: cb2e189b  madd	x11, x22, x24, x11
0xfffffff008734670: 6b255db9  ldr	w11, [x11, #0x1d24]
0xfffffff008734674: 8c7b6af8  ldr	x12, [x28, x10, lsl #3]
0xfffffff008734678: 8c0d40b9  ldr	w12, [x12, #0xc]
0xfffffff00873467c: 9f010b6b  cmp	w12, w11
0xfffffff008734680: 20020054  b.eq	#0xfffffff0087346c4
0xfffffff008734684: 4a050091  add	x10, x10, #1
0xfffffff008734688: bf020aeb  cmp	x21, x10
0xfffffff00873468c: 41ffff54  b.ne	#0xfffffff008734674
0xfffffff008734690: c852189b  madd	x8, x22, x24, x20
0xfffffff008734694: 08395db9  ldr	w8, [x8, #0x1d38]
0xfffffff008734698: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff00873469c: fb0300f9  str	x27, [sp]
0xfffffff0087346a0: e04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087346a4: 00403691  add	x0, x0, #0xd90
0xfffffff0087346a8: 4196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087346ac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087346b0: 02008052  mov	w2, #0
0xfffffff0087346b4: 2350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff0087346b8: 63300891  add	x3, x3, #0x20c
0xfffffff0087346bc: 9dfaef97  bl	#0xfffffff008333130
0xfffffff0087346c0: 04000014  b	#0xfffffff0087346d0
0xfffffff0087346c4: 4a0d0012  and	w10, w10, #0xf
0xfffffff0087346c8: 4901092a  orr	w9, w10, w9
0xfffffff0087346cc: 090100b9  str	w9, [x8]
0xfffffff0087346d0: 7b070011  add	w27, w27, #1
0xfffffff0087346d4: d6060091  add	x22, x22, #1
0xfffffff0087346d8: e80240b9  ldr	w8, [x23]
0xfffffff0087346dc: df0208eb  cmp	x22, x8
0xfffffff0087346e0: 23fbff54  b.lo	#0xfffffff008734644
0xfffffff0087346e4: 8851fff0  adrp	x8, #0xfffffff007167000
0xfffffff0087346e8: 006541fd  ldr	d0, [x8, #0x2c8]
0xfffffff0087346ec: 604600fd  str	d0, [x19, #0x88]
0xfffffff0087346f0: e62b40f9  ldr	x6, [sp, #0x50]
0xfffffff0087346f4: ca004039  ldrb	w10, [x6]
0xfffffff0087346f8: 884b8052  mov	w8, #0x25c
0xfffffff0087346fc: e59343a9  ldp	x5, x4, [sp, #0x38]
0xfffffff008734700: 8814089b  madd	x8, x4, x8, x5
0xfffffff008734704: 09610191  add	x9, x8, #0x58
0xfffffff008734708: 085d0191  add	x8, x8, #0x57
0xfffffff00873470c: 5f050071  cmp	w10, #1
0xfffffff008734710: 2a01889a  csel	x10, x9, x8, eq
0xfffffff008734714: 4a014039  ldrb	w10, [x10]
0xfffffff008734718: 0bbaa552  mov	w11, #0x2dd00000
0xfffffff00873471c: 4b051a33  bfi	w11, w10, #6, #2
