; Candidate 9205
; ADRP+ADD at VM 0xfffffff008a0c274 (fileoff 0x1a08274): page=0x1fe88d000 add_imm=0xe40

0xfffffff008a0c1f4: 3f0308eb  cmp	x25, x8
0xfffffff008a0c1f8: 83f5ff54  b.lo	#0xfffffff008a0c0a8
0xfffffff008a0c1fc: 49000014  b	#0xfffffff008a0c320
0xfffffff008a0c200: f70300aa  mov	x23, x0
0xfffffff008a0c204: 900240f9  ldr	x16, [x20]
0xfffffff008a0c208: f10314aa  mov	x17, x20
0xfffffff008a0c20c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0c210: 301ac1da  autda	x16, x17
0xfffffff008a0c214: 113d80d2  mov	x17, #0x1e8
0xfffffff008a0c218: 1002118b  add	x16, x16, x17
0xfffffff008a0c21c: 080240f9  ldr	x8, [x16]
0xfffffff008a0c220: e90310aa  mov	x9, x16
0xfffffff008a0c224: e00314aa  mov	x0, x20
0xfffffff008a0c228: 010080d2  mov	x1, #0
0xfffffff008a0c22c: f10309aa  mov	x17, x9
0xfffffff008a0c230: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a0c234: 11093fd7  blraa	x8, x17
0xfffffff008a0c238: 900240f9  ldr	x16, [x20]
0xfffffff008a0c23c: f10314aa  mov	x17, x20
0xfffffff008a0c240: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0c244: 301ac1da  autda	x16, x17
0xfffffff008a0c248: 113d80d2  mov	x17, #0x1e8
0xfffffff008a0c24c: 1002118b  add	x16, x16, x17
0xfffffff008a0c250: 080240f9  ldr	x8, [x16]
0xfffffff008a0c254: e90310aa  mov	x9, x16
0xfffffff008a0c258: e00314aa  mov	x0, x20
0xfffffff008a0c25c: 010080d2  mov	x1, #0
0xfffffff008a0c260: f10309aa  mov	x17, x9
0xfffffff008a0c264: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a0c268: 11093fd7  blraa	x8, x17
0xfffffff008a0c26c: f8df00a9  stp	x24, x23, [sp, #8]
0xfffffff008a0c270: e00300f9  str	x0, [sp]
0xfffffff008a0c274: 6044ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a0c278: 00003991  add	x0, x0, #0xe40
0xfffffff008a0c27c: e181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0c280: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0c284: 8344fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0c288: 633c0891  add	x3, x3, #0x20f
0xfffffff008a0c28c: 02028052  mov	w2, #0x10
0xfffffff008a0c290: a89be497  bl	#0xfffffff008333130
0xfffffff008a0c294: 900240f9  ldr	x16, [x20]
0xfffffff008a0c298: f10314aa  mov	x17, x20
0xfffffff008a0c29c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0c2a0: 301ac1da  autda	x16, x17
0xfffffff008a0c2a4: f10310aa  mov	x17, x16
0xfffffff008a0c2a8: f147c1da  xpacd	x17
0xfffffff008a0c2ac: 1f0211eb  cmp	x16, x17
0xfffffff008a0c2b0: 40000054  b.eq	#0xfffffff008a0c2b8
0xfffffff008a0c2b4: 408e38d4  brk	#0xc472
0xfffffff008a0c2b8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a0c2bc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a0c2c0: e00314aa  mov	x0, x20
0xfffffff008a0c2c4: 010080d2  mov	x1, #0
0xfffffff008a0c2c8: f10308aa  mov	x17, x8
0xfffffff008a0c2cc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a0c2d0: 31093fd7  blraa	x9, x17
0xfffffff008a0c2d4: f8df00a9  stp	x24, x23, [sp, #8]
0xfffffff008a0c2d8: e00300f9  str	x0, [sp]
0xfffffff008a0c2dc: 6044fff0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0c2e0: 009c0a91  add	x0, x0, #0x2a7
0xfffffff008a0c2e4: 4f2be597  bl	#0xfffffff008357020
0xfffffff008a0c2e8: e00316aa  mov	x0, x22
0xfffffff008a0c2ec: e10315aa  mov	x1, x21
0xfffffff008a0c2f0: a42ae597  bl	#0xfffffff008356d80
