; Candidate 9886
; ADRP+ADD at VM 0xfffffff008bb1bf8 (fileoff 0x1badbf8): page=0x1733000 add_imm=0xe68

0xfffffff008bb1b78: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008bb1b7c: 11093fd7  blraa	x8, x17
0xfffffff008bb1b80: 080440b9  ldr	w8, [x0, #4]
0xfffffff008bb1b84: 89a98a52  mov	w9, #0x554c
0xfffffff008bb1b88: c929a872  movk	w9, #0x414e, lsl #16
0xfffffff008bb1b8c: 1f01096b  cmp	w8, w9
0xfffffff008bb1b90: cd010054  b.le	#0xfffffff008bb1bc8
0xfffffff008bb1b94: 69ae8c52  mov	w9, #0x6573
0xfffffff008bb1b98: 698aac72  movk	w9, #0x6453, lsl #16
0xfffffff008bb1b9c: 1f01096b  cmp	w8, w9
0xfffffff008bb1ba0: 2c030054  b.gt	#0xfffffff008bb1c04
0xfffffff008bb1ba4: a9a98a52  mov	w9, #0x554d
0xfffffff008bb1ba8: c929a872  movk	w9, #0x414e, lsl #16
0xfffffff008bb1bac: 1f01096b  cmp	w8, w9
0xfffffff008bb1bb0: e0030054  b.eq	#0xfffffff008bb1c2c
0xfffffff008bb1bb4: 89ae8c52  mov	w9, #0x6574
0xfffffff008bb1bb8: e988ac72  movk	w9, #0x6447, lsl #16
0xfffffff008bb1bbc: 1f01096b  cmp	w8, w9
0xfffffff008bb1bc0: 00030054  b.eq	#0xfffffff008bb1c20
0xfffffff008bb1bc4: c9ffff17  b	#0xfffffff008bb1ae8
0xfffffff008bb1bc8: 496a8852  mov	w9, #0x4352
0xfffffff008bb1bcc: c929a872  movk	w9, #0x414e, lsl #16
0xfffffff008bb1bd0: 1f01096b  cmp	w8, w9
0xfffffff008bb1bd4: 20030054  b.eq	#0xfffffff008bb1c38
0xfffffff008bb1bd8: a9a98952  mov	w9, #0x4d4d
0xfffffff008bb1bdc: c929a872  movk	w9, #0x414e, lsl #16
0xfffffff008bb1be0: 1f01096b  cmp	w8, w9
0xfffffff008bb1be4: 00030054  b.eq	#0xfffffff008bb1c44
0xfffffff008bb1be8: e90a8a52  mov	w9, #0x5057
0xfffffff008bb1bec: c929a872  movk	w9, #0x414e, lsl #16
0xfffffff008bb1bf0: 1f01096b  cmp	w8, w9
0xfffffff008bb1bf4: a1f7ff54  b.ne	#0xfffffff008bb1ae8
0xfffffff008bb1bf8: 80b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb1bfc: 00a03991  add	x0, x0, #0xe68
0xfffffff008bb1c00: 13000014  b	#0xfffffff008bb1c4c
0xfffffff008bb1c04: 898d8e52  mov	w9, #0x746c
0xfffffff008bb1c08: 69a8ac72  movk	w9, #0x6543, lsl #16
0xfffffff008bb1c0c: 1f01096b  cmp	w8, w9
0xfffffff008bb1c10: 89ae8c52  mov	w9, #0x6574
0xfffffff008bb1c14: 698aac72  movk	w9, #0x6453, lsl #16
0xfffffff008bb1c18: 0411497a  ccmp	w8, w9, #4, ne
0xfffffff008bb1c1c: 61f6ff54  b.ne	#0xfffffff008bb1ae8
0xfffffff008bb1c20: 80b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb1c24: 00803b91  add	x0, x0, #0xee0
0xfffffff008bb1c28: 09000014  b	#0xfffffff008bb1c4c
0xfffffff008bb1c2c: 80b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb1c30: 00e03a91  add	x0, x0, #0xeb8
0xfffffff008bb1c34: 06000014  b	#0xfffffff008bb1c4c
0xfffffff008bb1c38: 80b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb1c3c: 00003991  add	x0, x0, #0xe40
0xfffffff008bb1c40: 03000014  b	#0xfffffff008bb1c4c
0xfffffff008bb1c44: 80b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb1c48: 00403a91  add	x0, x0, #0xe90
0xfffffff008bb1c4c: 100040f9  ldr	x16, [x0]
0xfffffff008bb1c50: f10300aa  mov	x17, x0
0xfffffff008bb1c54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bb1c58: 301ac1da  autda	x16, x17
0xfffffff008bb1c5c: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008bb1c60: e90310aa  mov	x9, x16
0xfffffff008bb1c64: f10309aa  mov	x17, x9
0xfffffff008bb1c68: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008bb1c6c: 11093fd7  blraa	x8, x17
0xfffffff008bb1c70: 600200f9  str	x0, [x19]
0xfffffff008bb1c74: 00008052  mov	w0, #0
