; Candidate 7193
; ADRP+ADD at VM 0xfffffff00885e8a0 (fileoff 0x185a8a0): page=0x1fe9c9000 add_imm=0xce9

0xfffffff00885e820: 4452eb97  bl	#0xfffffff008333130
0xfffffff00885e824: f97d8012  mov	w25, #-0x3f0
0xfffffff00885e828: bf000014  b	#0xfffffff00885eb24
0xfffffff00885e82c: ff220071  cmp	w23, #8
0xfffffff00885e830: e10b0054  b.ne	#0xfffffff00885e9ac
0xfffffff00885e834: 800c8052  mov	w0, #0x64
0xfffffff00885e838: 81008052  mov	w1, #4
0xfffffff00885e83c: e5730094  bl	#0xfffffff00887b7d0
0xfffffff00885e840: c0300034  cbz	w0, #0xfffffff00885ee58
0xfffffff00885e844: 800c8052  mov	w0, #0x64
0xfffffff00885e848: f4730094  bl	#0xfffffff00887b818
0xfffffff00885e84c: fa0300aa  mov	x26, x0
0xfffffff00885e850: 57560194  bl	#0xfffffff0088b41ac
0xfffffff00885e854: f90300aa  mov	x25, x0
0xfffffff00885e858: 80008052  mov	w0, #4
0xfffffff00885e85c: fd730094  bl	#0xfffffff00887b850
0xfffffff00885e860: 5a2c0034  cbz	w26, #0xfffffff00885ede8
0xfffffff00885e864: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885e868: 09018052  mov	w9, #8
0xfffffff00885e86c: 4a4effb0  adrp	x10, #0xfffffff007227000
0xfffffff00885e870: 4ac53491  add	x10, x10, #0xd31
0xfffffff00885e874: e9f304a9  stp	x9, x28, [sp, #0x48]
0xfffffff00885e878: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885e87c: c84a8052  mov	w8, #0x256
0xfffffff00885e880: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e884: 29792491  add	x9, x9, #0x91e
0xfffffff00885e888: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885e88c: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e890: 08811191  add	x8, x8, #0x460
0xfffffff00885e894: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885e898: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885e89c: 880c8052  mov	w8, #0x64
0xfffffff00885e8a0: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885e8a4: 00a43391  add	x0, x0, #0xce9
0xfffffff00885e8a8: f92300a9  stp	x25, x8, [sp]
0xfffffff00885e8ac: ed62d597  bl	#0xfffffff007db7460
0xfffffff00885e8b0: 6a010014  b	#0xfffffff00885ee58
0xfffffff00885e8b4: ace736a9  stp	x12, x25, [x29, #-0x98]
0xfffffff00885e8b8: 880540b9  ldr	w8, [x12, #4]
0xfffffff00885e8bc: 08050051  sub	w8, w8, #1
0xfffffff00885e8c0: 484300b9  str	w8, [x26, #0x40]
0xfffffff00885e8c4: 3c000014  b	#0xfffffff00885e9b4
0xfffffff00885e8c8: 39560194  bl	#0xfffffff0088b41ac
0xfffffff00885e8cc: f70300aa  mov	x23, x0
0xfffffff00885e8d0: 80008052  mov	w0, #4
0xfffffff00885e8d4: df730094  bl	#0xfffffff00887b850
0xfffffff00885e8d8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885e8dc: 09018052  mov	w9, #8
0xfffffff00885e8e0: e9f304a9  stp	x9, x28, [sp, #0x48]
0xfffffff00885e8e4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885e8e8: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e8ec: 0a892c91  add	x10, x8, #0xb22
0xfffffff00885e8f0: c8448052  mov	w8, #0x226
0xfffffff00885e8f4: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e8f8: 29792491  add	x9, x9, #0x91e
0xfffffff00885e8fc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885e900: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e904: 08811191  add	x8, x8, #0x460
0xfffffff00885e908: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885e90c: 880c8052  mov	w8, #0x64
0xfffffff00885e910: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885e914: 63281e91  add	x3, x3, #0x78a
0xfffffff00885e918: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885e91c: f70300f9  str	x23, [sp]
