; Candidate 3050
; ADRP+ADD at VM 0xfffffff00870ed68 (fileoff 0x170ad68): page=0x1fea23000 add_imm=0xd90

0xfffffff00870ece8: 880a0034  cbz	w8, #0xfffffff00870ee38
0xfffffff00870ecec: 08278452  mov	w8, #0x2138
0xfffffff00870ecf0: 6102088b  add	x1, x19, x8
0xfffffff00870ecf4: e4a30691  add	x4, sp, #0x1a8
0xfffffff00870ecf8: e00313aa  mov	x0, x19
0xfffffff00870ecfc: e20316aa  mov	x2, x22
0xfffffff00870ed00: 03008052  mov	w3, #0
0xfffffff00870ed04: 65420294  bl	#0xfffffff00879f698
0xfffffff00870ed08: 68a250f9  ldr	x8, [x19, #0x2140]
0xfffffff00870ed0c: 480600b4  cbz	x8, #0xfffffff00870edd4
0xfffffff00870ed10: e8d740f9  ldr	x8, [sp, #0x1a8]
0xfffffff00870ed14: a80700b4  cbz	x8, #0xfffffff00870ee08
0xfffffff00870ed18: 1ffd1429  stp	wzr, wzr, [x8, #0xa4]
0xfffffff00870ed1c: 47000014  b	#0xfffffff00870ee38
0xfffffff00870ed20: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870ed24: 00403691  add	x0, x0, #0xd90
0xfffffff00870ed28: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ed2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ed30: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870ed34: 63400d91  add	x3, x3, #0x350
0xfffffff00870ed38: 02008052  mov	w2, #0
0xfffffff00870ed3c: fd90f097  bl	#0xfffffff008333130
0xfffffff00870ed40: 28268052  mov	w8, #0x131
0xfffffff00870ed44: 69034039  ldrb	w9, [x27]
0xfffffff00870ed48: c9000034  cbz	w9, #0xfffffff00870ed60
0xfffffff00870ed4c: 7f070039  strb	wzr, [x27, #1]
0xfffffff00870ed50: 1f690671  cmp	w8, #0x19a
0xfffffff00870ed54: 29268052  mov	w9, #0x131
0xfffffff00870ed58: 0001891a  csel	w0, w8, w9, eq
0xfffffff00870ed5c: 10000014  b	#0xfffffff00870ed9c
0xfffffff00870ed60: e90314aa  mov	x9, x20
0xfffffff00870ed64: e92300a9  stp	x9, x8, [sp]
0xfffffff00870ed68: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870ed6c: 00403691  add	x0, x0, #0xd90
0xfffffff00870ed70: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870ed74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870ed78: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870ed7c: 63783291  add	x3, x3, #0xc9e
0xfffffff00870ed80: 02008052  mov	w2, #0
0xfffffff00870ed84: eb90f097  bl	#0xfffffff008333130
0xfffffff00870ed88: 28008052  mov	w8, #1
0xfffffff00870ed8c: 68070039  strb	w8, [x27, #1]
0xfffffff00870ed90: e00313aa  mov	x0, x19
0xfffffff00870ed94: 16ffff97  bl	#0xfffffff00870e9ec
0xfffffff00870ed98: c0328052  mov	w0, #0x196
0xfffffff00870ed9c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00870eda0: 6997fff0  adrp	x9, #0xfffffff0079fd000
0xfffffff00870eda4: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00870eda8: 290140f9  ldr	x9, [x9]
0xfffffff00870edac: 3f0108eb  cmp	x9, x8
0xfffffff00870edb0: a1d20054  b.ne	#0xfffffff008710804
0xfffffff00870edb4: ffc30991  add	sp, sp, #0x270
0xfffffff00870edb8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00870edbc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00870edc0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00870edc4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00870edc8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00870edcc: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff00870edd0: ff0f5fd6  retab	
0xfffffff00870edd4: e80314aa  mov	x8, x20
0xfffffff00870edd8: 0952fff0  adrp	x9, #0xfffffff007151000
0xfffffff00870eddc: 29491591  add	x9, x9, #0x552
0xfffffff00870ede0: e92300a9  stp	x9, x8, [sp]
0xfffffff00870ede4: 0051fff0  adrp	x0, #0xfffffff007131000
