; Candidate 8324
; ADRP+ADD at VM 0xfffffff0088a3698 (fileoff 0x189f698): page=0x1fe946000 add_imm=0xe80

0xfffffff0088a3618: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088a361c: 298bffb0  adrp	x9, #0xfffffff007a08000
0xfffffff0088a3620: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0088a3624: 290140f9  ldr	x9, [x9]
0xfffffff0088a3628: 3f0108eb  cmp	x9, x8
0xfffffff0088a362c: a1040054  b.ne	#0xfffffff0088a36c0
0xfffffff0088a3630: e00317aa  mov	x0, x23
0xfffffff0088a3634: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff0088a3638: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff0088a363c: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0088a3640: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0088a3644: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0088a3648: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff0088a364c: ffc30391  add	sp, sp, #0xf0
0xfffffff0088a3650: ff0f5fd6  retab	
0xfffffff0088a3654: d6420094  bl	#0xfffffff0088b41ac
0xfffffff0088a3658: f70300aa  mov	x23, x0
0xfffffff0088a365c: 00018052  mov	w0, #8
0xfffffff0088a3660: 7c60ff97  bl	#0xfffffff00887b850
0xfffffff0088a3664: 680240b9  ldr	w8, [x19]
0xfffffff0088a3668: e9830191  add	x9, sp, #0x60
0xfffffff0088a366c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088a3670: 682c8052  mov	w8, #0x163
0xfffffff0088a3674: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a3678: 29013a91  add	x9, x9, #0xe80
0xfffffff0088a367c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088a3680: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3684: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3688: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a368c: 680f8052  mov	w8, #0x7b
0xfffffff0088a3690: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a3694: f70300f9  str	x23, [sp]
0xfffffff0088a3698: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a369c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a36a0: 218bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a36a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a36a8: e34dffd0  adrp	x3, #0xfffffff007261000
0xfffffff0088a36ac: 63bc3d91  add	x3, x3, #0xf6f
0xfffffff0088a36b0: 02008052  mov	w2, #0
0xfffffff0088a36b4: 9f3eea97  bl	#0xfffffff008333130
0xfffffff0088a36b8: 17008052  mov	w23, #0
0xfffffff0088a36bc: a2ffff17  b	#0xfffffff0088a3544
0xfffffff0088a36c0: e3e9d297  bl	#0xfffffff007d5de4c
0xfffffff0088a36c4: 7f2303d5  pacibsp	
0xfffffff0088a36c8: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0088a36cc: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0088a36d0: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0088a36d4: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0088a36d8: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0088a36dc: fd430291  add	x29, sp, #0x90
0xfffffff0088a36e0: f30300aa  mov	x19, x0
0xfffffff0088a36e4: 08e99c52  mov	w8, #0xe748
0xfffffff0088a36e8: 1700088b  add	x23, x0, x8
0xfffffff0088a36ec: 600f8052  mov	w0, #0x7b
0xfffffff0088a36f0: c1008052  mov	w1, #6
0xfffffff0088a36f4: 3760ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a36f8: a0050034  cbz	w0, #0xfffffff0088a37ac
0xfffffff0088a36fc: 600f8052  mov	w0, #0x7b
0xfffffff0088a3700: 4660ff97  bl	#0xfffffff00887b818
0xfffffff0088a3704: f50300aa  mov	x21, x0
0xfffffff0088a3708: a9420094  bl	#0xfffffff0088b41ac
0xfffffff0088a370c: f40300aa  mov	x20, x0
0xfffffff0088a3710: c0008052  mov	w0, #6
0xfffffff0088a3714: 4f60ff97  bl	#0xfffffff00887b850
