; Candidate 12978
; ADRP+ADD at VM 0xfffffff0091a4390 (fileoff 0x21a0390): page=0x1172000 add_imm=0xdc8

0xfffffff0091a4310: a0a40094  bl	#0xfffffff0091cd590
0xfffffff0091a4314: 68720051  sub	w8, w19, #0x1c
0xfffffff0091a4318: 1f000072  tst	w0, #1
0xfffffff0091a431c: f313881a  csel	w19, wzr, w8, ne
0xfffffff0091a4320: e00313aa  mov	x0, x19
0xfffffff0091a4324: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0091a4328: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0091a432c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0091a4330: ff0f5fd6  retab	
0xfffffff0091a4334: 5f2403d5  bti	c
0xfffffff0091a4338: ef00c517  b	#0xfffffff0082e46f4
0xfffffff0091a433c: 7f2303d5  pacibsp	
0xfffffff0091a4340: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091a4344: fd030091  mov	x29, sp
0xfffffff0091a4348: 808b00d0  adrp	x0, #0xfffffff00a316000
0xfffffff0091a434c: 00203791  add	x0, x0, #0xdc8
0xfffffff0091a4350: 8117fff0  adrp	x1, #0xfffffff007497000
0xfffffff0091a4354: 21081c91  add	x1, x1, #0x702
0xfffffff0091a4358: 224efff0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091a435c: 42b440f9  ldr	x2, [x2, #0x168]
0xfffffff0091a4360: 03198052  mov	w3, #0xc8
0xfffffff0091a4364: f5fdc497  bl	#0xfffffff0082e3b38
0xfffffff0091a4368: 904effb0  adrp	x16, #0xfffffff007b75000
0xfffffff0091a436c: 10421291  add	x16, x16, #0x490
0xfffffff0091a4370: 10420091  add	x16, x16, #0x10
0xfffffff0091a4374: f10300aa  mov	x17, x0
0xfffffff0091a4378: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a437c: 300ac1da  pacda	x16, x17
0xfffffff0091a4380: 100000f9  str	x16, [x0]
0xfffffff0091a4384: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091a4388: ff0f5fd6  retab	
0xfffffff0091a438c: 5f2403d5  bti	c
0xfffffff0091a4390: 808b00d0  adrp	x0, #0xfffffff00a316000
0xfffffff0091a4394: 00203791  add	x0, x0, #0xdc8
0xfffffff0091a4398: d700c517  b	#0xfffffff0082e46f4
0xfffffff0091a439c: 7f2303d5  pacibsp	
0xfffffff0091a43a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091a43a4: fd030091  mov	x29, sp
0xfffffff0091a43a8: 8117fff0  adrp	x1, #0xfffffff007497000
0xfffffff0091a43ac: 21d81d91  add	x1, x1, #0x776
0xfffffff0091a43b0: 224efff0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091a43b4: 42b440f9  ldr	x2, [x2, #0x168]
0xfffffff0091a43b8: 03188052  mov	w3, #0xc0
0xfffffff0091a43bc: dffdc497  bl	#0xfffffff0082e3b38
0xfffffff0091a43c0: 904effb0  adrp	x16, #0xfffffff007b75000
0xfffffff0091a43c4: 10022a91  add	x16, x16, #0xa80
0xfffffff0091a43c8: 10420091  add	x16, x16, #0x10
0xfffffff0091a43cc: f10300aa  mov	x17, x0
0xfffffff0091a43d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a43d4: 300ac1da  pacda	x16, x17
0xfffffff0091a43d8: 100000f9  str	x16, [x0]
0xfffffff0091a43dc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091a43e0: ff0f5fd6  retab	
0xfffffff0091a43e4: 5f2403d5  bti	c
0xfffffff0091a43e8: c300c517  b	#0xfffffff0082e46f4
0xfffffff0091a43ec: 7f2303d5  pacibsp	
0xfffffff0091a43f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091a43f4: fd030091  mov	x29, sp
0xfffffff0091a43f8: bc7ec797  bl	#0xfffffff008383ee8
0xfffffff0091a43fc: 904effb0  adrp	x16, #0xfffffff007b75000
0xfffffff0091a4400: 10a21491  add	x16, x16, #0x528
0xfffffff0091a4404: 10420091  add	x16, x16, #0x10
0xfffffff0091a4408: f10300aa  mov	x17, x0
0xfffffff0091a440c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
