; Candidate 7612
; ADRP+ADD at VM 0xfffffff008874c5c (fileoff 0x1870c5c): page=0x1fe99f000 add_imm=0xe0f

0xfffffff008874bdc: 00008052  mov	w0, #0
0xfffffff008874be0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008874be4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008874be8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008874bec: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008874bf0: ff030291  add	sp, sp, #0x80
0xfffffff008874bf4: ff0f5fd6  retab	
0xfffffff008874bf8: 7f2303d5  pacibsp	
0xfffffff008874bfc: ff8301d1  sub	sp, sp, #0x60
0xfffffff008874c00: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008874c04: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008874c08: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008874c0c: fd430191  add	x29, sp, #0x50
0xfffffff008874c10: f30300aa  mov	x19, x0
0xfffffff008874c14: 600b8052  mov	w0, #0x5b
0xfffffff008874c18: e1008052  mov	w1, #7
0xfffffff008874c1c: ed1a0094  bl	#0xfffffff00887b7d0
0xfffffff008874c20: a0040034  cbz	w0, #0xfffffff008874cb4
0xfffffff008874c24: 600b8052  mov	w0, #0x5b
0xfffffff008874c28: fc1a0094  bl	#0xfffffff00887b818
0xfffffff008874c2c: f50300aa  mov	x21, x0
0xfffffff008874c30: 5ffd0094  bl	#0xfffffff0088b41ac
0xfffffff008874c34: f40300aa  mov	x20, x0
0xfffffff008874c38: e0008052  mov	w0, #7
0xfffffff008874c3c: 051b0094  bl	#0xfffffff00887b850
0xfffffff008874c40: 75010034  cbz	w21, #0xfffffff008874c6c
0xfffffff008874c44: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874c48: 08cd3191  add	x8, x8, #0xc73
0xfffffff008874c4c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008874c50: 680b8052  mov	w8, #0x5b
0xfffffff008874c54: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008874c58: f40300f9  str	x20, [sp]
0xfffffff008874c5c: e04cfff0  adrp	x0, #0xfffffff007213000
0xfffffff008874c60: 003c3891  add	x0, x0, #0xe0f
0xfffffff008874c64: ff09d597  bl	#0xfffffff007db7460
0xfffffff008874c68: 13000014  b	#0xfffffff008874cb4
0xfffffff008874c6c: 50fd0094  bl	#0xfffffff0088b41ac
0xfffffff008874c70: f40300aa  mov	x20, x0
0xfffffff008874c74: e0008052  mov	w0, #7
0xfffffff008874c78: f61a0094  bl	#0xfffffff00887b850
0xfffffff008874c7c: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874c80: 08cd3191  add	x8, x8, #0xc73
0xfffffff008874c84: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008874c88: 680b8052  mov	w8, #0x5b
0xfffffff008874c8c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008874c90: f40300f9  str	x20, [sp]
0xfffffff008874c94: a04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008874c98: 00003a91  add	x0, x0, #0xe80
0xfffffff008874c9c: a18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008874ca0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008874ca4: 234fffb0  adrp	x3, #0xfffffff007259000
0xfffffff008874ca8: 638c1e91  add	x3, x3, #0x7a3
0xfffffff008874cac: 02008052  mov	w2, #0
0xfffffff008874cb0: 20f9ea97  bl	#0xfffffff008333130
0xfffffff008874cb4: 94088052  mov	w20, #0x44
0xfffffff008874cb8: 1408a072  movk	w20, #0x40, lsl #16
0xfffffff008874cbc: 82121f11  add	w2, w20, #0x7c4
0xfffffff008874cc0: e00313aa  mov	x0, x19
0xfffffff008874cc4: 21008052  mov	w1, #1
0xfffffff008874cc8: 23008052  mov	w3, #1
0xfffffff008874ccc: 29410094  bl	#0xfffffff008885170
0xfffffff008874cd0: e00313aa  mov	x0, x19
0xfffffff008874cd4: 21008052  mov	w1, #1
0xfffffff008874cd8: 82088052  mov	w2, #0x44
