; Candidate 8522
; ADRP+ADD at VM 0xfffffff0088af420 (fileoff 0x18ab420): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088af3a0: 79020034  cbz	w25, #0xfffffff0088af3ec
0xfffffff0088af3a4: f65303a9  stp	x22, x20, [sp, #0x30]
0xfffffff0088af3a8: f35702a9  stp	x19, x21, [sp, #0x20]
0xfffffff0088af3ac: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af3b0: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af3b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088af3b8: c80f8052  mov	w8, #0x7e
0xfffffff0088af3bc: 204cffb0  adrp	x0, #0xfffffff007234000
0xfffffff0088af3c0: 00200691  add	x0, x0, #0x188
0xfffffff0088af3c4: f82300a9  stp	x24, x8, [sp]
0xfffffff0088af3c8: 2620d497  bl	#0xfffffff007db7460
0xfffffff0088af3cc: d503f837  tbnz	w21, #0x1f, #0xfffffff0088af444
0xfffffff0088af3d0: b40300b4  cbz	x20, #0xfffffff0088af444
0xfffffff0088af3d4: 36070034  cbz	w22, #0xfffffff0088af4b8
0xfffffff0088af3d8: 17008052  mov	w23, #0
0xfffffff0088af3dc: 9f0a00b9  str	wzr, [x20, #8]
0xfffffff0088af3e0: 9f5200b9  str	wzr, [x20, #0x50]
0xfffffff0088af3e4: 00e6072f  movi	d0, #0xffffffff00000000
0xfffffff0088af3e8: 47000014  b	#0xfffffff0088af504
0xfffffff0088af3ec: 70130094  bl	#0xfffffff0088b41ac
0xfffffff0088af3f0: f80300aa  mov	x24, x0
0xfffffff0088af3f4: e0008052  mov	w0, #7
0xfffffff0088af3f8: 1631ff97  bl	#0xfffffff00887b850
0xfffffff0088af3fc: e80316aa  mov	x8, x22
0xfffffff0088af400: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088af404: e80315aa  mov	x8, x21
0xfffffff0088af408: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088af40c: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af410: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af414: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088af418: c80f8052  mov	w8, #0x7e
0xfffffff0088af41c: f82300a9  stp	x24, x8, [sp]
0xfffffff0088af420: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088af424: 00003a91  add	x0, x0, #0xe80
0xfffffff0088af428: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088af42c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088af430: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088af434: 63200a91  add	x3, x3, #0x288
0xfffffff0088af438: 02008052  mov	w2, #0
0xfffffff0088af43c: 3d0fea97  bl	#0xfffffff008333130
0xfffffff0088af440: 95fcff36  tbz	w21, #0x1f, #0xfffffff0088af3d0
0xfffffff0088af444: c00f8052  mov	w0, #0x7e
0xfffffff0088af448: 81008052  mov	w1, #4
0xfffffff0088af44c: e130ff97  bl	#0xfffffff00887b7d0
0xfffffff0088af450: 00090034  cbz	w0, #0xfffffff0088af570
0xfffffff0088af454: c00f8052  mov	w0, #0x7e
0xfffffff0088af458: f030ff97  bl	#0xfffffff00887b818
0xfffffff0088af45c: f80300aa  mov	x24, x0
0xfffffff0088af460: 53130094  bl	#0xfffffff0088b41ac
0xfffffff0088af464: f70300aa  mov	x23, x0
0xfffffff0088af468: 80008052  mov	w0, #4
0xfffffff0088af46c: f930ff97  bl	#0xfffffff00887b850
0xfffffff0088af470: f8040034  cbz	w24, #0xfffffff0088af50c
0xfffffff0088af474: e80316aa  mov	x8, x22
0xfffffff0088af478: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088af47c: e80315aa  mov	x8, x21
0xfffffff0088af480: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088af484: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af488: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088af48c: 89d18052  mov	w9, #0x68c
0xfffffff0088af490: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088af494: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af498: 08c10691  add	x8, x8, #0x1b0
0xfffffff0088af49c: e02301a9  stp	x0, x8, [sp, #0x10]
