; Candidate 446
; ADRP+ADD at VM 0xfffffff007f0dd6c (fileoff 0xf09d6c): page=0x1ff150000 add_imm=0xea3

0xfffffff007f0dcec: e00313aa  mov	x0, x19
0xfffffff007f0dcf0: e10314aa  mov	x1, x20
0xfffffff007f0dcf4: 9c7afa97  bl	#0xfffffff007dac764
0xfffffff007f0dcf8: d6ffff17  b	#0xfffffff007f0dc50
0xfffffff007f0dcfc: 888aff90  adrp	x8, #0xfffffff00705d000
0xfffffff007f0dd00: 08410791  add	x8, x8, #0x1d0
0xfffffff007f0dd04: c9528052  mov	w9, #0x296
0xfffffff007f0dd08: e82700a9  stp	x8, x9, [sp]
0xfffffff007f0dd0c: 808aff90  adrp	x0, #0xfffffff00705d000
0xfffffff007f0dd10: 00582c91  add	x0, x0, #0xb16
0xfffffff007f0dd14: fe191694  bl	#0xfffffff00849450c
0xfffffff007f0dd18: 48e74079  ldrh	w8, [x26, #0x72]
0xfffffff007f0dd1c: 49e34079  ldrh	w9, [x26, #0x70]
0xfffffff007f0dd20: 4a5740b9  ldr	w10, [x26, #0x54]
0xfffffff007f0dd24: cbeb8252  mov	w11, #0x175e
0xfffffff007f0dd28: 8c8aff90  adrp	x12, #0xfffffff00705d000
0xfffffff007f0dd2c: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f0dd30: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f0dd34: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f0dd38: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f0dd3c: 8a8aff90  adrp	x10, #0xfffffff00705d000
0xfffffff007f0dd40: 4a511991  add	x10, x10, #0x654
0xfffffff007f0dd44: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f0dd48: 808aff90  adrp	x0, #0xfffffff00705d000
0xfffffff007f0dd4c: 00001891  add	x0, x0, #0x600
0xfffffff007f0dd50: ea6b00a9  stp	x10, x26, [sp]
0xfffffff007f0dd54: ee191694  bl	#0xfffffff00849450c
0xfffffff007f0dd58: 683f8352  mov	w8, #0x19fb
0xfffffff007f0dd5c: 898aff90  adrp	x9, #0xfffffff00705d000
0xfffffff007f0dd60: 29410791  add	x9, x9, #0x1d0
0xfffffff007f0dd64: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f0dd68: fa0300f9  str	x26, [sp]
0xfffffff007f0dd6c: 808aff90  adrp	x0, #0xfffffff00705d000
0xfffffff007f0dd70: 008c3a91  add	x0, x0, #0xea3
0xfffffff007f0dd74: e6191694  bl	#0xfffffff00849450c
0xfffffff007f0dd78: e8ffff17  b	#0xfffffff007f0dd18
0xfffffff007f0dd7c: f7ffff17  b	#0xfffffff007f0dd58
0xfffffff007f0dd80: e6ffff17  b	#0xfffffff007f0dd18
0xfffffff007f0dd84: 7f2303d5  pacibsp	
0xfffffff007f0dd88: ff8302d1  sub	sp, sp, #0xa0
0xfffffff007f0dd8c: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff007f0dd90: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff007f0dd94: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff007f0dd98: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff007f0dd9c: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff007f0dda0: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff007f0dda4: fd430291  add	x29, sp, #0x90
0xfffffff007f0dda8: f30300aa  mov	x19, x0
0xfffffff007f0ddac: 08e04079  ldrh	w8, [x0, #0x70]
0xfffffff007f0ddb0: 080d0051  sub	w8, w8, #3
0xfffffff007f0ddb4: 1f050071  cmp	w8, #1
0xfffffff007f0ddb8: e8040054  b.hi	#0xfffffff007f0de54
0xfffffff007f0ddbc: f80313aa  mov	x24, x19
0xfffffff007f0ddc0: 108f47f8  ldr	x16, [x24, #0x78]!
0xfffffff007f0ddc4: f10318aa  mov	x17, x24
0xfffffff007f0ddc8: d14de0f2  movk	x17, #0x26e, lsl #48
0xfffffff007f0ddcc: 301ac1da  autda	x16, x17
0xfffffff007f0ddd0: f10310aa  mov	x17, x16
0xfffffff007f0ddd4: f147c1da  xpacd	x17
0xfffffff007f0ddd8: 1f0211eb  cmp	x16, x17
0xfffffff007f0dddc: 40000054  b.eq	#0xfffffff007f0dde4
0xfffffff007f0dde0: 408e38d4  brk	#0xc472
0xfffffff007f0dde4: 08424039  ldrb	w8, [x16, #0x10]
0xfffffff007f0dde8: 68030836  tbz	w8, #1, #0xfffffff007f0de54
