; Candidate 1957
; ADRP+ADD at VM 0xfffffff00853d904 (fileoff 0x1539904): page=0x1d98000 add_imm=0xda8

0xfffffff00853d884: 21701391  add	x1, x1, #0x4dc
0xfffffff00853d888: c2a2ff90  adrp	x2, #0xfffffff007995000
0xfffffff00853d88c: 42e844f9  ldr	x2, [x2, #0x9d0]
0xfffffff00853d890: 03078052  mov	w3, #0x38
0xfffffff00853d894: a998f697  bl	#0xfffffff0082e3b38
0xfffffff00853d898: 10a3ff90  adrp	x16, #0xfffffff00799d000
0xfffffff00853d89c: 10423491  add	x16, x16, #0xd10
0xfffffff00853d8a0: 10420091  add	x16, x16, #0x10
0xfffffff00853d8a4: f10300aa  mov	x17, x0
0xfffffff00853d8a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d8ac: 300ac1da  pacda	x16, x17
0xfffffff00853d8b0: 100000f9  str	x16, [x0]
0xfffffff00853d8b4: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d8b8: 00a03691  add	x0, x0, #0xda8
0xfffffff00853d8bc: 015dffd0  adrp	x1, #0xfffffff0070df000
0xfffffff00853d8c0: 21b41491  add	x1, x1, #0x52d
0xfffffff00853d8c4: c2a2ff90  adrp	x2, #0xfffffff007995000
0xfffffff00853d8c8: 425845f9  ldr	x2, [x2, #0xab0]
0xfffffff00853d8cc: 03098052  mov	w3, #0x48
0xfffffff00853d8d0: 9a98f697  bl	#0xfffffff0082e3b38
0xfffffff00853d8d4: 10a3ff90  adrp	x16, #0xfffffff00799d000
0xfffffff00853d8d8: 10a23891  add	x16, x16, #0xe28
0xfffffff00853d8dc: 10420091  add	x16, x16, #0x10
0xfffffff00853d8e0: f10300aa  mov	x17, x0
0xfffffff00853d8e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d8e8: 300ac1da  pacda	x16, x17
0xfffffff00853d8ec: 100000f9  str	x16, [x0]
0xfffffff00853d8f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853d8f4: ff0f5fd6  retab	
0xfffffff00853d8f8: 7f2303d5  pacibsp	
0xfffffff00853d8fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853d900: fd030091  mov	x29, sp
0xfffffff00853d904: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d908: 00a03691  add	x0, x0, #0xda8
0xfffffff00853d90c: 7a9bf697  bl	#0xfffffff0082e46f4
0xfffffff00853d910: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d914: 00003691  add	x0, x0, #0xd80
0xfffffff00853d918: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853d91c: ff2303d5  autibsp	
0xfffffff00853d920: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853d924: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853d92c
0xfffffff00853d928: 208e38d4  brk	#0xc471
0xfffffff00853d92c: 729bf617  b	#0xfffffff0082e46f4
0xfffffff00853d930: 7f2303d5  pacibsp	
0xfffffff00853d934: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00853d938: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00853d93c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00853d940: fd830091  add	x29, sp, #0x20
0xfffffff00853d944: f40300aa  mov	x20, x0
0xfffffff00853d948: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d94c: 00a03691  add	x0, x0, #0xda8
0xfffffff00853d950: 100040f9  ldr	x16, [x0]
0xfffffff00853d954: f10300aa  mov	x17, x0
0xfffffff00853d958: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d95c: 301ac1da  autda	x16, x17
0xfffffff00853d960: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff00853d964: e90310aa  mov	x9, x16
0xfffffff00853d968: f10309aa  mov	x17, x9
0xfffffff00853d96c: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff00853d970: 11093fd7  blraa	x8, x17
0xfffffff00853d974: f30300aa  mov	x19, x0
0xfffffff00853d978: e00b00b4  cbz	x0, #0xfffffff00853daf4
0xfffffff00853d97c: c8a2ff90  adrp	x8, #0xfffffff007995000
0xfffffff00853d980: 08a945f9  ldr	x8, [x8, #0xb50]
