; Candidate 8189
; ADRP+ADD at VM 0xfffffff00889b28c (fileoff 0x189728c): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889b20c: e0031baa  mov	x0, x27
0xfffffff00889b210: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff00889b214: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff00889b218: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff00889b21c: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff00889b220: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff00889b224: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff00889b228: ffc30491  add	sp, sp, #0x130
0xfffffff00889b22c: ff0f5fd6  retab	
0xfffffff00889b230: df630094  bl	#0xfffffff0088b41ac
0xfffffff00889b234: fc0300aa  mov	x28, x0
0xfffffff00889b238: 80008052  mov	w0, #4
0xfffffff00889b23c: 8581ff97  bl	#0xfffffff00887b850
0xfffffff00889b240: e82640a9  ldp	x8, x9, [x23]
0xfffffff00889b244: fba705a9  stp	x27, x9, [sp, #0x58]
0xfffffff00889b248: fba304a9  stp	x27, x8, [sp, #0x48]
0xfffffff00889b24c: e80318aa  mov	x8, x24
0xfffffff00889b250: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889b254: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b258: 0a5d1191  add	x10, x8, #0x457
0xfffffff00889b25c: 48108052  mov	w8, #0x82
0xfffffff00889b260: a94bffd0  adrp	x9, #0xfffffff007211000
0xfffffff00889b264: 29892c91  add	x9, x9, #0xb22
0xfffffff00889b268: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889b26c: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b270: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b274: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889b278: a80f8052  mov	w8, #0x7d
0xfffffff00889b27c: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b280: 63500f91  add	x3, x3, #0x3d4
0xfffffff00889b284: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889b288: fc0300f9  str	x28, [sp]
0xfffffff00889b28c: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b290: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b294: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b298: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b29c: 02008052  mov	w2, #0
0xfffffff00889b2a0: a45fea97  bl	#0xfffffff008333130
0xfffffff00889b2a4: 3a000014  b	#0xfffffff00889b38c
0xfffffff00889b2a8: c1630094  bl	#0xfffffff0088b41ac
0xfffffff00889b2ac: fb0300aa  mov	x27, x0
0xfffffff00889b2b0: 80008052  mov	w0, #4
0xfffffff00889b2b4: 6781ff97  bl	#0xfffffff00887b850
0xfffffff00889b2b8: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00889b2bc: e80318aa  mov	x8, x24
0xfffffff00889b2c0: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff00889b2c4: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b2c8: 08911291  add	x8, x8, #0x4a4
0xfffffff00889b2cc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889b2d0: 88118052  mov	w8, #0x8c
0xfffffff00889b2d4: a94bffd0  adrp	x9, #0xfffffff007211000
0xfffffff00889b2d8: 29892c91  add	x9, x9, #0xb22
0xfffffff00889b2dc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889b2e0: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b2e4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b2e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889b2ec: a80f8052  mov	w8, #0x7d
0xfffffff00889b2f0: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b2f4: 63a01091  add	x3, x3, #0x428
0xfffffff00889b2f8: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889b2fc: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b300: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b304: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b308: 212c42f9  ldr	x1, [x1, #0x458]
