; Candidate 827
; ADRP+ADD at VM 0xfffffff0080d6384 (fileoff 0x10d2384): page=0x1fefa1000 add_imm=0xdb3

0xfffffff0080d6304: 210d0094  bl	#0xfffffff0080d9788
0xfffffff0080d6308: 080080d2  mov	x8, #0
0xfffffff0080d630c: 75020191  add	x21, x19, #0x40
0xfffffff0080d6310: 96d038d5  mrs	x22, tpidr_el1
0xfffffff0080d6314: c91a44b9  ldr	w9, [x22, #0x418]
0xfffffff0080d6318: 77220191  add	x23, x19, #0x48
0xfffffff0080d631c: e97ee8c8  casa	x8, x9, [x23]
0xfffffff0080d6320: 1f0100f1  cmp	x8, #0
0xfffffff0080d6324: 81040054  b.ne	#0xfffffff0080d63b4
0xfffffff0080d6328: 883a40b9  ldr	w8, [x20, #0x38]
0xfffffff0080d632c: 08010032  orr	w8, w8, #1
0xfffffff0080d6330: 883a00b9  str	w8, [x20, #0x38]
0xfffffff0080d6334: 9f0200f9  str	xzr, [x20]
0xfffffff0080d6338: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0080d633c: 880600f9  str	x8, [x20, #8]
0xfffffff0080d6340: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0080d6344: 140100f9  str	x20, [x8]
0xfffffff0080d6348: 740e00f9  str	x20, [x19, #0x18]
0xfffffff0080d634c: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0080d6350: 08050011  add	w8, w8, #1
0xfffffff0080d6354: 682200b9  str	w8, [x19, #0x20]
0xfffffff0080d6358: c81a44b9  ldr	w8, [x22, #0x418]
0xfffffff0080d635c: e20308aa  mov	x2, x8
0xfffffff0080d6360: fffea288  casl	w2, wzr, [x23]
0xfffffff0080d6364: 5f00086b  cmp	w2, w8
0xfffffff0080d6368: 01030054  b.ne	#0xfffffff0080d63c8
0xfffffff0080d636c: 00008052  mov	w0, #0
0xfffffff0080d6370: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0080d6374: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0080d6378: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0080d637c: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0080d6380: ff0f5fd6  retab	
0xfffffff0080d6384: 007dffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080d6388: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080d638c: 017dffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080d6390: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080d6394: e2088052  mov	w2, #0x47
0xfffffff0080d6398: 1f250f94  bl	#0xfffffff00849f814
0xfffffff0080d639c: 007dff90  adrp	x0, #0xfffffff007076000
0xfffffff0080d63a0: 00580a91  add	x0, x0, #0x296
0xfffffff0080d63a4: 017dff90  adrp	x1, #0xfffffff007076000
0xfffffff0080d63a8: 21b80a91  add	x1, x1, #0x2ae
0xfffffff0080d63ac: 82198052  mov	w2, #0xcc
0xfffffff0080d63b0: 19250f94  bl	#0xfffffff00849f814
0xfffffff0080d63b4: e00315aa  mov	x0, x21
0xfffffff0080d63b8: e10316aa  mov	x1, x22
0xfffffff0080d63bc: 02008052  mov	w2, #0
0xfffffff0080d63c0: ce55f397  bl	#0xfffffff007dabaf8
0xfffffff0080d63c4: d9ffff17  b	#0xfffffff0080d6328
0xfffffff0080d63c8: e00315aa  mov	x0, x21
0xfffffff0080d63cc: e10316aa  mov	x1, x22
0xfffffff0080d63d0: e558f397  bl	#0xfffffff007dac764
0xfffffff0080d63d4: e6ffff17  b	#0xfffffff0080d636c
0xfffffff0080d63d8: 8d270f94  bl	#0xfffffff0084a020c
0xfffffff0080d63dc: 7f2303d5  pacibsp	
0xfffffff0080d63e0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0080d63e4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0080d63e8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0080d63ec: fd830091  add	x29, sp, #0x20
0xfffffff0080d63f0: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff0080d63f4: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0080d63f8: 080140b9  ldr	w8, [x8]
0xfffffff0080d63fc: 1f9d0071  cmp	w8, #0x27
0xfffffff0080d6400: 81050054  b.ne	#0xfffffff0080d64b0
