; Candidate 15617
; ADRP+ADD at VM 0xfffffff009c66a3c (fileoff 0x2c62a3c): page=0x1fd9eb000 add_imm=0xd96

0xfffffff009c669bc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009c669c0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009c669c4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009c669c8: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009c669cc: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff009c669d0: ff830291  add	sp, sp, #0xa0
0xfffffff009c669d4: ff0f5fd6  retab	
0xfffffff009c669d8: 1c008052  mov	w28, #0
0xfffffff009c669dc: 786258b9  ldr	w24, [x19, #0x1860]
0xfffffff009c669e0: 98081036  tbz	w24, #2, #0xfffffff009c66af0
0xfffffff009c669e4: 5803f036  tbz	w24, #0x1e, #0xfffffff009c66a4c
0xfffffff009c669e8: 2d9d8997  bl	#0xfffffff007ecde9c
0xfffffff009c669ec: 1f040071  cmp	w0, #1
0xfffffff009c669f0: e1020054  b.ne	#0xfffffff009c66a4c
0xfffffff009c669f4: 700240f9  ldr	x16, [x19]
0xfffffff009c669f8: f10313aa  mov	x17, x19
0xfffffff009c669fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c66a00: 301ac1da  autda	x16, x17
0xfffffff009c66a04: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c66a08: e90310aa  mov	x9, x16
0xfffffff009c66a0c: e00313aa  mov	x0, x19
0xfffffff009c66a10: f10309aa  mov	x17, x9
0xfffffff009c66a14: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c66a18: 11093fd7  blraa	x8, x17
0xfffffff009c66a1c: cff79997  bl	#0xfffffff0082e4958
0xfffffff009c66a20: e8031caa  mov	x8, x28
0xfffffff009c66a24: 49cffef0  adrp	x9, #0xfffffff007651000
0xfffffff009c66a28: 29013691  add	x9, x9, #0xd80
0xfffffff009c66a2c: 4acffef0  adrp	x10, #0xfffffff007651000
0xfffffff009c66a30: 4a591e91  add	x10, x10, #0x796
0xfffffff009c66a34: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009c66a38: e02b00a9  stp	x0, x10, [sp]
0xfffffff009c66a3c: 40cffef0  adrp	x0, #0xfffffff007651000
0xfffffff009c66a40: 00583691  add	x0, x0, #0xd96
0xfffffff009c66a44: 77c19b97  bl	#0xfffffff008357020
0xfffffff009c66a48: 2a000014  b	#0xfffffff009c66af0
0xfffffff009c66a4c: 08037e92  and	x8, x24, #4
0xfffffff009c66a50: 08fd41d3  lsr	x8, x8, #1
0xfffffff009c66a54: 18011f52  eor	w24, w8, #2
0xfffffff009c66a58: 700240f9  ldr	x16, [x19]
0xfffffff009c66a5c: f10313aa  mov	x17, x19
0xfffffff009c66a60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c66a64: 301ac1da  autda	x16, x17
0xfffffff009c66a68: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c66a6c: e90310aa  mov	x9, x16
0xfffffff009c66a70: e00313aa  mov	x0, x19
0xfffffff009c66a74: f10309aa  mov	x17, x9
0xfffffff009c66a78: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c66a7c: 11093fd7  blraa	x8, x17
0xfffffff009c66a80: b6f79997  bl	#0xfffffff0082e4958
0xfffffff009c66a84: 4804ffb0  adrp	x8, #0xfffffff007cef000
0xfffffff009c66a88: 08e945f9  ldr	x8, [x8, #0xbd0]
0xfffffff009c66a8c: 190140f9  ldr	x25, [x8]
0xfffffff009c66a90: 700240f9  ldr	x16, [x19]
0xfffffff009c66a94: f10313aa  mov	x17, x19
0xfffffff009c66a98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c66a9c: 301ac1da  autda	x16, x17
0xfffffff009c66aa0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c66aa4: e90310aa  mov	x9, x16
0xfffffff009c66aa8: e00313aa  mov	x0, x19
0xfffffff009c66aac: f10309aa  mov	x17, x9
0xfffffff009c66ab0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c66ab4: 11093fd7  blraa	x8, x17
0xfffffff009c66ab8: a8f79997  bl	#0xfffffff0082e4958
