; Candidate 5643
; ADRP+ADD at VM 0xfffffff0087fe764 (fileoff 0x17fa764): page=0x1fea19000 add_imm=0xe77

0xfffffff0087fe6e4: 02008052  mov	w2, #0
0xfffffff0087fe6e8: 92d2ec97  bl	#0xfffffff008333130
0xfffffff0087fe6ec: e00313aa  mov	x0, x19
0xfffffff0087fe6f0: e10314aa  mov	x1, x20
0xfffffff0087fe6f4: 37f40194  bl	#0xfffffff00887b7d0
0xfffffff0087fe6f8: e00c0034  cbz	w0, #0xfffffff0087fe894
0xfffffff0087fe6fc: e00313aa  mov	x0, x19
0xfffffff0087fe700: 46f40194  bl	#0xfffffff00887b818
0xfffffff0087fe704: 9503f837  tbnz	w21, #0x1f, #0xfffffff0087fe774
0xfffffff0087fe708: b7021b12  and	w23, w21, #0x20
0xfffffff0087fe70c: 1a000052  eor	w26, w0, #1
0xfffffff0087fe710: a7d60294  bl	#0xfffffff0088b41ac
0xfffffff0087fe714: f60300aa  mov	x22, x0
0xfffffff0087fe718: e00314aa  mov	x0, x20
0xfffffff0087fe71c: 4df40194  bl	#0xfffffff00887b850
0xfffffff0087fe720: 4817572a  orr	w8, w26, w23, lsr #5
0xfffffff0087fe724: 28050037  tbnz	w8, #0, #0xfffffff0087fe7c8
0xfffffff0087fe728: 28ff4039  ldrb	w8, [x25, #0x3f]
0xfffffff0087fe72c: 29074139  ldrb	w9, [x25, #0x41]
0xfffffff0087fe730: 0ae74d39  ldrb	w10, [x24, #0x379]
0xfffffff0087fe734: 2b4b40b9  ldr	w11, [x25, #0x48]
0xfffffff0087fe738: 2c6b46b9  ldr	w12, [x25, #0x668]
0xfffffff0087fe73c: 2d6f46b9  ldr	w13, [x25, #0x66c]
0xfffffff0087fe740: 2e7346b9  ldr	w14, [x25, #0x670]
0xfffffff0087fe744: 2f7746b9  ldr	w15, [x25, #0x674]
0xfffffff0087fe748: 901740b9  ldr	w16, [x28, #0x14]
0xfffffff0087fe74c: e92b05a9  stp	x9, x10, [sp, #0x50]
0xfffffff0087fe750: f02304a9  stp	x16, x8, [sp, #0x40]
0xfffffff0087fe754: ee3f03a9  stp	x14, x15, [sp, #0x30]
0xfffffff0087fe758: ec3702a9  stp	x12, x13, [sp, #0x20]
0xfffffff0087fe75c: e02f01a9  stp	x0, x11, [sp, #0x10]
0xfffffff0087fe760: e80313aa  mov	x8, x19
0xfffffff0087fe764: c050ffb0  adrp	x0, #0xfffffff007217000
0xfffffff0087fe768: 00dc3991  add	x0, x0, #0xe77
0xfffffff0087fe76c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087fe770: 14000014  b	#0xfffffff0087fe7c0
0xfffffff0087fe774: 40060034  cbz	w0, #0xfffffff0087fe83c
0xfffffff0087fe778: e803154b  neg	w8, w21
0xfffffff0087fe77c: 08062837  tbnz	w8, #5, #0xfffffff0087fe83c
0xfffffff0087fe780: 28ff4039  ldrb	w8, [x25, #0x3f]
0xfffffff0087fe784: 29074139  ldrb	w9, [x25, #0x41]
0xfffffff0087fe788: 0ae74d39  ldrb	w10, [x24, #0x379]
0xfffffff0087fe78c: 2b4b40b9  ldr	w11, [x25, #0x48]
0xfffffff0087fe790: 2c6b46b9  ldr	w12, [x25, #0x668]
0xfffffff0087fe794: 2d6f46b9  ldr	w13, [x25, #0x66c]
0xfffffff0087fe798: 2e7346b9  ldr	w14, [x25, #0x670]
0xfffffff0087fe79c: 2f7746b9  ldr	w15, [x25, #0x674]
0xfffffff0087fe7a0: 901740b9  ldr	w16, [x28, #0x14]
0xfffffff0087fe7a4: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff0087fe7a8: f0a302a9  stp	x16, x8, [sp, #0x28]
0xfffffff0087fe7ac: eebf01a9  stp	x14, x15, [sp, #0x18]
0xfffffff0087fe7b0: ecb700a9  stp	x12, x13, [sp, #8]
0xfffffff0087fe7b4: c050ffb0  adrp	x0, #0xfffffff007217000
0xfffffff0087fe7b8: 003c3791  add	x0, x0, #0xdcf
0xfffffff0087fe7bc: eb0300f9  str	x11, [sp]
0xfffffff0087fe7c0: 28e3d697  bl	#0xfffffff007db7460
0xfffffff0087fe7c4: 34000014  b	#0xfffffff0087fe894
0xfffffff0087fe7c8: 79d60294  bl	#0xfffffff0088b41ac
0xfffffff0087fe7cc: f60300aa  mov	x22, x0
0xfffffff0087fe7d0: e00314aa  mov	x0, x20
0xfffffff0087fe7d4: 1ff40194  bl	#0xfffffff00887b850
0xfffffff0087fe7d8: 28ff4039  ldrb	w8, [x25, #0x3f]
0xfffffff0087fe7dc: 29074139  ldrb	w9, [x25, #0x41]
0xfffffff0087fe7e0: 0ae74d39  ldrb	w10, [x24, #0x379]
