; Candidate 14258
; ADRP+ADD at VM 0xfffffff00975aef8 (fileoff 0x2756ef8): page=0xc31000 add_imm=0xea8

0xfffffff00975ae78: 1a4f4fb8  ldr	w26, [x24, #0xf4]!
0xfffffff00975ae7c: 3a1c0035  cbnz	w26, #0xfffffff00975b200
0xfffffff00975ae80: 807640f9  ldr	x0, [x20, #0xe8]
0xfffffff00975ae84: 100040f9  ldr	x16, [x0]
0xfffffff00975ae88: f10300aa  mov	x17, x0
0xfffffff00975ae8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975ae90: 301ac1da  autda	x16, x17
0xfffffff00975ae94: 112380d2  mov	x17, #0x118
0xfffffff00975ae98: 1002118b  add	x16, x16, x17
0xfffffff00975ae9c: 080240f9  ldr	x8, [x16]
0xfffffff00975aea0: e90310aa  mov	x9, x16
0xfffffff00975aea4: a1f1feb0  adrp	x1, #0xfffffff00758f000
0xfffffff00975aea8: 213c2391  add	x1, x1, #0x8cf
0xfffffff00975aeac: f10309aa  mov	x17, x9
0xfffffff00975aeb0: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff00975aeb4: 11093fd7  blraa	x8, x17
0xfffffff00975aeb8: e13740f9  ldr	x1, [sp, #0x68]
0xfffffff00975aebc: 8e23ae97  bl	#0xfffffff0082e3cf4
0xfffffff00975aec0: c01900b4  cbz	x0, #0xfffffff00975b1f8
0xfffffff00975aec4: 100040f9  ldr	x16, [x0]
0xfffffff00975aec8: f10300aa  mov	x17, x0
0xfffffff00975aecc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975aed0: 301ac1da  autda	x16, x17
0xfffffff00975aed4: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00975aed8: e90310aa  mov	x9, x16
0xfffffff00975aedc: f10309aa  mov	x17, x9
0xfffffff00975aee0: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00975aee4: 11093fd7  blraa	x8, x17
0xfffffff00975aee8: 1a0040b9  ldr	w26, [x0]
0xfffffff00975aeec: 48070051  sub	w8, w26, #1
0xfffffff00975aef0: 1f8d0171  cmp	w8, #0x63
0xfffffff00975aef4: a2800054  b.hs	#0xfffffff00975bf08
0xfffffff00975aef8: 806100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975aefc: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975af00: 9626ae97  bl	#0xfffffff0082e4958
0xfffffff00975af04: e00314aa  mov	x0, x20
0xfffffff00975af08: d536fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975af0c: 99f1fef0  adrp	x25, #0xfffffff00758d000
0xfffffff00975af10: 39c73491  add	x25, x25, #0xd31
0xfffffff00975af14: 96f1fef0  adrp	x22, #0xfffffff00758d000
0xfffffff00975af18: d6ca3491  add	x22, x22, #0xd32
0xfffffff00975af1c: 800100b5  cbnz	x0, #0xfffffff00975af4c
0xfffffff00975af20: 900240f9  ldr	x16, [x20]
0xfffffff00975af24: f01ac1da  autda	x16, x23
0xfffffff00975af28: 113d80d2  mov	x17, #0x1e8
0xfffffff00975af2c: 1002118b  add	x16, x16, x17
0xfffffff00975af30: 080240f9  ldr	x8, [x16]
0xfffffff00975af34: e90310aa  mov	x9, x16
0xfffffff00975af38: e00314aa  mov	x0, x20
0xfffffff00975af3c: 010080d2  mov	x1, #0
0xfffffff00975af40: f10309aa  mov	x17, x9
0xfffffff00975af44: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975af48: 11093fd7  blraa	x8, x17
0xfffffff00975af4c: fb3f00f9  str	x27, [sp, #0x78]
0xfffffff00975af50: e00314aa  mov	x0, x20
0xfffffff00975af54: c236fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975af58: e00314aa  mov	x0, x20
0xfffffff00975af5c: c036fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975af60: 800100b5  cbnz	x0, #0xfffffff00975af90
0xfffffff00975af64: 900240f9  ldr	x16, [x20]
0xfffffff00975af68: f01ac1da  autda	x16, x23
0xfffffff00975af6c: 114380d2  mov	x17, #0x218
0xfffffff00975af70: 1002118b  add	x16, x16, x17
0xfffffff00975af74: 080240f9  ldr	x8, [x16]
