; Candidate 2956
; ADRP+ADD at VM 0xfffffff0086f85b0 (fileoff 0x16f45b0): page=0x1fea39000 add_imm=0xd90

0xfffffff0086f8530: 3f0b0031  cmn	w25, #2
0xfffffff0086f8534: 241b407a  ccmp	w25, #0, #4, ne
0xfffffff0086f8538: 61000054  b.ne	#0xfffffff0086f8544
0xfffffff0086f853c: 34338052  mov	w20, #0x199
0xfffffff0086f8540: 5c000014  b	#0xfffffff0086f86b0
0xfffffff0086f8544: 3f070031  cmn	w25, #1
0xfffffff0086f8548: 816d0054  b.ne	#0xfffffff0086f92f8
0xfffffff0086f854c: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f8550: 08491591  add	x8, x8, #0x552
0xfffffff0086f8554: e80300f9  str	x8, [sp]
0xfffffff0086f8558: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f855c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8560: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8564: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8568: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f856c: 634c2a91  add	x3, x3, #0xa93
0xfffffff0086f8570: 02008052  mov	w2, #0
0xfffffff0086f8574: efeaf097  bl	#0xfffffff008333130
0xfffffff0086f8578: 36000014  b	#0xfffffff0086f8650
0xfffffff0086f857c: 5f070039  strb	wzr, [x26, #1]
0xfffffff0086f8580: 49a34239  ldrb	w9, [x26, #0xa8]
0xfffffff0086f8584: 88f259f9  ldr	x8, [x20, #0x33e0]
0xfffffff0086f8588: 3f050071  cmp	w9, #1
0xfffffff0086f858c: 41020054  b.ne	#0xfffffff0086f85d4
0xfffffff0086f8590: 094d47b9  ldr	w9, [x8, #0x74c]
0xfffffff0086f8594: 3f791e72  tst	w9, #0xfffffffd
0xfffffff0086f8598: e0010054  b.eq	#0xfffffff0086f85d4
0xfffffff0086f859c: e80318aa  mov	x8, x24
0xfffffff0086f85a0: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0086f85a4: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f85a8: 08491591  add	x8, x8, #0x552
0xfffffff0086f85ac: e80300f9  str	x8, [sp]
0xfffffff0086f85b0: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f85b4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f85b8: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f85bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f85c0: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f85c4: 63a02b91  add	x3, x3, #0xae8
0xfffffff0086f85c8: 02008052  mov	w2, #0
0xfffffff0086f85cc: d9eaf097  bl	#0xfffffff008333130
0xfffffff0086f85d0: 20000014  b	#0xfffffff0086f8650
0xfffffff0086f85d4: ffa300b9  str	wzr, [sp, #0xa0]
0xfffffff0086f85d8: 01810091  add	x1, x8, #0x20
0xfffffff0086f85dc: e2830291  add	x2, sp, #0xa0
0xfffffff0086f85e0: 52faff97  bl	#0xfffffff0086f6f28
0xfffffff0086f85e4: 88f259f9  ldr	x8, [x20, #0x33e0]
0xfffffff0086f85e8: 018148b9  ldr	w1, [x8, #0x880]
0xfffffff0086f85ec: 028548b9  ldr	w2, [x8, #0x884]
0xfffffff0086f85f0: e3a340b9  ldr	w3, [sp, #0xa0]
0xfffffff0086f85f4: e00314aa  mov	x0, x20
0xfffffff0086f85f8: 43030094  bl	#0xfffffff0086f9304
0xfffffff0086f85fc: 60080034  cbz	w0, #0xfffffff0086f8708
0xfffffff0086f8600: 88f259f9  ldr	x8, [x20, #0x33e0]
0xfffffff0086f8604: 890a76b9  ldr	w9, [x20, #0x3608]
0xfffffff0086f8608: 8a0e76b9  ldr	w10, [x20, #0x360c]
0xfffffff0086f860c: 0b8148b9  ldr	w11, [x8, #0x880]
0xfffffff0086f8610: 088548b9  ldr	w8, [x8, #0x884]
0xfffffff0086f8614: eba302a9  stp	x11, x8, [sp, #0x28]
0xfffffff0086f8618: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0086f861c: e80318aa  mov	x8, x24
0xfffffff0086f8620: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0086f8624: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f8628: 08491591  add	x8, x8, #0x552
0xfffffff0086f862c: e80300f9  str	x8, [sp]
