; Candidate 6934
; ADRP+ADD at VM 0xfffffff00884aef4 (fileoff 0x1846ef4): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884ae74: 40000014  b	#0xfffffff00884af74
0xfffffff00884ae78: 29050051  sub	w9, w9, #1
0xfffffff00884ae7c: 6a0641b8  ldr	w10, [x19], #0x10
0xfffffff00884ae80: 2b0dca1a  sdiv	w11, w9, w10
0xfffffff00884ae84: 69a50a1b  msub	w9, w11, w10, w9
0xfffffff00884ae88: 0059e93c  ldr	q0, [x8, w9, uxtw #4]
0xfffffff00884ae8c: 8002803d  str	q0, [x20]
0xfffffff00884ae90: e00313aa  mov	x0, x19
0xfffffff00884ae94: e10314aa  mov	x1, x20
0xfffffff00884ae98: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00884ae9c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00884aea0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00884aea4: ffc30191  add	sp, sp, #0x70
0xfffffff00884aea8: ff2303d5  autibsp	
0xfffffff00884aeac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00884aeb0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00884aeb8
0xfffffff00884aeb4: 208e38d4  brk	#0xc471
0xfffffff00884aeb8: 8ba00114  b	#0xfffffff0088b30e4
0xfffffff00884aebc: bca40194  bl	#0xfffffff0088b41ac
0xfffffff00884aec0: f50300aa  mov	x21, x0
0xfffffff00884aec4: 80008052  mov	w0, #4
0xfffffff00884aec8: 62c20094  bl	#0xfffffff00887b850
0xfffffff00884aecc: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884aed0: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884aed4: 08e52191  add	x8, x8, #0x879
0xfffffff00884aed8: 49408052  mov	w9, #0x202
0xfffffff00884aedc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884aee0: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884aee4: 08912191  add	x8, x8, #0x864
0xfffffff00884aee8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884aeec: 28098052  mov	w8, #0x49
0xfffffff00884aef0: f52300a9  stp	x21, x8, [sp]
0xfffffff00884aef4: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884aef8: 00003a91  add	x0, x0, #0xe80
0xfffffff00884aefc: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884af00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884af04: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884af08: 63742191  add	x3, x3, #0x85d
0xfffffff00884af0c: 02008052  mov	w2, #0
0xfffffff00884af10: 88a0eb97  bl	#0xfffffff008333130
0xfffffff00884af14: 007d8012  mov	w0, #-0x3e9
0xfffffff00884af18: 18000014  b	#0xfffffff00884af78
0xfffffff00884af1c: a4a40194  bl	#0xfffffff0088b41ac
0xfffffff00884af20: f40300aa  mov	x20, x0
0xfffffff00884af24: 80008052  mov	w0, #4
0xfffffff00884af28: 4ac20094  bl	#0xfffffff00887b850
0xfffffff00884af2c: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884af30: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884af34: a9408052  mov	w9, #0x205
0xfffffff00884af38: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00884af3c: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884af40: 08912191  add	x8, x8, #0x864
0xfffffff00884af44: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884af48: 28098052  mov	w8, #0x49
0xfffffff00884af4c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884af50: f40300f9  str	x20, [sp]
0xfffffff00884af54: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884af58: 00003a91  add	x0, x0, #0xe80
0xfffffff00884af5c: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884af60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884af64: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884af68: 633c2291  add	x3, x3, #0x88f
0xfffffff00884af6c: 02008052  mov	w2, #0
0xfffffff00884af70: 70a0eb97  bl	#0xfffffff008333130
