; Candidate 14374
; ADRP+ADD at VM 0xfffffff00976e778 (fileoff 0x276a778): page=0xc1d000 add_imm=0xea8

0xfffffff00976e6f8: e86000b0  adrp	x8, #0xfffffff00a38b000
0xfffffff00976e6fc: 08e10591  add	x8, x8, #0x178
0xfffffff00976e700: 010140f9  ldr	x1, [x8]
0xfffffff00976e704: 100040f9  ldr	x16, [x0]
0xfffffff00976e708: f10300aa  mov	x17, x0
0xfffffff00976e70c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976e710: 301ac1da  autda	x16, x17
0xfffffff00976e714: f10310aa  mov	x17, x16
0xfffffff00976e718: f147c1da  xpacd	x17
0xfffffff00976e71c: 1f0211eb  cmp	x16, x17
0xfffffff00976e720: 40000054  b.eq	#0xfffffff00976e728
0xfffffff00976e724: 408e38d4  brk	#0xc472
0xfffffff00976e728: 08620791  add	x8, x16, #0x1d8
0xfffffff00976e72c: 09ee40f9  ldr	x9, [x16, #0x1d8]
0xfffffff00976e730: f10308aa  mov	x17, x8
0xfffffff00976e734: d1b2ebf2  movk	x17, #0x5d96, lsl #48
0xfffffff00976e738: 31093fd7  blraa	x9, x17
0xfffffff00976e73c: 801a40f9  ldr	x0, [x20, #0x30]
0xfffffff00976e740: dc88fd97  bl	#0xfffffff0096d0ab0
0xfffffff00976e744: f60300aa  mov	x22, x0
0xfffffff00976e748: 801a40f9  ldr	x0, [x20, #0x30]
0xfffffff00976e74c: df88fd97  bl	#0xfffffff0096d0ac8
0xfffffff00976e750: e20300aa  mov	x2, x0
0xfffffff00976e754: 37008052  mov	w23, #1
0xfffffff00976e758: e00315aa  mov	x0, x21
0xfffffff00976e75c: e10316aa  mov	x1, x22
0xfffffff00976e760: 03008052  mov	w3, #0
0xfffffff00976e764: 24008052  mov	w4, #1
0xfffffff00976e768: a4c9ff97  bl	#0xfffffff009760df8
0xfffffff00976e76c: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff00976e770: 080540f9  ldr	x8, [x8, #8]
0xfffffff00976e774: 17610039  strb	w23, [x8, #0x18]
0xfffffff00976e778: e06000b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976e77c: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976e780: 76d8ad97  bl	#0xfffffff0082e4958
0xfffffff00976e784: e00315aa  mov	x0, x21
0xfffffff00976e788: b5e8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976e78c: c00100b5  cbnz	x0, #0xfffffff00976e7c4
0xfffffff00976e790: b00240f9  ldr	x16, [x21]
0xfffffff00976e794: f10315aa  mov	x17, x21
0xfffffff00976e798: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976e79c: 301ac1da  autda	x16, x17
0xfffffff00976e7a0: 113d80d2  mov	x17, #0x1e8
0xfffffff00976e7a4: 1002118b  add	x16, x16, x17
0xfffffff00976e7a8: 080240f9  ldr	x8, [x16]
0xfffffff00976e7ac: e90310aa  mov	x9, x16
0xfffffff00976e7b0: e00315aa  mov	x0, x21
0xfffffff00976e7b4: 010080d2  mov	x1, #0
0xfffffff00976e7b8: f10309aa  mov	x17, x9
0xfffffff00976e7bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976e7c0: 11093fd7  blraa	x8, x17
0xfffffff00976e7c4: e00315aa  mov	x0, x21
0xfffffff00976e7c8: a5e8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976e7cc: e00315aa  mov	x0, x21
0xfffffff00976e7d0: a3e8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976e7d4: c00100b5  cbnz	x0, #0xfffffff00976e80c
0xfffffff00976e7d8: b00240f9  ldr	x16, [x21]
0xfffffff00976e7dc: f10315aa  mov	x17, x21
0xfffffff00976e7e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976e7e4: 301ac1da  autda	x16, x17
0xfffffff00976e7e8: 114380d2  mov	x17, #0x218
0xfffffff00976e7ec: 1002118b  add	x16, x16, x17
0xfffffff00976e7f0: 080240f9  ldr	x8, [x16]
0xfffffff00976e7f4: e90310aa  mov	x9, x16
