; Candidate 15319
; ADRP+ADD at VM 0xfffffff009b4ec88 (fileoff 0x2b4ac88): page=0x1fdada000 add_imm=0xed0

0xfffffff009b4ec08: 08620891  add	x8, x16, #0x218
0xfffffff009b4ec0c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4ec10: e00313aa  mov	x0, x19
0xfffffff009b4ec14: 010080d2  mov	x1, #0
0xfffffff009b4ec18: f10308aa  mov	x17, x8
0xfffffff009b4ec1c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4ec20: 31093fd7  blraa	x9, x17
0xfffffff009b4ec24: f70300aa  mov	x23, x0
0xfffffff009b4ec28: 700240f9  ldr	x16, [x19]
0xfffffff009b4ec2c: f10313aa  mov	x17, x19
0xfffffff009b4ec30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4ec34: 301ac1da  autda	x16, x17
0xfffffff009b4ec38: f10310aa  mov	x17, x16
0xfffffff009b4ec3c: f147c1da  xpacd	x17
0xfffffff009b4ec40: 1f0211eb  cmp	x16, x17
0xfffffff009b4ec44: 40000054  b.eq	#0xfffffff009b4ec4c
0xfffffff009b4ec48: 408e38d4  brk	#0xc472
0xfffffff009b4ec4c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4ec50: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4ec54: e00313aa  mov	x0, x19
0xfffffff009b4ec58: 010080d2  mov	x1, #0
0xfffffff009b4ec5c: f10308aa  mov	x17, x8
0xfffffff009b4ec60: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4ec64: 31093fd7  blraa	x9, x17
0xfffffff009b4ec68: e8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4ec6c: 08551491  add	x8, x8, #0x515
0xfffffff009b4ec70: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff009b4ec74: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff009b4ec78: c9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4ec7c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4ec80: f7a700a9  stp	x23, x9, [sp, #8]
0xfffffff009b4ec84: f50300f9  str	x21, [sp]
0xfffffff009b4ec88: c0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4ec8c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4ec90: e3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4ec94: 63500b91  add	x3, x3, #0x2d4
0xfffffff009b4ec98: e10314aa  mov	x1, x20
0xfffffff009b4ec9c: 02028052  mov	w2, #0x10
0xfffffff009b4eca0: 24919f97  bl	#0xfffffff008333130
0xfffffff009b4eca4: 085b8052  mov	w8, #0x2d8
0xfffffff009b4eca8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009b4ecac: 14690051  sub	w20, w8, #0x1a
0xfffffff009b4ecb0: 400340f9  ldr	x0, [x26]
0xfffffff009b4ecb4: 400100b4  cbz	x0, #0xfffffff009b4ecdc
0xfffffff009b4ecb8: 100040f9  ldr	x16, [x0]
0xfffffff009b4ecbc: f10300aa  mov	x17, x0
0xfffffff009b4ecc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4ecc4: 301ac1da  autda	x16, x17
0xfffffff009b4ecc8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009b4eccc: e90310aa  mov	x9, x16
0xfffffff009b4ecd0: f10309aa  mov	x17, x9
0xfffffff009b4ecd4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009b4ecd8: 11093fd7  blraa	x8, x17
0xfffffff009b4ecdc: 5f0300f9  str	xzr, [x26]
0xfffffff009b4ece0: d9000014  b	#0xfffffff009b4f044
0xfffffff009b4ece4: 68559552  mov	w8, #0xaaab
0xfffffff009b4ece8: 4855b572  movk	w8, #0xaaaa, lsl #16
0xfffffff009b4ecec: a87ea89b  umull	x8, w21, w8
0xfffffff009b4ecf0: 15fd61d3  lsr	x21, x8, #0x21
0xfffffff009b4ecf4: f66a1b53  lsl	w22, w23, #5
0xfffffff009b4ecf8: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b4ecfc: c902088b  add	x9, x22, x8
0xfffffff009b4ed00: aa4a142a  orr	w10, w21, w20, lsl #18
0xfffffff009b4ed04: 0b009052  mov	w11, #0x8000
