; Candidate 11045
; ADRP+ADD at VM 0xfffffff008e28300 (fileoff 0x1e24300): page=0x1fe5a4000 add_imm=0xd64

0xfffffff008e28280: f10309aa  mov	x17, x9
0xfffffff008e28284: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008e28288: 11093fd7  blraa	x8, x17
0xfffffff008e2828c: d41e8152  mov	w20, #0x8f6
0xfffffff008e28290: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008e28294: e04f00a9  stp	x0, x19, [sp]
0xfffffff008e28298: 002dfff0  adrp	x0, #0xfffffff0073cb000
0xfffffff008e2829c: 00001991  add	x0, x0, #0x640
0xfffffff008e282a0: 8166ffd0  adrp	x1, #0xfffffff007afa000
0xfffffff008e282a4: 213041f9  ldr	x1, [x1, #0x260]
0xfffffff008e282a8: 232dffd0  adrp	x3, #0xfffffff0073ce000
0xfffffff008e282ac: 63702f91  add	x3, x3, #0xbdc
0xfffffff008e282b0: 02028052  mov	w2, #0x10
0xfffffff008e282b4: 9f2bd497  bl	#0xfffffff008333130
0xfffffff008e282b8: 700240f9  ldr	x16, [x19]
0xfffffff008e282bc: f10313aa  mov	x17, x19
0xfffffff008e282c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e282c4: 301ac1da  autda	x16, x17
0xfffffff008e282c8: f10310aa  mov	x17, x16
0xfffffff008e282cc: f147c1da  xpacd	x17
0xfffffff008e282d0: 1f0211eb  cmp	x16, x17
0xfffffff008e282d4: 40000054  b.eq	#0xfffffff008e282dc
0xfffffff008e282d8: 408e38d4  brk	#0xc472
0xfffffff008e282dc: 08a20791  add	x8, x16, #0x1e8
0xfffffff008e282e0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008e282e4: e00313aa  mov	x0, x19
0xfffffff008e282e8: 010080d2  mov	x1, #0
0xfffffff008e282ec: f10308aa  mov	x17, x8
0xfffffff008e282f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008e282f4: 31093fd7  blraa	x9, x17
0xfffffff008e282f8: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008e282fc: e04f00a9  stp	x0, x19, [sp]
0xfffffff008e28300: 202dff90  adrp	x0, #0xfffffff0073cc000
0xfffffff008e28304: 00903591  add	x0, x0, #0xd64
0xfffffff008e28308: 46bbd497  bl	#0xfffffff008357020
0xfffffff008e2830c: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008e28310: 8966ffd0  adrp	x9, #0xfffffff007afa000
0xfffffff008e28314: 292d41f9  ldr	x9, [x9, #0x258]
0xfffffff008e28318: 290140f9  ldr	x9, [x9]
0xfffffff008e2831c: 3f0108eb  cmp	x9, x8
0xfffffff008e28320: c1000054  b.ne	#0xfffffff008e28338
0xfffffff008e28324: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff008e28328: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff008e2832c: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff008e28330: ff430491  add	sp, sp, #0x110
0xfffffff008e28334: ff0f5fd6  retab	
0xfffffff008e28338: c5d6bc97  bl	#0xfffffff007d5de4c
0xfffffff008e2833c: 7f2303d5  pacibsp	
0xfffffff008e28340: ff0301d1  sub	sp, sp, #0x40
0xfffffff008e28344: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008e28348: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008e2834c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008e28350: fdc30091  add	x29, sp, #0x30
0xfffffff008e28354: f40301aa  mov	x20, x1
0xfffffff008e28358: f30300aa  mov	x19, x0
0xfffffff008e2835c: ff0f0079  strh	wzr, [sp, #6]
0xfffffff008e28360: ff0b0079  strh	wzr, [sp, #4]
0xfffffff008e28364: ff0f0039  strb	wzr, [sp, #3]
0xfffffff008e28368: e31f0091  add	x3, sp, #7
0xfffffff008e2836c: 01028052  mov	w1, #0x10
0xfffffff008e28370: 021f8052  mov	w2, #0xf8
0xfffffff008e28374: 24008052  mov	w4, #1
0xfffffff008e28378: 1be7ff97  bl	#0xfffffff008e21fe4
0xfffffff008e2837c: 9566ffd0  adrp	x21, #0xfffffff007afa000
