; Candidate 14474
; ADRP+ADD at VM 0xfffffff0097dec60 (fileoff 0x27dac60): page=0x1fddcf000 add_imm=0xe3a

0xfffffff0097debe0: f40302aa  mov	x20, x2
0xfffffff0097debe4: 420040f9  ldr	x2, [x2]
0xfffffff0097debe8: 6ab79597  bl	#0xfffffff007d4c990
0xfffffff0097debec: 880240f9  ldr	x8, [x20]
0xfffffff0097debf0: 680200f9  str	x8, [x19]
0xfffffff0097debf4: 000080d2  mov	x0, #0
0xfffffff0097debf8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0097debfc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0097dec00: ff0f5fd6  retab	
0xfffffff0097dec04: 5f2403d5  bti	c
0xfffffff0097dec08: c0035fd6  ret	
0xfffffff0097dec0c: 5f2403d5  bti	c
0xfffffff0097dec10: ad0bad17  b	#0xfffffff008321ac4
0xfffffff0097dec14: 5f2403d5  bti	c
0xfffffff0097dec18: 000080d2  mov	x0, #0
0xfffffff0097dec1c: c0035fd6  ret	
0xfffffff0097dec20: 5f2403d5  bti	c
0xfffffff0097dec24: 000080d2  mov	x0, #0
0xfffffff0097dec28: c0035fd6  ret	
0xfffffff0097dec2c: 5f2403d5  bti	c
0xfffffff0097dec30: 000080d2  mov	x0, #0
0xfffffff0097dec34: c0035fd6  ret	
0xfffffff0097dec38: 5f2403d5  bti	c
0xfffffff0097dec3c: 1f300039  strb	wzr, [x0, #0xc]
0xfffffff0097dec40: 000080d2  mov	x0, #0
0xfffffff0097dec44: c0035fd6  ret	
0xfffffff0097dec48: 5f2403d5  bti	c
0xfffffff0097dec4c: 000080d2  mov	x0, #0
0xfffffff0097dec50: c0035fd6  ret	
0xfffffff0097dec54: 7f2303d5  pacibsp	
0xfffffff0097dec58: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097dec5c: fd030091  mov	x29, sp
0xfffffff0097dec60: 60eefef0  adrp	x0, #0xfffffff0075ad000
0xfffffff0097dec64: 00e83891  add	x0, x0, #0xe3a
0xfffffff0097dec68: 29d6b297  bl	#0xfffffff00849450c
0xfffffff0097dec6c: 200020d4  brk	#1
0xfffffff0097dec70: 5f2403d5  bti	c
0xfffffff0097dec74: e80300aa  mov	x8, x0
0xfffffff0097dec78: 000080d2  mov	x0, #0
0xfffffff0097dec7c: c10300b4  cbz	x1, #0xfffffff0097decf4
0xfffffff0097dec80: 1f2500f1  cmp	x8, #9
0xfffffff0097dec84: 88030054  b.hi	#0xfffffff0097decf4
0xfffffff0097dec88: 290040f9  ldr	x9, [x1]
0xfffffff0097dec8c: 00050091  add	x0, x8, #1
0xfffffff0097dec90: 0a078052  mov	w10, #0x38
0xfffffff0097dec94: 2b23ffb0  adrp	x11, #0xfffffff007c43000
0xfffffff0097dec98: 6b812d91  add	x11, x11, #0xb60
0xfffffff0097dec9c: 082d0a9b  madd	x8, x8, x10, x11
0xfffffff0097deca0: 08410091  add	x8, x8, #0x10
0xfffffff0097deca4: 890000b4  cbz	x9, #0xfffffff0097decb4
0xfffffff0097deca8: 0a015ff8  ldur	x10, [x8, #-0x10]
0xfffffff0097decac: 3f010aeb  cmp	x9, x10
0xfffffff0097decb0: 61010054  b.ne	#0xfffffff0097decdc
0xfffffff0097decb4: 2a0440f9  ldr	x10, [x1, #8]
0xfffffff0097decb8: 8a0000b4  cbz	x10, #0xfffffff0097decc8
0xfffffff0097decbc: 0b815ff8  ldur	x11, [x8, #-8]
0xfffffff0097decc0: 5f010beb  cmp	x10, x11
0xfffffff0097decc4: c1000054  b.ne	#0xfffffff0097decdc
0xfffffff0097decc8: 2a0840f9  ldr	x10, [x1, #0x10]
0xfffffff0097deccc: 4a0100b4  cbz	x10, #0xfffffff0097decf4
0xfffffff0097decd0: 0b0140f9  ldr	x11, [x8]
0xfffffff0097decd4: 5f010beb  cmp	x10, x11
0xfffffff0097decd8: e0000054  b.eq	#0xfffffff0097decf4
0xfffffff0097decdc: 0a0400d1  sub	x10, x0, #1
