; Candidate 16365
; ADRP+ADD at VM 0xfffffff009e70e24 (fileoff 0x2e6ce24): page=0x1fd9cf000 add_imm=0xe7e

0xfffffff009e70da4: f86702a9  stp	x24, x25, [sp, #0x20]
0xfffffff009e70da8: e9d740f9  ldr	x9, [sp, #0x1a8]
0xfffffff009e70dac: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e70db0: aa758352  mov	w10, #0x1bad
0xfffffff009e70db4: 68cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e70db8: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e70dbc: e82b00a9  stp	x8, x10, [sp]
0xfffffff009e70dc0: 60cefef0  adrp	x0, #0xfffffff00783f000
0xfffffff009e70dc4: 00ec3891  add	x0, x0, #0xe3b
0xfffffff009e70dc8: 8fffff17  b	#0xfffffff009e70c04
0xfffffff009e70dcc: e8d340f9  ldr	x8, [sp, #0x1a0]
0xfffffff009e70dd0: 025540f9  ldr	x2, [x8, #0xa8]
0xfffffff009e70dd4: 03a540b9  ldr	w3, [x8, #0xa4]
0xfffffff009e70dd8: e52341f9  ldr	x5, [sp, #0x240]
0xfffffff009e70ddc: e00314aa  mov	x0, x20
0xfffffff009e70de0: e1ff40f9  ldr	x1, [sp, #0x1f8]
0xfffffff009e70de4: 04008052  mov	w4, #0
0xfffffff009e70de8: ac2c0194  bl	#0xfffffff009ebc098
0xfffffff009e70dec: 20020034  cbz	w0, #0xfffffff009e70e30
0xfffffff009e70df0: f90300aa  mov	x25, x0
0xfffffff009e70df4: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e70df8: 080140f9  ldr	x8, [x8]
0xfffffff009e70dfc: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e70e00: ead340f9  ldr	x10, [sp, #0x1a0]
0xfffffff009e70e04: 495540f9  ldr	x9, [x10, #0xa8]
0xfffffff009e70e08: 4aa540b9  ldr	w10, [x10, #0xa4]
0xfffffff009e70e0c: ea6702a9  stp	x10, x25, [sp, #0x20]
0xfffffff009e70e10: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e70e14: 2b768352  mov	w11, #0x1bb1
0xfffffff009e70e18: 68cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e70e1c: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e70e20: e82f00a9  stp	x8, x11, [sp]
0xfffffff009e70e24: 60cefef0  adrp	x0, #0xfffffff00783f000
0xfffffff009e70e28: 00f83991  add	x0, x0, #0xe7e
0xfffffff009e70e2c: 76ffff17  b	#0xfffffff009e70c04
0xfffffff009e70e30: e8d340f9  ldr	x8, [sp, #0x1a0]
0xfffffff009e70e34: 025940f9  ldr	x2, [x8, #0xb0]
0xfffffff009e70e38: 034d40f9  ldr	x3, [x8, #0x98]
0xfffffff009e70e3c: e52341f9  ldr	x5, [sp, #0x240]
0xfffffff009e70e40: 38008052  mov	w24, #1
0xfffffff009e70e44: e00314aa  mov	x0, x20
0xfffffff009e70e48: e1ff40f9  ldr	x1, [sp, #0x1f8]
0xfffffff009e70e4c: 24008052  mov	w4, #1
0xfffffff009e70e50: 922c0194  bl	#0xfffffff009ebc098
0xfffffff009e70e54: 20020034  cbz	w0, #0xfffffff009e70e98
0xfffffff009e70e58: f90300aa  mov	x25, x0
0xfffffff009e70e5c: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e70e60: 080140f9  ldr	x8, [x8]
0xfffffff009e70e64: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e70e68: ead340f9  ldr	x10, [sp, #0x1a0]
0xfffffff009e70e6c: 495940f9  ldr	x9, [x10, #0xb0]
0xfffffff009e70e70: 4a4d40f9  ldr	x10, [x10, #0x98]
0xfffffff009e70e74: ea6702a9  stp	x10, x25, [sp, #0x20]
0xfffffff009e70e78: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e70e7c: ab768352  mov	w11, #0x1bb5
0xfffffff009e70e80: 68cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e70e84: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e70e88: e82f00a9  stp	x8, x11, [sp]
0xfffffff009e70e8c: 60cefef0  adrp	x0, #0xfffffff00783f000
0xfffffff009e70e90: 00103b91  add	x0, x0, #0xec4
0xfffffff009e70e94: 5cffff17  b	#0xfffffff009e70c04
0xfffffff009e70e98: 1a0080d2  mov	x26, #0
0xfffffff009e70e9c: fc030991  add	x28, sp, #0x240
0xfffffff009e70ea0: 880f1a8b  add	x8, x28, x26, lsl #3
