; Candidate 3304
; ADRP+ADD at VM 0xfffffff00872c558 (fileoff 0x1728558): page=0x1fea05000 add_imm=0xd90

0xfffffff00872c4d8: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff00872c4dc: 080140f9  ldr	x8, [x8]
0xfffffff00872c4e0: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff00872c4e4: bfff3ba9  stp	xzr, xzr, [x29, #-0x48]
0xfffffff00872c4e8: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff00872c4ec: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff00872c4f0: ffff02a9  stp	xzr, xzr, [sp, #0x28]
0xfffffff00872c4f4: 15009852  mov	w21, #0xc000
0xfffffff00872c4f8: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00872c4fc: b62301d1  sub	x22, x29, #0x48
0xfffffff00872c500: 8102150b  add	w1, w20, w21
0xfffffff00872c504: 700240f9  ldr	x16, [x19]
0xfffffff00872c508: f10313aa  mov	x17, x19
0xfffffff00872c50c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00872c510: 301ac1da  autda	x16, x17
0xfffffff00872c514: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00872c518: e90310aa  mov	x9, x16
0xfffffff00872c51c: e00313aa  mov	x0, x19
0xfffffff00872c520: f10309aa  mov	x17, x9
0xfffffff00872c524: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00872c528: 11093fd7  blraa	x8, x17
0xfffffff00872c52c: c06a34b8  str	w0, [x22, x20]
0xfffffff00872c530: 94120091  add	x20, x20, #4
0xfffffff00872c534: 9f420071  cmp	w20, #0x10
0xfffffff00872c538: 41feff54  b.ne	#0xfffffff00872c500
0xfffffff00872c53c: a8277729  ldp	w8, w9, [x29, #-0x48]
0xfffffff00872c540: aa2f7829  ldp	w10, w11, [x29, #-0x40]
0xfffffff00872c544: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00872c548: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00872c54c: 3651ff90  adrp	x22, #0xfffffff007150000
0xfffffff00872c550: d6e62b91  add	x22, x22, #0xaf9
0xfffffff00872c554: f60300f9  str	x22, [sp]
0xfffffff00872c558: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872c55c: 00403691  add	x0, x0, #0xd90
0xfffffff00872c560: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872c564: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872c568: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872c56c: 63e42691  add	x3, x3, #0x9b9
0xfffffff00872c570: 02008052  mov	w2, #0
0xfffffff00872c574: ef1af097  bl	#0xfffffff008333130
0xfffffff00872c578: 140080d2  mov	x20, #0
0xfffffff00872c57c: 95018452  mov	w21, #0x200c
0xfffffff00872c580: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00872c584: f7230191  add	x23, sp, #0x48
0xfffffff00872c588: 8102150b  add	w1, w20, w21
0xfffffff00872c58c: 700240f9  ldr	x16, [x19]
0xfffffff00872c590: f10313aa  mov	x17, x19
0xfffffff00872c594: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00872c598: 301ac1da  autda	x16, x17
0xfffffff00872c59c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00872c5a0: e90310aa  mov	x9, x16
0xfffffff00872c5a4: e00313aa  mov	x0, x19
0xfffffff00872c5a8: f10309aa  mov	x17, x9
0xfffffff00872c5ac: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00872c5b0: 11093fd7  blraa	x8, x17
0xfffffff00872c5b4: e06a34b8  str	w0, [x23, x20]
0xfffffff00872c5b8: 94120091  add	x20, x20, #4
0xfffffff00872c5bc: 9f420071  cmp	w20, #0x10
0xfffffff00872c5c0: 41feff54  b.ne	#0xfffffff00872c588
0xfffffff00872c5c4: 14018052  mov	w20, #8
0xfffffff00872c5c8: 1422a072  movk	w20, #0x110, lsl #16
0xfffffff00872c5cc: e8274929  ldp	w8, w9, [sp, #0x48]
0xfffffff00872c5d0: ea2f4a29  ldp	w10, w11, [sp, #0x50]
0xfffffff00872c5d4: eaaf01a9  stp	x10, x11, [sp, #0x18]
