; Candidate 7738
; ADRP+ADD at VM 0xfffffff00887c424 (fileoff 0x1878424): page=0x1fe96d000 add_imm=0xe80

0xfffffff00887c3a4: 0a088052  mov	w10, #0x40
0xfffffff00887c3a8: 02318a1a  csel	w2, w8, w10, lo
0xfffffff00887c3ac: e8d200d0  adrp	x8, #0xfffffff00a2da000
0xfffffff00887c3b0: 08e13b91  add	x8, x8, #0xef8
0xfffffff00887c3b4: 00c1298b  add	x0, x8, w9, sxtw
0xfffffff00887c3b8: e8d200d0  adrp	x8, #0xfffffff00a2da000
0xfffffff00887c3bc: 08e13891  add	x8, x8, #0xe38
0xfffffff00887c3c0: 01c1298b  add	x1, x8, w9, sxtw
0xfffffff00887c3c4: cde00094  bl	#0xfffffff0088b46f8
0xfffffff00887c3c8: 9f061872  tst	w20, #0x300
0xfffffff00887c3cc: 80000054  b.eq	#0xfffffff00887c3dc
0xfffffff00887c3d0: 8adf0094  bl	#0xfffffff0088b41f8
0xfffffff00887c3d4: e8d200d0  adrp	x8, #0xfffffff00a2da000
0xfffffff00887c3d8: 00dd07f9  str	x0, [x8, #0xfb8]
0xfffffff00887c3dc: 4dfeff97  bl	#0xfffffff00887bd10
0xfffffff00887c3e0: a8e27c39  ldrb	w8, [x21, #0xf38]
0xfffffff00887c3e4: 08091f12  and	w8, w8, #0xe
0xfffffff00887c3e8: 1f190071  cmp	w8, #6
0xfffffff00887c3ec: 83040054  b.lo	#0xfffffff00887c47c
0xfffffff00887c3f0: b5e27c39  ldrb	w21, [x21, #0xf38]
0xfffffff00887c3f4: 6edf0094  bl	#0xfffffff0088b41ac
0xfffffff00887c3f8: 95022037  tbnz	w21, #4, #0xfffffff00887c448
0xfffffff00887c3fc: 6cdf0094  bl	#0xfffffff0088b41ac
0xfffffff00887c400: f3ff02a9  stp	x19, xzr, [sp, #0x28]
0xfffffff00887c404: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887c408: 08890191  add	x8, x8, #0x62
0xfffffff00887c40c: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff00887c410: 894dff90  adrp	x9, #0xfffffff00722c000
0xfffffff00887c414: 29a90291  add	x9, x9, #0xaa
0xfffffff00887c418: 08088052  mov	w8, #0x40
0xfffffff00887c41c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00887c420: e00300f9  str	x0, [sp]
0xfffffff00887c424: 604bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887c428: 00003a91  add	x0, x0, #0xe80
0xfffffff00887c42c: 618cff90  adrp	x1, #0xfffffff007a08000
0xfffffff00887c430: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887c434: e34effd0  adrp	x3, #0xfffffff00725a000
0xfffffff00887c438: 63343491  add	x3, x3, #0xd0d
0xfffffff00887c43c: 02008052  mov	w2, #0
0xfffffff00887c440: 3cdbea97  bl	#0xfffffff008333130
0xfffffff00887c444: 0e000014  b	#0xfffffff00887c47c
0xfffffff00887c448: f3ff02a9  stp	x19, xzr, [sp, #0x28]
0xfffffff00887c44c: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887c450: 08890191  add	x8, x8, #0x62
0xfffffff00887c454: 894dff90  adrp	x9, #0xfffffff00722c000
0xfffffff00887c458: 2aa90291  add	x10, x9, #0xaa
0xfffffff00887c45c: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff00887c460: 09088052  mov	w9, #0x40
0xfffffff00887c464: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887c468: 08d10191  add	x8, x8, #0x74
0xfffffff00887c46c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00887c470: e00300f9  str	x0, [sp]
0xfffffff00887c474: e00308aa  mov	x0, x8
0xfffffff00887c478: faebd497  bl	#0xfffffff007db7460
0xfffffff00887c47c: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff00887c480: 698cff90  adrp	x9, #0xfffffff007a08000
0xfffffff00887c484: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00887c488: 290140f9  ldr	x9, [x9]
0xfffffff00887c48c: 3f0108eb  cmp	x9, x8
0xfffffff00887c490: e1000054  b.ne	#0xfffffff00887c4ac
0xfffffff00887c494: 00008052  mov	w0, #0
0xfffffff00887c498: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00887c49c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00887c4a0: f65746a9  ldp	x22, x21, [sp, #0x60]
