; Candidate 10313
; ADRP+ADD at VM 0xfffffff008ceb23c (fileoff 0x1ce723c): page=0x1fe688000 add_imm=0xcfd

0xfffffff008ceb1bc: ffc30191  add	sp, sp, #0x70
0xfffffff008ceb1c0: ff0f5fd6  retab	
0xfffffff008ceb1c4: e8588052  mov	w8, #0x2c7
0xfffffff008ceb1c8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008ceb1cc: 5f03086b  cmp	w26, w8
0xfffffff008ceb1d0: e0010054  b.eq	#0xfffffff008ceb20c
0xfffffff008ceb1d4: 685b8052  mov	w8, #0x2db
0xfffffff008ceb1d8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008ceb1dc: 5f03086b  cmp	w26, w8
0xfffffff008ceb1e0: a0010054  b.eq	#0xfffffff008ceb214
0xfffffff008ceb1e4: baf3ff34  cbz	w26, #0xfffffff008ceb058
0xfffffff008ceb1e8: fa0300f9  str	x26, [sp]
0xfffffff008ceb1ec: 4334ff90  adrp	x3, #0xfffffff007373000
0xfffffff008ceb1f0: 63583691  add	x3, x3, #0xd96
0xfffffff008ceb1f4: 020080d2  mov	x2, #0
0xfffffff008ceb1f8: d1fbff97  bl	#0xfffffff008cea13c
0xfffffff008ceb1fc: 7a0a8052  mov	w26, #0x53
0xfffffff008ceb200: 96ffff17  b	#0xfffffff008ceb058
0xfffffff008ceb204: 3a008052  mov	w26, #1
0xfffffff008ceb208: 94ffff17  b	#0xfffffff008ceb058
0xfffffff008ceb20c: ba058052  mov	w26, #0x2d
0xfffffff008ceb210: 92ffff17  b	#0xfffffff008ceb058
0xfffffff008ceb214: 9a038052  mov	w26, #0x1c
0xfffffff008ceb218: 90ffff17  b	#0xfffffff008ceb058
0xfffffff008ceb21c: 0ccbc197  bl	#0xfffffff007d5de4c
0xfffffff008ceb220: 7f2303d5  pacibsp	
0xfffffff008ceb224: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ceb228: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ceb22c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ceb230: fd830091  add	x29, sp, #0x20
0xfffffff008ceb234: f40300aa  mov	x20, x0
0xfffffff008ceb238: ff0700f9  str	xzr, [sp, #8]
0xfffffff008ceb23c: 4034ff90  adrp	x0, #0xfffffff007373000
0xfffffff008ceb240: 00f43391  add	x0, x0, #0xcfd
0xfffffff008ceb244: 95feff97  bl	#0xfffffff008ceac98
0xfffffff008ceb248: e2230091  add	x2, sp, #8
0xfffffff008ceb24c: 00008052  mov	w0, #0
0xfffffff008ceb250: 01409952  mov	w1, #0xca00
0xfffffff008ceb254: 4173a772  movk	w1, #0x3b9a, lsl #16
0xfffffff008ceb258: 0d8dc297  bl	#0xfffffff007d8e68c
0xfffffff008ceb25c: 9f0e00f1  cmp	x20, #3
0xfffffff008ceb260: e8070054  b.hi	#0xfffffff008ceb35c
0xfffffff008ceb264: 5334ff90  adrp	x19, #0xfffffff007373000
0xfffffff008ceb268: 734a3791  add	x19, x19, #0xdd2
0xfffffff008ceb26c: f00314aa  mov	x16, x20
0xfffffff008ceb270: 1f0e00f1  cmp	x16, #3
0xfffffff008ceb274: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008ceb278: 11000090  adrp	x17, #0xfffffff008ceb000
0xfffffff008ceb27c: 31b20d91  add	x17, x17, #0x36c
0xfffffff008ceb280: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008ceb284: 11000010  adr	x17, #0xfffffff008ceb284
0xfffffff008ceb288: 3002108b  add	x16, x17, x16
0xfffffff008ceb28c: 00021fd6  br	x16
0xfffffff008ceb290: 9f2403d5  bti	j
0xfffffff008ceb294: 10000090  adrp	x16, #0xfffffff008ceb000
0xfffffff008ceb298: 10f20d91  add	x16, x16, #0x37c
0xfffffff008ceb29c: 117b8ed2  mov	x17, #0x73d8
0xfffffff008ceb2a0: 3002c1da  pacia	x16, x17
0xfffffff008ceb2a4: e00310aa  mov	x0, x16
0xfffffff008ceb2a8: 010080d2  mov	x1, #0
0xfffffff008ceb2ac: 22008052  mov	w2, #1
0xfffffff008ceb2b0: 23008052  mov	w3, #1
0xfffffff008ceb2b4: 0913c497  bl	#0xfffffff007defed8
0xfffffff008ceb2b8: e20740f9  ldr	x2, [sp, #8]
