; Candidate 6242
; ADRP+ADD at VM 0xfffffff00881ca6c (fileoff 0x1818a6c): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881c9ec: f62300a9  stp	x22, x8, [sp]
0xfffffff00881c9f0: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c9f4: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c9f8: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c9fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ca00: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881ca04: 635c3491  add	x3, x3, #0xd17
0xfffffff00881ca08: 02008052  mov	w2, #0
0xfffffff00881ca0c: c959ec97  bl	#0xfffffff008333130
0xfffffff00881ca10: d67e8012  mov	w22, #-0x3f7
0xfffffff00881ca14: 20000014  b	#0xfffffff00881ca94
0xfffffff00881ca18: e55d0294  bl	#0xfffffff0088b41ac
0xfffffff00881ca1c: f60300aa  mov	x22, x0
0xfffffff00881ca20: 80008052  mov	w0, #4
0xfffffff00881ca24: 8b7b0194  bl	#0xfffffff00887b850
0xfffffff00881ca28: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881ca2c: eac240b9  ldr	w10, [x23, #0xc0]
0xfffffff00881ca30: e90315aa  mov	x9, x21
0xfffffff00881ca34: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00881ca38: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00881ca3c: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ca40: 08f92d91  add	x8, x8, #0xb7e
0xfffffff00881ca44: a95e8152  mov	w9, #0xaf5
0xfffffff00881ca48: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881ca4c: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ca50: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881ca54: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881ca58: 880e8052  mov	w8, #0x74
0xfffffff00881ca5c: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881ca60: 63603591  add	x3, x3, #0xd58
0xfffffff00881ca64: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881ca68: f60300f9  str	x22, [sp]
0xfffffff00881ca6c: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881ca70: 00003a91  add	x0, x0, #0xe80
0xfffffff00881ca74: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881ca78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ca7c: 02008052  mov	w2, #0
0xfffffff00881ca80: ac59ec97  bl	#0xfffffff008333130
0xfffffff00881ca84: d67e8012  mov	w22, #-0x3f7
0xfffffff00881ca88: e00313aa  mov	x0, x19
0xfffffff00881ca8c: e10317aa  mov	x1, x23
0xfffffff00881ca90: 21e3ff97  bl	#0xfffffff008815714
0xfffffff00881ca94: 800e8052  mov	w0, #0x74
0xfffffff00881ca98: e1008052  mov	w1, #7
0xfffffff00881ca9c: 4d7b0194  bl	#0xfffffff00887b7d0
0xfffffff00881caa0: 20050034  cbz	w0, #0xfffffff00881cb44
0xfffffff00881caa4: 800e8052  mov	w0, #0x74
0xfffffff00881caa8: 5c7b0194  bl	#0xfffffff00887b818
0xfffffff00881caac: f80300aa  mov	x24, x0
0xfffffff00881cab0: bf5d0294  bl	#0xfffffff0088b41ac
0xfffffff00881cab4: f70300aa  mov	x23, x0
0xfffffff00881cab8: e0008052  mov	w0, #7
0xfffffff00881cabc: 657b0194  bl	#0xfffffff00887b850
0xfffffff00881cac0: b8010034  cbz	w24, #0xfffffff00881caf4
0xfffffff00881cac4: e80316aa  mov	x8, x22
0xfffffff00881cac8: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881cacc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881cad0: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881cad4: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881cad8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881cadc: 880e8052  mov	w8, #0x74
0xfffffff00881cae0: c04fffd0  adrp	x0, #0xfffffff007216000
0xfffffff00881cae4: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00881cae8: f72300a9  stp	x23, x8, [sp]
