; Candidate 15756
; ADRP+ADD at VM 0xfffffff009cf9c54 (fileoff 0x2cf5c54): page=0x6c2000 add_imm=0xdd0

0xfffffff009cf9bd4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009cf9bd8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009cf9bdc: ff2303d5  autibsp	
0xfffffff009cf9be0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009cf9be4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009cf9bec
0xfffffff009cf9be8: 208e38d4  brk	#0xc471
0xfffffff009cf9bec: f10301aa  mov	x17, x1
0xfffffff009cf9bf0: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009cf9bf4: 110a1fd7  braa	x16, x17
0xfffffff009cf9bf8: 5f2403d5  bti	c
0xfffffff009cf9bfc: beaa9717  b	#0xfffffff0082e46f4
0xfffffff009cf9c00: 7f2303d5  pacibsp	
0xfffffff009cf9c04: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf9c08: fd030091  mov	x29, sp
0xfffffff009cf9c0c: 003600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cf9c10: 00403791  add	x0, x0, #0xdd0
0xfffffff009cf9c14: 41cbfef0  adrp	x1, #0xfffffff007664000
0xfffffff009cf9c18: 21900591  add	x1, x1, #0x164
0xfffffff009cf9c1c: 2200ffb0  adrp	x2, #0xfffffff007cfe000
0xfffffff009cf9c20: 423044f9  ldr	x2, [x2, #0x860]
0xfffffff009cf9c24: 03088052  mov	w3, #0x40
0xfffffff009cf9c28: c4a79797  bl	#0xfffffff0082e3b38
0xfffffff009cf9c2c: 5000ff90  adrp	x16, #0xfffffff007d01000
0xfffffff009cf9c30: 10223d91  add	x16, x16, #0xf48
0xfffffff009cf9c34: 10420091  add	x16, x16, #0x10
0xfffffff009cf9c38: f10300aa  mov	x17, x0
0xfffffff009cf9c3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf9c40: 300ac1da  pacda	x16, x17
0xfffffff009cf9c44: 100000f9  str	x16, [x0]
0xfffffff009cf9c48: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cf9c4c: ff0f5fd6  retab	
0xfffffff009cf9c50: 5f2403d5  bti	c
0xfffffff009cf9c54: 003600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cf9c58: 00403791  add	x0, x0, #0xdd0
0xfffffff009cf9c5c: a6aa9717  b	#0xfffffff0082e46f4
0xfffffff009cf9c60: 7f2303d5  pacibsp	
0xfffffff009cf9c64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf9c68: fd030091  mov	x29, sp
0xfffffff009cf9c6c: 41cbfef0  adrp	x1, #0xfffffff007664000
0xfffffff009cf9c70: 21c40691  add	x1, x1, #0x1b1
0xfffffff009cf9c74: 023600d0  adrp	x2, #0xfffffff00a3bb000
0xfffffff009cf9c78: 42003c91  add	x2, x2, #0xf00
0xfffffff009cf9c7c: 03818052  mov	w3, #0x408
0xfffffff009cf9c80: aea79797  bl	#0xfffffff0082e3b38
0xfffffff009cf9c84: 5000ffb0  adrp	x16, #0xfffffff007d02000
0xfffffff009cf9c88: 10e21e91  add	x16, x16, #0x7b8
0xfffffff009cf9c8c: 10420091  add	x16, x16, #0x10
0xfffffff009cf9c90: f10300aa  mov	x17, x0
0xfffffff009cf9c94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf9c98: 300ac1da  pacda	x16, x17
0xfffffff009cf9c9c: 100000f9  str	x16, [x0]
0xfffffff009cf9ca0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cf9ca4: ff0f5fd6  retab	
0xfffffff009cf9ca8: 5f2403d5  bti	c
0xfffffff009cf9cac: 92aa9717  b	#0xfffffff0082e46f4
0xfffffff009cf9cb0: 7f2303d5  pacibsp	
0xfffffff009cf9cb4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf9cb8: fd030091  mov	x29, sp
0xfffffff009cf9cbc: a4380094  bl	#0xfffffff009d07f4c
0xfffffff009cf9cc0: 5000ff90  adrp	x16, #0xfffffff007d01000
0xfffffff009cf9cc4: 10823f91  add	x16, x16, #0xfe0
0xfffffff009cf9cc8: 10420091  add	x16, x16, #0x10
0xfffffff009cf9ccc: f10300aa  mov	x17, x0
0xfffffff009cf9cd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
