; Candidate 1595
; ADRP+ADD at VM 0xfffffff0084b3ee8 (fileoff 0x14afee8): page=0x1feb9e000 add_imm=0xcf2

0xfffffff0084b3e68: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0084b3e6c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0084b3e70: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0084b3e74: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0084b3e78: ff830391  add	sp, sp, #0xe0
0xfffffff0084b3e7c: ff0f5fd6  retab	
0xfffffff0084b3e80: caba8352  mov	w10, #0x1dd6
0xfffffff0084b3e84: e85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084b3e88: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b3e8c: e95cffd0  adrp	x9, #0xfffffff007051000
0xfffffff0084b3e90: 29093191  add	x9, x9, #0xc42
0xfffffff0084b3e94: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084b3e98: f6cf00a9  stp	x22, x19, [sp, #8]
0xfffffff0084b3e9c: e90300f9  str	x9, [sp]
0xfffffff0084b3ea0: e05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b3ea4: 00803191  add	x0, x0, #0xc60
0xfffffff0084b3ea8: 9981ff97  bl	#0xfffffff00849450c
0xfffffff0084b3eac: 40110091  add	x0, x10, #4
0xfffffff0084b3eb0: 6d8eff97  bl	#0xfffffff008497864
0xfffffff0084b3eb4: 00110091  add	x0, x8, #4
0xfffffff0084b3eb8: 6b8eff97  bl	#0xfffffff008497864
0xfffffff0084b3ebc: 0bd78352  mov	w11, #0x1eb8
0xfffffff0084b3ec0: e95cffb0  adrp	x9, #0xfffffff007050000
0xfffffff0084b3ec4: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084b3ec8: e9af03a9  stp	x9, x11, [sp, #0x38]
0xfffffff0084b3ecc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0084b3ed0: e92b40f9  ldr	x9, [sp, #0x50]
0xfffffff0084b3ed4: e91300f9  str	x9, [sp, #0x20]
0xfffffff0084b3ed8: e80317aa  mov	x8, x23
0xfffffff0084b3edc: e95cffd0  adrp	x9, #0xfffffff007051000
0xfffffff0084b3ee0: 29093191  add	x9, x9, #0xc42
0xfffffff0084b3ee4: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff0084b3ee8: e05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b3eec: 00c83391  add	x0, x0, #0xcf2
0xfffffff0084b3ef0: e96b00a9  stp	x9, x26, [sp]
0xfffffff0084b3ef4: 8681ff97  bl	#0xfffffff00849450c
0xfffffff0084b3ef8: 68218152  mov	w8, #0x90b
0xfffffff0084b3efc: 895cfff0  adrp	x9, #0xfffffff007046000
0xfffffff0084b3f00: 29d92791  add	x9, x9, #0x9f6
0xfffffff0084b3f04: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084b3f08: f50300a9  stp	x21, x0, [sp]
0xfffffff0084b3f0c: 805cfff0  adrp	x0, #0xfffffff007046000
0xfffffff0084b3f10: 00c42b91  add	x0, x0, #0xaf1
0xfffffff0084b3f14: 7e81ff97  bl	#0xfffffff00849450c
0xfffffff0084b3f18: 2ac48352  mov	w10, #0x1e21
0xfffffff0084b3f1c: 10000014  b	#0xfffffff0084b3f5c
0xfffffff0084b3f20: 9f2403d5  bti	j
0xfffffff0084b3f24: a9be8352  mov	w9, #0x1df5
0xfffffff0084b3f28: e85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084b3f2c: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b3f30: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0084b3f34: f9d702a9  stp	x25, x21, [sp, #0x28]
0xfffffff0084b3f38: f3df01a9  stp	x19, x23, [sp, #0x18]
0xfffffff0084b3f3c: e85cffd0  adrp	x8, #0xfffffff007051000
0xfffffff0084b3f40: 08093191  add	x8, x8, #0xc42
0xfffffff0084b3f44: f4db00a9  stp	x20, x22, [sp, #8]
0xfffffff0084b3f48: e05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b3f4c: 00203291  add	x0, x0, #0xc88
0xfffffff0084b3f50: e80300f9  str	x8, [sp]
0xfffffff0084b3f54: 6e81ff97  bl	#0xfffffff00849450c
0xfffffff0084b3f58: 0ac88352  mov	w10, #0x1e40
0xfffffff0084b3f5c: ea1300f9  str	x10, [sp, #0x20]
0xfffffff0084b3f60: ea5cffb0  adrp	x10, #0xfffffff007050000
0xfffffff0084b3f64: 4acd3c91  add	x10, x10, #0xf33
