; Candidate 9613
; ADRP+ADD at VM 0xfffffff008a816f8 (fileoff 0x1a7d6f8): page=0x1fefe7000 add_imm=0xcf0

0xfffffff008a81678: e00313aa  mov	x0, x19
0xfffffff008a8167c: e10314aa  mov	x1, x20
0xfffffff008a81680: f10308aa  mov	x17, x8
0xfffffff008a81684: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff008a81688: 31093fd7  blraa	x9, x17
0xfffffff008a8168c: 14008052  mov	w20, #0
0xfffffff008a81690: e00314aa  mov	x0, x20
0xfffffff008a81694: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008a81698: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008a8169c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008a816a0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008a816a4: ff0f5fd6  retab	
0xfffffff008a816a8: 7f2303d5  pacibsp	
0xfffffff008a816ac: ff4301d1  sub	sp, sp, #0x50
0xfffffff008a816b0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008a816b4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008a816b8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008a816bc: fd030191  add	x29, sp, #0x40
0xfffffff008a816c0: f30300aa  mov	x19, x0
0xfffffff008a816c4: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff008a816c8: c01200b4  cbz	x0, #0xfffffff008a81920
0xfffffff008a816cc: 620de497  bl	#0xfffffff008384c54
0xfffffff008a816d0: 80120037  tbnz	w0, #0, #0xfffffff008a81920
0xfffffff008a816d4: 68864239  ldrb	w8, [x19, #0xa1]
0xfffffff008a816d8: 280d0034  cbz	w8, #0xfffffff008a8187c
0xfffffff008a816dc: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008a816e0: 56e2ff97  bl	#0xfffffff008a7a038
0xfffffff008a816e4: 80120036  tbz	w0, #0, #0xfffffff008a81934
0xfffffff008a816e8: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008a816ec: 6ae2ff97  bl	#0xfffffff008a7a094
0xfffffff008a816f0: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff008a816f4: 681100b5  cbnz	x8, #0xfffffff008a81920
0xfffffff008a816f8: 207ffff0  adrp	x0, #0xfffffff007a68000
0xfffffff008a816fc: 00c03391  add	x0, x0, #0xcf0
0xfffffff008a81700: 01208052  mov	w1, #0x100
0xfffffff008a81704: cd97e197  bl	#0xfffffff0082e7638
0xfffffff008a81708: f40300aa  mov	x20, x0
0xfffffff008a8170c: f5c200d0  adrp	x21, #0xfffffff00a2df000
0xfffffff008a81710: b5823b91  add	x21, x21, #0xee0
0xfffffff008a81714: e10315aa  mov	x1, x21
0xfffffff008a81718: c0f43a94  bl	#0xfffffff00993ea18
0xfffffff008a8171c: 307fffb0  adrp	x16, #0xfffffff007a66000
0xfffffff008a81720: 10e23691  add	x16, x16, #0xdb8
0xfffffff008a81724: 10420091  add	x16, x16, #0x10
0xfffffff008a81728: f10300aa  mov	x17, x0
0xfffffff008a8172c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a81730: 300ac1da  pacda	x16, x17
0xfffffff008a81734: 100000f9  str	x16, [x0]
0xfffffff008a81738: e00315aa  mov	x0, x21
0xfffffff008a8173c: 7e8ee197  bl	#0xfffffff0082e5134
0xfffffff008a81740: 745600f9  str	x20, [x19, #0xa8]
0xfffffff008a81744: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008a81748: 100040f9  ldr	x16, [x0]
0xfffffff008a8174c: f10300aa  mov	x17, x0
0xfffffff008a81750: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a81754: 301ac1da  autda	x16, x17
0xfffffff008a81758: f10310aa  mov	x17, x16
0xfffffff008a8175c: f147c1da  xpacd	x17
0xfffffff008a81760: 1f0211eb  cmp	x16, x17
0xfffffff008a81764: 40000054  b.eq	#0xfffffff008a8176c
0xfffffff008a81768: 408e38d4  brk	#0xc472
0xfffffff008a8176c: 08c20d91  add	x8, x16, #0x370
0xfffffff008a81770: 09ba41f9  ldr	x9, [x16, #0x370]
0xfffffff008a81774: f10308aa  mov	x17, x8
