; Candidate 1287
; ADRP+ADD at VM 0xfffffff008341440 (fileoff 0x133d440): page=0x1fed62000 add_imm=0xd29

0xfffffff0083413c0: ff430191  add	sp, sp, #0x50
0xfffffff0083413c4: ff0f5fd6  retab	
0xfffffff0083413c8: c1c246f8  ldur	x1, [x22, #0x6c]
0xfffffff0083413cc: c24247f8  ldur	x2, [x22, #0x74]
0xfffffff0083413d0: a6320191  add	x6, x21, #0x4c
0xfffffff0083413d4: c3c247f8  ldur	x3, [x22, #0x7c]
0xfffffff0083413d8: 000080d2  mov	x0, #0
0xfffffff0083413dc: 06000014  b	#0xfffffff0083413f4
0xfffffff0083413e0: c1c246f8  ldur	x1, [x22, #0x6c]
0xfffffff0083413e4: c24247f8  ldur	x2, [x22, #0x74]
0xfffffff0083413e8: a6320191  add	x6, x21, #0x4c
0xfffffff0083413ec: c3c247f8  ldur	x3, [x22, #0x7c]
0xfffffff0083413f0: e00314aa  mov	x0, x20
0xfffffff0083413f4: 040080d2  mov	x4, #0
0xfffffff0083413f8: 05008052  mov	w5, #0
0xfffffff0083413fc: 93890394  bl	#0xfffffff008423a48
0xfffffff008341400: f30300aa  mov	x19, x0
0xfffffff008341404: 60fdff35  cbnz	w0, #0xfffffff0083413b0
0xfffffff008341408: 6866fff0  adrp	x8, #0xfffffff007010000
0xfffffff00834140c: 00f1c03d  ldr	q0, [x8, #0x3c0]
0xfffffff008341410: a042833c  stur	q0, [x21, #0x34]
0xfffffff008341414: 880a8052  mov	w8, #0x54
0xfffffff008341418: a80600b9  str	w8, [x21, #4]
0xfffffff00834141c: 6866ffd0  adrp	x8, #0xfffffff00700f000
0xfffffff008341420: 008d41fd  ldr	d0, [x8, #0x318]
0xfffffff008341424: a0c201fc  stur	d0, [x21, #0x1c]
0xfffffff008341428: 28008052  mov	w8, #1
0xfffffff00834142c: a84204f8  stur	x8, [x21, #0x44]
0xfffffff008341430: a82e40b9  ldr	w8, [x21, #0x2c]
0xfffffff008341434: 085d0012  and	w8, w8, #0xffffff
0xfffffff008341438: a82e00b9  str	w8, [x21, #0x2c]
0xfffffff00834143c: ddffff17  b	#0xfffffff0083413b0
0xfffffff008341440: 006bffd0  adrp	x0, #0xfffffff0070a3000
0xfffffff008341444: 00a43491  add	x0, x0, #0xd29
0xfffffff008341448: 3288fe97  bl	#0xfffffff0082e3510
0xfffffff00834144c: 200020d4  brk	#1
0xfffffff008341450: 7f2303d5  pacibsp	
0xfffffff008341454: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008341458: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00834145c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008341460: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008341464: fdc30091  add	x29, sp, #0x30
0xfffffff008341468: f3578052  mov	w19, #0x2bf
0xfffffff00834146c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008341470: 170040f9  ldr	x23, [x0]
0xfffffff008341474: e82240b9  ldr	w8, [x23, #0x20]
0xfffffff008341478: 1f0d0071  cmp	w8, #3
0xfffffff00834147c: a1090054  b.ne	#0xfffffff0083415b0
0xfffffff008341480: e84246f8  ldur	x8, [x23, #0x64]
0xfffffff008341484: 1f0d00f1  cmp	x8, #3
0xfffffff008341488: 41090054  b.ne	#0xfffffff0083415b0
0xfffffff00834148c: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff008341490: 1f710271  cmp	w8, #0x9c
0xfffffff008341494: e3080054  b.lo	#0xfffffff0083415b0
0xfffffff008341498: f40301aa  mov	x20, x1
0xfffffff00834149c: 160440f9  ldr	x22, [x0, #8]
0xfffffff0083414a0: 960000b4  cbz	x22, #0xfffffff0083414b0
0xfffffff0083414a4: 081440b9  ldr	w8, [x0, #0x14]
0xfffffff0083414a8: 1f510171  cmp	w8, #0x54
0xfffffff0083414ac: 23080054  b.lo	#0xfffffff0083415b0
0xfffffff0083414b0: e0c247f8  ldur	x0, [x23, #0x7c]
0xfffffff0083414b4: 200200b4  cbz	x0, #0xfffffff0083414f8
0xfffffff0083414b8: 100040f9  ldr	x16, [x0]
0xfffffff0083414bc: f10300aa  mov	x17, x0
