; Candidate 8359
; ADRP+ADD at VM 0xfffffff0088a6244 (fileoff 0x18a2244): page=0x1fe943000 add_imm=0xe80

0xfffffff0088a61c4: e00313aa  mov	x0, x19
0xfffffff0088a61c8: e1031caa  mov	x1, x28
0xfffffff0088a61cc: e40318aa  mov	x4, x24
0xfffffff0088a61d0: e5031baa  mov	x5, x27
0xfffffff0088a61d4: f0060094  bl	#0xfffffff0088a7d94
0xfffffff0088a61d8: 20180035  cbnz	w0, #0xfffffff0088a64dc
0xfffffff0088a61dc: 18070091  add	x24, x24, #1
0xfffffff0088a61e0: df0218eb  cmp	x22, x24
0xfffffff0088a61e4: c1f6ff54  b.ne	#0xfffffff0088a60bc
0xfffffff0088a61e8: e00319aa  mov	x0, x25
0xfffffff0088a61ec: e1031aaa  mov	x1, x26
0xfffffff0088a61f0: 5026fe97  bl	#0xfffffff00882fb30
0xfffffff0088a61f4: 17008052  mov	w23, #0
0xfffffff0088a61f8: b6035af8  ldur	x22, [x29, #-0x60]
0xfffffff0088a61fc: b4835af8  ldur	x20, [x29, #-0x58]
0xfffffff0088a6200: 77000014  b	#0xfffffff0088a63dc
0xfffffff0088a6204: ea370094  bl	#0xfffffff0088b41ac
0xfffffff0088a6208: f70300aa  mov	x23, x0
0xfffffff0088a620c: e0008052  mov	w0, #7
0xfffffff0088a6210: 9055ff97  bl	#0xfffffff00887b850
0xfffffff0088a6214: e80314aa  mov	x8, x20
0xfffffff0088a6218: 690240b9  ldr	w9, [x19]
0xfffffff0088a621c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088a6220: e95b03a9  stp	x9, x22, [sp, #0x30]
0xfffffff0088a6224: 684cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a6228: 08a92e91  add	x8, x8, #0xbaa
0xfffffff0088a622c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a6230: 684cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a6234: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a6238: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a623c: 680f8052  mov	w8, #0x7b
0xfffffff0088a6240: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a6244: 004afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a6248: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a624c: 018bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a6250: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a6254: e34dff90  adrp	x3, #0xfffffff007262000
0xfffffff0088a6258: 63142e91  add	x3, x3, #0xb85
0xfffffff0088a625c: 02008052  mov	w2, #0
0xfffffff0088a6260: b433ea97  bl	#0xfffffff008333130
0xfffffff0088a6264: f5efffb5  cbnz	x21, #0xfffffff0088a6060
0xfffffff0088a6268: 600f8052  mov	w0, #0x7b
0xfffffff0088a626c: 81008052  mov	w1, #4
0xfffffff0088a6270: 5855ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a6274: 200b0034  cbz	w0, #0xfffffff0088a63d8
0xfffffff0088a6278: 600f8052  mov	w0, #0x7b
0xfffffff0088a627c: 6755ff97  bl	#0xfffffff00887b818
0xfffffff0088a6280: f80300aa  mov	x24, x0
0xfffffff0088a6284: ca370094  bl	#0xfffffff0088b41ac
0xfffffff0088a6288: f70300aa  mov	x23, x0
0xfffffff0088a628c: 80008052  mov	w0, #4
0xfffffff0088a6290: 7055ff97  bl	#0xfffffff00887b850
0xfffffff0088a6294: b8060034  cbz	w24, #0xfffffff0088a6368
0xfffffff0088a6298: e80314aa  mov	x8, x20
0xfffffff0088a629c: 690240b9  ldr	w9, [x19]
0xfffffff0088a62a0: ffa304a9  stp	xzr, x8, [sp, #0x48]
0xfffffff0088a62a4: 684cff90  adrp	x8, #0xfffffff007232000
0xfffffff0088a62a8: 0a390391  add	x10, x8, #0xce
0xfffffff0088a62ac: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a62b0: e8a48052  mov	w8, #0x527
0xfffffff0088a62b4: 694cff90  adrp	x9, #0xfffffff007232000
0xfffffff0088a62b8: 29a92e91  add	x9, x9, #0xbaa
0xfffffff0088a62bc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a62c0: 684cff90  adrp	x8, #0xfffffff007232000
