; Candidate 8166
; ADRP+ADD at VM 0xfffffff008898e9c (fileoff 0x1894e9c): page=0x1fe951000 add_imm=0xe80

0xfffffff008898e1c: 6d8aff97  bl	#0xfffffff00887b7d0
0xfffffff008898e20: e0040034  cbz	w0, #0xfffffff008898ebc
0xfffffff008898e24: 200e8052  mov	w0, #0x71
0xfffffff008898e28: 7c8aff97  bl	#0xfffffff00887b818
0xfffffff008898e2c: f60300aa  mov	x22, x0
0xfffffff008898e30: df6c0094  bl	#0xfffffff0088b41ac
0xfffffff008898e34: f50300aa  mov	x21, x0
0xfffffff008898e38: a0008052  mov	w0, #5
0xfffffff008898e3c: 858aff97  bl	#0xfffffff00887b850
0xfffffff008898e40: 96010034  cbz	w22, #0xfffffff008898e70
0xfffffff008898e44: a85e8052  mov	w8, #0x2f5
0xfffffff008898e48: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008898e4c: a84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008898e50: 08093991  add	x8, x8, #0xe42
0xfffffff008898e54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008898e58: 280e8052  mov	w8, #0x71
0xfffffff008898e5c: f52300a9  stp	x21, x8, [sp]
0xfffffff008898e60: a04cfff0  adrp	x0, #0xfffffff00722f000
0xfffffff008898e64: 002c3891  add	x0, x0, #0xe0b
0xfffffff008898e68: 7e79d497  bl	#0xfffffff007db7460
0xfffffff008898e6c: 14000014  b	#0xfffffff008898ebc
0xfffffff008898e70: cf6c0094  bl	#0xfffffff0088b41ac
0xfffffff008898e74: f50300aa  mov	x21, x0
0xfffffff008898e78: a0008052  mov	w0, #5
0xfffffff008898e7c: 758aff97  bl	#0xfffffff00887b850
0xfffffff008898e80: a85e8052  mov	w8, #0x2f5
0xfffffff008898e84: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008898e88: a84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008898e8c: 08093991  add	x8, x8, #0xe42
0xfffffff008898e90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008898e94: 280e8052  mov	w8, #0x71
0xfffffff008898e98: f52300a9  stp	x21, x8, [sp]
0xfffffff008898e9c: 804affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008898ea0: 00003a91  add	x0, x0, #0xe80
0xfffffff008898ea4: 818bff90  adrp	x1, #0xfffffff007a08000
0xfffffff008898ea8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008898eac: 234efff0  adrp	x3, #0xfffffff00725f000
0xfffffff008898eb0: 63e03d91  add	x3, x3, #0xf78
0xfffffff008898eb4: 02008052  mov	w2, #0
0xfffffff008898eb8: 9e68ea97  bl	#0xfffffff008333130
0xfffffff008898ebc: e00313aa  mov	x0, x19
0xfffffff008898ec0: e10314aa  mov	x1, x20
0xfffffff008898ec4: a2008052  mov	w2, #5
0xfffffff008898ec8: d8f6ff97  bl	#0xfffffff008896a28
0xfffffff008898ecc: f40300aa  mov	x20, x0
0xfffffff008898ed0: 600240f9  ldr	x0, [x19]
0xfffffff008898ed4: 1a4ed497  bl	#0xfffffff007dac73c
0xfffffff008898ed8: e00314aa  mov	x0, x20
0xfffffff008898edc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008898ee0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008898ee4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008898ee8: ff830191  add	sp, sp, #0x60
0xfffffff008898eec: ff0f5fd6  retab	
0xfffffff008898ef0: 7f2303d5  pacibsp	
0xfffffff008898ef4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008898ef8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008898efc: fd430091  add	x29, sp, #0x10
0xfffffff008898f00: f30301aa  mov	x19, x1
0xfffffff008898f04: 5045fe97  bl	#0xfffffff00882a444
0xfffffff008898f08: c00500b4  cbz	x0, #0xfffffff008898fc0
0xfffffff008898f0c: 091440b9  ldr	w9, [x0, #0x14]
0xfffffff008898f10: 680240b9  ldr	w8, [x19]
0xfffffff008898f14: 3f01086b  cmp	w9, w8
0xfffffff008898f18: 6a000054  b.ge	#0xfffffff008898f24
