; Candidate 5573
; ADRP+ADD at VM 0xfffffff0087f9538 (fileoff 0x17f5538): page=0x1fe9f0000 add_imm=0xe80

0xfffffff0087f94b8: 010100ad  stp	q1, q0, [x8]
0xfffffff0087f94bc: 800642ad  ldp	q0, q1, [x20, #0x40]
0xfffffff0087f94c0: 830a41ad  ldp	q3, q2, [x20, #0x20]
0xfffffff0087f94c4: 000502ad  stp	q0, q1, [x8, #0x40]
0xfffffff0087f94c8: 030901ad  stp	q3, q2, [x8, #0x20]
0xfffffff0087f94cc: 818243ad  ldp	q1, q0, [x20, #0x70]
0xfffffff0087f94d0: 894a40f9  ldr	x9, [x20, #0x90]
0xfffffff0087f94d4: 821ac03d  ldr	q2, [x20, #0x60]
0xfffffff0087f94d8: 094900f9  str	x9, [x8, #0x90]
0xfffffff0087f94dc: 018103ad  stp	q1, q0, [x8, #0x70]
0xfffffff0087f94e0: 0219803d  str	q2, [x8, #0x60]
0xfffffff0087f94e4: bbd70094  bl	#0xfffffff00882f3d0
0xfffffff0087f94e8: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0087f94ec: a80200f9  str	x8, [x21]
0xfffffff0087f94f0: 1a000014  b	#0xfffffff0087f9558
0xfffffff0087f94f4: 2eeb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f94f8: f80300aa  mov	x24, x0
0xfffffff0087f94fc: 80008052  mov	w0, #4
0xfffffff0087f9500: d4080294  bl	#0xfffffff00887b850
0xfffffff0087f9504: e80316aa  mov	x8, x22
0xfffffff0087f9508: e95a40b9  ldr	w9, [x23, #0x58]
0xfffffff0087f950c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff0087f9510: f72703a9  stp	x23, x9, [sp, #0x30]
0xfffffff0087f9514: a850fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087f9518: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f951c: 29f28052  mov	w9, #0x791
0xfffffff0087f9520: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f9524: e850ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f9528: 08893e91  add	x8, x8, #0xfa2
0xfffffff0087f952c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f9530: 080f8052  mov	w8, #0x78
0xfffffff0087f9534: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f9538: 804fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f953c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f9540: 6190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f9544: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f9548: 4352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087f954c: 63842291  add	x3, x3, #0x8a1
0xfffffff0087f9550: 02008052  mov	w2, #0
0xfffffff0087f9554: f7e6ec97  bl	#0xfffffff008333130
0xfffffff0087f9558: 000f8052  mov	w0, #0x78
0xfffffff0087f955c: e1008052  mov	w1, #7
0xfffffff0087f9560: 9c080294  bl	#0xfffffff00887b7d0
0xfffffff0087f9564: 20050034  cbz	w0, #0xfffffff0087f9608
0xfffffff0087f9568: 000f8052  mov	w0, #0x78
0xfffffff0087f956c: ab080294  bl	#0xfffffff00887b818
0xfffffff0087f9570: f80300aa  mov	x24, x0
0xfffffff0087f9574: 0eeb0294  bl	#0xfffffff0088b41ac
0xfffffff0087f9578: f70300aa  mov	x23, x0
0xfffffff0087f957c: e0008052  mov	w0, #7
0xfffffff0087f9580: b4080294  bl	#0xfffffff00887b850
0xfffffff0087f9584: b8010034  cbz	w24, #0xfffffff0087f95b8
0xfffffff0087f9588: e80316aa  mov	x8, x22
0xfffffff0087f958c: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff0087f9590: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f9594: e850ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f9598: 08893e91  add	x8, x8, #0xfa2
0xfffffff0087f959c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f95a0: 080f8052  mov	w8, #0x78
0xfffffff0087f95a4: c050ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087f95a8: 00442b91  add	x0, x0, #0xad1
0xfffffff0087f95ac: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f95b0: acf7d697  bl	#0xfffffff007db7460
0xfffffff0087f95b4: 15000014  b	#0xfffffff0087f9608
