; Candidate 11711
; ADRP+ADD at VM 0xfffffff008fcbf70 (fileoff 0x1fc7f70): page=0x1fe45a000 add_imm=0xdd7

0xfffffff008fcbef0: 09800091  add	x9, x0, #0x20
0xfffffff008fcbef4: 2a0040f9  ldr	x10, [x1]
0xfffffff008fcbef8: 4a310091  add	x10, x10, #0xc
0xfffffff008fcbefc: 0b044039  ldrb	w11, [x0, #1]
0xfffffff008fcbf00: 4c0040b9  ldr	w12, [x2]
0xfffffff008fcbf04: 8de88052  mov	w13, #0x744
0xfffffff008fcbf08: ce22ffd0  adrp	x14, #0xfffffff007425000
0xfffffff008fcbf0c: ced93891  add	x14, x14, #0xe36
0xfffffff008fcbf10: eeb703a9  stp	x14, x13, [sp, #0x38]
0xfffffff008fcbf14: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff008fcbf18: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008fcbf1c: ca22fff0  adrp	x10, #0xfffffff007426000
0xfffffff008fcbf20: 4a4d0991  add	x10, x10, #0x253
0xfffffff008fcbf24: eda700a9  stp	x13, x9, [sp, #8]
0xfffffff008fcbf28: e022ff90  adrp	x0, #0xfffffff007427000
0xfffffff008fcbf2c: 00fc2d91  add	x0, x0, #0xb7f
0xfffffff008fcbf30: ea0300f9  str	x10, [sp]
0xfffffff008fcbf34: 7621d397  bl	#0xfffffff00849450c
0xfffffff008fcbf38: 7f2303d5  pacibsp	
0xfffffff008fcbf3c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcbf40: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcbf44: fdc30091  add	x29, sp, #0x30
0xfffffff008fcbf48: a8e78052  mov	w8, #0x73d
0xfffffff008fcbf4c: c922ffd0  adrp	x9, #0xfffffff007425000
0xfffffff008fcbf50: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcbf54: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcbf58: ea22ff90  adrp	x10, #0xfffffff007427000
0xfffffff008fcbf5c: 4a492d91  add	x10, x10, #0xb52
0xfffffff008fcbf60: cb22fff0  adrp	x11, #0xfffffff007426000
0xfffffff008fcbf64: 6b4d0991  add	x11, x11, #0x253
0xfffffff008fcbf68: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcbf6c: eb0300f9  str	x11, [sp]
0xfffffff008fcbf70: c022ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008fcbf74: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcbf78: 6521d397  bl	#0xfffffff00849450c
0xfffffff008fcbf7c: 7f2303d5  pacibsp	
0xfffffff008fcbf80: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcbf84: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcbf88: fdc30091  add	x29, sp, #0x30
0xfffffff008fcbf8c: 08e88052  mov	w8, #0x740
0xfffffff008fcbf90: c922ffd0  adrp	x9, #0xfffffff007425000
0xfffffff008fcbf94: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcbf98: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcbf9c: ea22ff90  adrp	x10, #0xfffffff007427000
0xfffffff008fcbfa0: 4a952d91  add	x10, x10, #0xb65
0xfffffff008fcbfa4: cb22fff0  adrp	x11, #0xfffffff007426000
0xfffffff008fcbfa8: 6b4d0991  add	x11, x11, #0x253
0xfffffff008fcbfac: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcbfb0: eb0300f9  str	x11, [sp]
0xfffffff008fcbfb4: c022ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008fcbfb8: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcbfbc: 5421d397  bl	#0xfffffff00849450c
0xfffffff008fcbfc0: 7f2303d5  pacibsp	
0xfffffff008fcbfc4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcbfc8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcbfcc: fdc30091  add	x29, sp, #0x30
0xfffffff008fcbfd0: 48e78052  mov	w8, #0x73a
0xfffffff008fcbfd4: c922ffd0  adrp	x9, #0xfffffff007425000
0xfffffff008fcbfd8: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcbfdc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcbfe0: ea22ff90  adrp	x10, #0xfffffff007427000
0xfffffff008fcbfe4: 4a6d2c91  add	x10, x10, #0xb1b
0xfffffff008fcbfe8: cb22fff0  adrp	x11, #0xfffffff007426000
0xfffffff008fcbfec: 6b4d0991  add	x11, x11, #0x253
