; Candidate 657
; ADRP+ADD at VM 0xfffffff00800d290 (fileoff 0x1009290): page=0x1ff968000 add_imm=0xdf0

0xfffffff00800d210: 299d8052  mov	w9, #0x4e9
0xfffffff00800d214: ea82ffb0  adrp	x10, #0xfffffff00706a000
0xfffffff00800d218: 4a953191  add	x10, x10, #0xc65
0xfffffff00800d21c: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00800d220: e82700a9  stp	x8, x9, [sp]
0xfffffff00800d224: e6ffff17  b	#0xfffffff00800d1bc
0xfffffff00800d228: e00316aa  mov	x0, x22
0xfffffff00800d22c: e10315aa  mov	x1, x21
0xfffffff00800d230: 4d7df697  bl	#0xfffffff007dac764
0xfffffff00800d234: 5bffff17  b	#0xfffffff00800cfa0
0xfffffff00800d238: 0543f597  bl	#0xfffffff007d5de4c
0xfffffff00800d23c: 7f2303d5  pacibsp	
0xfffffff00800d240: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00800d244: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00800d248: fd430091  add	x29, sp, #0x10
0xfffffff00800d24c: f30300aa  mov	x19, x0
0xfffffff00800d250: 14400091  add	x20, x0, #0x10
0xfffffff00800d254: e00314aa  mov	x0, x20
0xfffffff00800d258: d681f697  bl	#0xfffffff007dad9b0
0xfffffff00800d25c: e00314aa  mov	x0, x20
0xfffffff00800d260: f284f697  bl	#0xfffffff007dae628
0xfffffff00800d264: 810d01b0  adrp	x1, #0xfffffff00a1be000
0xfffffff00800d268: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800d26c: e00314aa  mov	x0, x20
0xfffffff00800d270: e77ff697  bl	#0xfffffff007dad20c
0xfffffff00800d274: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff00800d278: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800d27c: 02610391  add	x2, x8, #0xd8
0xfffffff00800d280: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff00800d284: 00cbffd0  adrp	x0, #0xfffffff00796f000
0xfffffff00800d288: 00201a91  add	x0, x0, #0x688
0xfffffff00800d28c: f865f697  bl	#0xfffffff007da6a6c
0xfffffff00800d290: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800d294: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800d298: e10313aa  mov	x1, x19
0xfffffff00800d29c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00800d2a0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00800d2a4: ff2303d5  autibsp	
0xfffffff00800d2a8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00800d2ac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00800d2b4
0xfffffff00800d2b0: 208e38d4  brk	#0xc471
0xfffffff00800d2b4: 56f2f717  b	#0xfffffff007e09c0c
0xfffffff00800d2b8: 7f2303d5  pacibsp	
0xfffffff00800d2bc: ff8303d1  sub	sp, sp, #0xe0
0xfffffff00800d2c0: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00800d2c4: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff00800d2c8: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00800d2cc: fd430391  add	x29, sp, #0xd0
0xfffffff00800d2d0: f50300aa  mov	x21, x0
0xfffffff00800d2d4: c80d01d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff00800d2d8: 08010091  add	x8, x8, #0
0xfffffff00800d2dc: 080140f9  ldr	x8, [x8]
0xfffffff00800d2e0: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff00800d2e4: bfff3ba9  stp	xzr, xzr, [x29, #-0x48]
0xfffffff00800d2e8: 801101d0  adrp	x0, #0xfffffff00a23f000
0xfffffff00800d2ec: 00e01b91  add	x0, x0, #0x6f8
0xfffffff00800d2f0: b081f697  bl	#0xfffffff007dad9b0
0xfffffff00800d2f4: 080080d2  mov	x8, #0
0xfffffff00800d2f8: b3220091  add	x19, x21, #8
0xfffffff00800d2fc: 94d038d5  mrs	x20, tpidr_el1
0xfffffff00800d300: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff00800d304: aa420091  add	x10, x21, #0x10
0xfffffff00800d308: 497de8c8  casa	x8, x9, [x10]
0xfffffff00800d30c: 1f0100f1  cmp	x8, #0
