; Candidate 4197
; ADRP+ADD at VM 0xfffffff008795e24 (fileoff 0x1791e24): page=0x1fe99c000 add_imm=0xd90

0xfffffff008795da4: f10309aa  mov	x17, x9
0xfffffff008795da8: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008795dac: 11093fd7  blraa	x8, x17
0xfffffff008795db0: e88341b9  ldr	w8, [sp, #0x180]
0xfffffff008795db4: df0a0071  cmp	w22, #2
0xfffffff008795db8: f6279f1a  cset	w22, lo
0xfffffff008795dbc: 69e66ab9  ldr	w9, [x19, #0x2ae4]
0xfffffff008795dc0: e82700a9  stp	x8, x9, [sp]
0xfffffff008795dc4: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795dc8: 00403691  add	x0, x0, #0xd90
0xfffffff008795dcc: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795dd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795dd4: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795dd8: 63781391  add	x3, x3, #0x4de
0xfffffff008795ddc: 02008052  mov	w2, #0
0xfffffff008795de0: d474ee97  bl	#0xfffffff008333130
0xfffffff008795de4: 695e70b9  ldr	w9, [x19, #0x305c]
0xfffffff008795de8: 68e66ab9  ldr	w8, [x19, #0x2ae4]
0xfffffff008795dec: 3f050071  cmp	w9, #1
0xfffffff008795df0: a1000054  b.ne	#0xfffffff008795e04
0xfffffff008795df4: a80200b9  str	w8, [x21]
0xfffffff008795df8: 69866bb9  ldr	w9, [x19, #0x2b84]
0xfffffff008795dfc: a90600b9  str	w9, [x21, #4]
0xfffffff008795e00: 02000014  b	#0xfffffff008795e08
0xfffffff008795e04: 69866bb9  ldr	w9, [x19, #0x2b84]
0xfffffff008795e08: 6a926ab9  ldr	w10, [x19, #0x2a90]
0xfffffff008795e0c: eb8341b9  ldr	w11, [sp, #0x180]
0xfffffff008795e10: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008795e14: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008795e18: 294effd0  adrp	x9, #0xfffffff00715b000
0xfffffff008795e1c: 29d10691  add	x9, x9, #0x1b4
0xfffffff008795e20: e90300f9  str	x9, [sp]
0xfffffff008795e24: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795e28: 00403691  add	x0, x0, #0xd90
0xfffffff008795e2c: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795e30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795e34: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795e38: 63201491  add	x3, x3, #0x508
0xfffffff008795e3c: 02008052  mov	w2, #0
0xfffffff008795e40: bc74ee97  bl	#0xfffffff008333130
0xfffffff008795e44: 96170034  cbz	w22, #0xfffffff008796134
0xfffffff008795e48: 08eb8552  mov	w8, #0x2f58
0xfffffff008795e4c: 7702088b  add	x23, x19, x8
0xfffffff008795e50: e00317aa  mov	x0, x23
0xfffffff008795e54: 01008052  mov	w1, #0
0xfffffff008795e58: 02078052  mov	w2, #0x38
0xfffffff008795e5c: 59dbd697  bl	#0xfffffff007d4cbc0
0xfffffff008795e60: 08f28552  mov	w8, #0x2f90
0xfffffff008795e64: 7602088b  add	x22, x19, x8
0xfffffff008795e68: e00316aa  mov	x0, x22
0xfffffff008795e6c: 01008052  mov	w1, #0
0xfffffff008795e70: 02078052  mov	w2, #0x38
0xfffffff008795e74: 53dbd697  bl	#0xfffffff007d4cbc0
0xfffffff008795e78: 08f98552  mov	w8, #0x2fc8
0xfffffff008795e7c: 7502088b  add	x21, x19, x8
0xfffffff008795e80: e00315aa  mov	x0, x21
0xfffffff008795e84: 01008052  mov	w1, #0
0xfffffff008795e88: 82038052  mov	w2, #0x1c
0xfffffff008795e8c: 4ddbd697  bl	#0xfffffff007d4cbc0
0xfffffff008795e90: 88fc8552  mov	w8, #0x2fe4
0xfffffff008795e94: 7802088b  add	x24, x19, x8
0xfffffff008795e98: e00318aa  mov	x0, x24
0xfffffff008795e9c: 01008052  mov	w1, #0
0xfffffff008795ea0: 82008052  mov	w2, #4
